"","statecode","countycode","v021_numerator","v021_denominator","v021_rawvalue"
"1","00","000",NA,NA,0.87
"2","01","000",47552.14,53869,0.882736638883217
"3","01","001",556.93,671,0.83
"4","01","003",2180.49,2514,0.867338902147971
"5","01","005",355.52,473,0.751627906976744
"6","01","007",198.38,218,0.91
"7","01","009",620.355,661,0.938509833585477
"8","01","011",75.9,92,0.825
"9","01","013",158.84,209,0.76
"10","01","015",1139.1,1237,0.920856911883589
"11","01","017",257.725,312,0.826041666666667
"12","01","019",285.51,307,0.93
"13","01","021",499.66,581,0.86
"14","01","023",67.65,82,0.825
"15","01","025",244.215,290,0.842120689655173
"16","01","027",113.025,137,0.825
"17","01","029",155.025,159,0.975
"18","01","031",665.595,728,0.914278846153846
"19","01","033",485.875,528,0.920217803030303
"20","01","035",111,120,0.925
"21","01","037",NA,NA,NA
"22","01","039",382.95,402,0.952611940298507
"23","01","041",142.625,163,0.875
"24","01","043",847.88,902,0.94
"25","01","045",422.55,476,0.887710084033614
"26","01","047",340.075,419,0.811634844868735
"27","01","049",755.28,822,0.918832116788321
"28","01","051",848.865,983,0.863545269582909
"29","01","053",322.8,359,0.8991643454039
"30","01","055",923.37,1038,0.889566473988439
"31","01","057",160.125,183,0.875
"32","01","059",397.53,420,0.9465
"33","01","061",251.35,262,0.959351145038168
"34","01","063",55.125,63,0.875
"35","01","065",147.075,159,0.925
"36","01","067",161.875,175,0.925
"37","01","069",900.5,1006,0.895129224652087
"38","01","071",505.4,537,0.941154562383613
"39","01","073",6856.14,7684,0.892261842790213
"40","01","075",153.125,175,0.875
"41","01","077",936.05,999,0.936986986986987
"42","01","079",314.9,335,0.94
"43","01","081",1513.78,1678,0.902133492252682
"44","01","083",1332.74,1523,0.875075508864084
"45","01","085",78.275,101,0.775
"46","01","087",109.725,133,0.825
"47","01","089",3726.29,4000,0.9315725
"48","01","091",245.575,278,0.883363309352518
"49","01","093",287.325,317,0.906388012618296
"50","01","095",1199.49,1314,0.912853881278539
"51","01","097",3599.43,4319,0.833394304237092
"52","01","099",195.88,236,0.83
"53","01","101",1525.475,2209,0.690572657311
"54","01","103",1252.03,1383,0.90530007230658
"55","01","105",94.35,102,0.925
"56","01","107",160.025,173,0.925
"57","01","109",247.75,276,0.897644927536232
"58","01","111",216.325,241,0.897614107883817
"59","01","113",596.57,644,0.926350931677019
"60","01","115",846.51,988,0.856791497975709
"61","01","117",2307.36,2427,0.95070457354759
"62","01","119",81.925,113,0.725
"63","01","121",722.115,785,0.919891719745223
"64","01","123",363.44,413,0.88
"65","01","125",1641.08,1938,0.846790505675955
"66","01","127",636.875,744,0.856014784946237
"67","01","129",185.84,202,0.92
"68","01","131",104.625,135,0.775
"69","01","133",253.45,274,0.925
"70","02","000",7290.17,9394,0.776045348094528
"71","02","013",NA,NA,NA
"72","02","016",NA,NA,NA
"73","02","020",2519.31,3080,0.817957792207792
"74","02","050",187.57,367,0.511089918256131
"75","02","060",NA,NA,NA
"76","02","063",NA,NA,NA
"77","02","066",NA,NA,NA
"78","02","068",63.075,87,0.725
"79","02","070",NA,NA,NA
"80","02","090",787.28,1123,0.701050756901158
"81","02","100",NA,NA,NA
"82","02","105",NA,NA,NA
"83","02","110",306.16,356,0.86
"84","02","122",501.27,651,0.77
"85","02","130",155.1,188,0.825
"86","02","150",121.625,139,0.875
"87","02","158",110.125,161,0.684006211180124
"88","02","164",NA,NA,NA
"89","02","170",1189.38,1383,0.86
"90","02","180",125,160,0.78125
"91","02","185",98.6,136,0.725
"92","02","188",85.55,118,0.725
"93","02","195",NA,NA,NA
"94","02","198",NA,NA,NA
"95","02","220",138.6,160,0.86625
"96","02","230",NA,NA,NA
"97","02","240",64.775,86,0.753197674418605
"98","02","275",NA,NA,NA
"99","02","282",NA,NA,NA
"100","02","290",534.3,802,0.666209476309227
"101","04","000",69678.97,90094,0.773403001309743
"102","04","001",607.36,784,0.77469387755102
"103","04","003",1132.775,1544,0.733662564766839
"104","04","005",1239.32,1467,0.844798909338787
"105","04","007",411.275,546,0.753250915750916
"106","04","009",446.44,518,0.861853281853282
"107","04","011",91.725,96,0.95546875
"108","04","012",140.775,168,0.837946428571429
"109","04","013",47340.32,61505,0.769698723681002
"110","04","015",1390.12,1766,0.787157417893545
"111","04","017",1168.5,1442,0.810332871012483
"112","04","019",8348.33,11424,0.730771183473389
"113","04","021",2894.3,3611,0.801523123788424
"114","04","023",726.83,820,0.886378048780488
"115","04","025",1344.85,1649,0.815554881746513
"116","04","027",2396.05,2754,0.870025417574437
"117","05","000",31664.4,35874,0.882655962535541
"118","05","001",178.55,202,0.883910891089109
"119","05","003",202.425,227,0.891740088105727
"120","05","005",366.85,405,0.905802469135803
"121","05","007",3431.87,3830,0.896049608355092
"122","05","009",438.395,463,0.946857451403888
"123","05","011",143.35,154,0.930844155844156
"124","05","013",NA,NA,NA
"125","05","015",253.95,301,0.843687707641196
"126","05","017",NA,NA,NA
"127","05","019",177.025,196,0.903188775510204
"128","05","021",NA,NA,NA
"129","05","023",219.75,234,0.939102564102564
"130","05","025",NA,NA,NA
"131","05","027",276.62,304,0.909934210526316
"132","05","029",213.425,238,0.896743697478992
"133","05","031",1221.145,1359,0.898561442236939
"134","05","033",708.55,760,0.932302631578947
"135","05","035",638.23,739,0.863640054127199
"136","05","037",208.25,224,0.9296875
"137","05","039",NA,NA,NA
"138","05","041",128.575,139,0.925
"139","05","043",178.5,204,0.875
"140","05","045",1269.04,1401,0.905810135617416
"141","05","047",169.975,197,0.862817258883249
"142","05","049",NA,NA,NA
"143","05","051",932.6,1099,0.848589626933576
"144","05","053",294.18,330,0.891454545454545
"145","05","055",448.1,490,0.914489795918367
"146","05","057",190.95,213,0.896478873239437
"147","05","059",361.575,390,0.927115384615385
"148","05","061",195.625,203,0.963669950738916
"149","05","063",416.6,442,0.942533936651584
"150","05","065",133.025,140,0.950178571428571
"151","05","067",117.6,136,0.864705882352941
"152","05","069",574.585,691,0.831526772793054
"153","05","071",279.05,316,0.883069620253165
"154","05","073",NA,NA,NA
"155","05","075",202.6,224,0.904464285714286
"156","05","077",NA,NA,NA
"157","05","079",110.075,119,0.925
"158","05","081",122.1,135,0.904444444444444
"159","05","083",218.725,226,0.967809734513274
"160","05","085",875.325,1009,0.867517343904856
"161","05","087",141.75,162,0.875
"162","05","089",NA,NA,NA
"163","05","091",362.185,441,0.821281179138322
"164","05","093",442.3,513,0.862183235867446
"165","05","095",NA,NA,NA
"166","05","097",NA,NA,NA
