GEOID,statecode,countycode,NAME,B17020B_003E,B17020B_003M,B17020B_004E,B17020B_004M,B17020B_005E,B17020B_005M,B17020B_011E,B17020B_011M,B17020B_012E,B17020B_012M,B17020B_013E,B17020B_013M,B17020H_003E,B17020H_003M,B17020H_004E,B17020H_004M,B17020H_005E,B17020H_005M,B17020H_011E,B17020H_011M,B17020H_012E,B17020H_012M,B17020H_013E,B17020H_013M,B17020I_003E,B17020I_003M,B17020I_004E,B17020I_004M,B17020I_005E,B17020I_005M,B17020I_011E,B17020I_011M,B17020I_012E,B17020I_012M,B17020I_013E,B17020I_013M,B17020C_003E,B17020C_003M,B17020C_004E,B17020C_004M,B17020C_005E,B17020C_005M,B17020C_011E,B17020C_011M,B17020C_012E,B17020C_012M,B17020C_013E,B17020C_013M,B17020D_003E,B17020D_003M,B17020D_004E,B17020D_004M,B17020D_005E,B17020D_005M,B17020D_011E,B17020D_011M,B17020D_012E,B17020D_012M,B17020D_013E,B17020D_013M,B17020E_003E,B17020E_003M,B17020E_004E,B17020E_004M,B17020E_005E,B17020E_005M,B17020E_011E,B17020E_011M,B17020E_012E,B17020E_012M,B17020E_013E,B17020E_013M
00000,00,000,United States,1003018,13726,1016792,14905,925971,11120,1998892,14600,2253090,13594,2564664,11167,1134397,19507,1182299,19325,1168820,18051,9405504,30265,10436206,28145,11435293,23856,1374500,19967,1421284,19818,1384936,18241,4515438,21877,4812565,21337,5275979,26234,63868,1818,71264,2180,71897,2220,143964,3101,177112,3473,212282,4128,115322,3919,126653,3692,133799,3325,1035511,8464,1142974,6801,1169427,7288,11827,1102,12053,986,11376,1080,35630,1448,39397,1751,42919,1525
01000,01,000,Alabama,44279,2213,40591,1844,34934,1770,55905,1993,63535,1899,75237,2314,24306,1571,23600,1488,24288,1323,165139,1897,179641,3581,203095,2963,11896,1042,12066,1079,10045,1043,22776,1182,23578,1165,23991,1176,515,266,226,106,679,226,851,219,1288,378,1603,386,751,222,667,226,323,117,3617,388,4748,499,4695,472,163,136,27,30,4,10,65,51,103,71,151,106
01001,01,001,"Autauga County, Alabama",174,188,327,227,271,177,571,229,796,244,819,205,429,212,204,105,117,73,2193,221,2727,264,3404,295,7,13,115,113,33,42,233,67,123,72,189,106,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,60,92,39,43,0,31,0,31,0,31,0,31,0,31,0,31
01003,01,003,"Baldwin County, Alabama",765,309,660,235,897,331,561,239,399,171,1044,366,669,300,791,267,1077,321,10407,549,10474,866,13535,882,715,400,504,396,218,144,729,262,888,294,1220,298,0,31,0,31,0,31,14,29,49,59,57,89,24,38,29,49,25,40,234,135,122,77,169,110,0,31,0,31,0,31,0,31,15,26,0,31
01005,01,005,"Barbour County, Alabama",554,143,530,141,211,116,309,145,436,173,587,179,22,22,0,25,43,41,485,59,475,69,665,98,77,61,213,123,97,97,191,111,17,21,54,64,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,5,9,10,11,0,25,0,25,0,25,0,25,0,25,0,25
01007,01,007,"Bibb County, Alabama",119,89,198,143,269,152,85,110,96,81,77,44,263,124,388,175,118,62,717,120,818,209,907,149,1,2,64,72,28,31,94,82,34,40,12,21,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
01009,01,009,"Blount County, Alabama",0,31,0,31,34,51,41,47,78,70,31,37,336,162,437,186,513,180,2903,252,3130,328,3119,257,314,75,392,157,324,110,255,79,506,116,394,151,5,9,9,15,7,17,1,2,30,35,33,51,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31
01011,01,011,"Bullock County, Alabama",521,171,67,74,155,112,163,94,177,133,496,207,12,14,0,21,4,6,70,44,79,55,73,47,11,22,52,33,73,60,45,45,28,31,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
01013,01,013,"Butler County, Alabama",353,137,402,121,256,113,319,98,310,132,501,120,101,93,52,59,104,71,416,124,427,111,674,104,5,12,4,12,25,46,0,21,40,31,33,36,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,32,31,13,23,0,21,0,21,0,21,0,21,0,21,0,21,0,21
01015,01,015,"Calhoun County, Alabama",822,248,706,221,689,224,1514,354,1036,247,1514,336,801,314,477,215,966,232,3759,331,4311,462,4632,412,187,104,328,163,293,162,335,109,358,130,458,200,0,31,0,31,6,11,0,31,12,18,16,19,15,24,15,23,24,39,15,24,20,35,19,31,0,31,0,31,0,31,20,30,0,31,7,12
01017,01,017,"Chambers County, Alabama",147,88,217,117,346,149,851,162,756,195,862,202,122,80,249,150,121,96,1001,141,817,189,962,170,178,160,0,28,60,53,124,91,78,122,23,30,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,1,2
01019,01,019,"Cherokee County, Alabama",0,25,14,22,43,66,6,12,0,25,0,25,194,77,152,85,167,88,871,124,1298,181,1350,130,56,27,29,19,2,3,52,39,18,24,0,25,1,3,2,3,0,25,0,25,0,25,0,25,2,3,1,4,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
01021,01,021,"Chilton County, Alabama",30,36,115,85,38,34,255,118,323,150,167,97,399,178,293,130,375,147,1808,206,2174,314,2367,265,166,158,165,240,109,84,452,248,421,196,350,148,0,28,0,28,0,28,0,28,0,28,122,148,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,16,28,19,33
01023,01,023,"Choctaw County, Alabama",171,87,155,72,127,67,168,63,196,81,157,74,113,76,84,91,0,21,312,95,345,94,488,79,0,21,0,21,0,21,20,23,19,22,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
