GEOID,statecode,countycode,NAME,B11002_001E,B11002_001M,B11002A_001E,B11002A_001M,B11002B_001E,B11002B_001M
00000,00,000,United States,324275237,,211881385,225626,38828497,62256
01000,01,000,Alabama,4917955,,3270529,6389,1263815,5608
01001,01,001,"Autauga County, Alabama",58782,22,43926,496,11464,539
01003,01,003,"Baldwin County, Alabama",236665,86,200422,1957,18239,878
01005,01,005,"Barbour County, Alabama",21690,95,9727,325,10050,236
01007,01,007,"Bibb County, Alabama",20770,275,16402,401,3811,326
01009,01,009,"Blount County, Alabama",58720,20,53260,797,328,113
01011,01,011,"Bullock County, Alabama",9122,66,1995,223,6665,142
01013,01,013,"Butler County, Alabama",18494,7,9638,173,8257,127
01015,01,015,"Calhoun County, Alabama",112121,90,80363,970,23891,630
01017,01,017,"Chambers County, Alabama",33781,28,19133,484,13192,306
01019,01,019,"Cherokee County, Alabama",24941,10,23117,281,907,202
01021,01,021,"Chilton County, Alabama",45099,19,37082,740,3754,316
01023,01,023,"Choctaw County, Alabama",12379,13,7115,127,4692,236
01025,01,025,"Clarke County, Alabama",22431,15,11772,142,10235,191
01027,01,027,"Clay County, Alabama",13943,9,11192,194,1812,207
01029,01,029,"Cleburne County, Alabama",15091,8,14067,240,492,97
01031,01,031,"Coffee County, Alabama",53492,20,39264,527,8917,450
01033,01,033,"Colbert County, Alabama",57197,46,45093,633,8881,413
01035,01,035,"Conecuh County, Alabama",11332,8,5766,102,5392,82
01037,01,037,"Coosa County, Alabama",9986,10,6443,185,3089,113
01039,01,039,"Covington County, Alabama",37004,26,31643,290,4377,244
01041,01,041,"Crenshaw County, Alabama",12922,9,9346,118,3142,136
01043,01,043,"Cullman County, Alabama",88352,38,80764,843,543,148
01045,01,045,"Dale County, Alabama",48646,54,34289,504,10338,415
01047,01,047,"Dallas County, Alabama",37059,20,10019,178,26253,422
01049,01,049,"DeKalb County, Alabama",70990,36,57482,1014,867,238
01051,01,051,"Elmore County, Alabama",84358,138,63696,633,16302,534
01053,01,053,"Escambia County, Alabama",34160,111,21553,542,9703,654
01055,01,055,"Etowah County, Alabama",101711,40,80327,730,14405,427
01057,01,057,"Fayette County, Alabama",15862,13,13691,300,1802,343
01059,01,059,"Franklin County, Alabama",31676,21,24606,513,1167,161
01061,01,061,"Geneva County, Alabama",26467,7,22676,498,2277,235
01063,01,063,"Greene County, Alabama",7470,39,1233,68,6172,56
01065,01,065,"Hale County, Alabama",14544,5,5564,155,8308,306
01067,01,067,"Henry County, Alabama",17193,10,12224,155,4391,158
01069,01,069,"Houston County, Alabama",106498,54,71330,554,28509,327
01071,01,071,"Jackson County, Alabama",52188,23,46409,484,1524,232
01073,01,073,"Jefferson County, Alabama",649276,472,319256,2347,277973,2268
01075,01,075,"Lamar County, Alabama",13666,22,12215,168,1299,164
01077,01,077,"Lauderdale County, Alabama",92267,147,78095,831,7914,532
01079,01,079,"Lawrence County, Alabama",32932,12,24744,558,3249,169
01081,01,081,"Lee County, Alabama",170357,125,116034,1913,36543,1089
01083,01,083,"Limestone County, Alabama",104503,134,80976,1239,13080,986
01085,01,085,"Lowndes County, Alabama",9846,8,2426,63,7377,68
01087,01,087,"Macon County, Alabama",16388,126,2399,256,13383,309
01089,01,089,"Madison County, Alabama",385727,491,255900,1975,92260,1542
01091,01,091,"Marengo County, Alabama",18778,10,8439,426,9717,223
01093,01,093,"Marion County, Alabama",28513,24,26504,606,711,216
01095,01,095,"Marshall County, Alabama",97499,209,81073,1298,2121,364
01097,01,097,"Mobile County, Alabama",405433,144,230901,1584,145645,1327
01099,01,099,"Monroe County, Alabama",19340,8,10359,123,7854,364
01101,01,101,"Montgomery County, Alabama",219056,114,72136,1129,128924,1113
01103,01,103,"Morgan County, Alabama",121612,109,93652,1052,15665,817
01105,01,105,"Perry County, Alabama",7356,39,1825,148,5516,151
01107,01,107,"Pickens County, Alabama",17141,128,9878,194,7041,152
01109,01,109,"Pike County, Alabama",30452,48,17578,495,11507,405
01111,01,111,"Randolph County, Alabama",21754,42,16714,430,3431,385
01113,01,113,"Russell County, Alabama",58334,14,28038,751,25950,633
01115,01,115,"St. Clair County, Alabama",90877,97,78242,676,7648,521
01117,01,117,"Shelby County, Alabama",223237,85,175051,1555,27897,846
01119,01,119,"Sumter County, Alabama",10014,198,1957,302,7676,272
01121,01,121,"Talladega County, Alabama",77548,124,49524,704,24236,547
01123,01,123,"Tallapoosa County, Alabama",40267,30,28022,526,9301,594
01125,01,125,"Tuscaloosa County, Alabama",220222,517,133497,1537,71555,941
01127,01,127,"Walker County, Alabama",63878,34,57162,734,3505,381
01129,01,129,"Washington County, Alabama",15134,13,10647,400,3365,366
01131,01,131,"Wilcox County, Alabama",10154,39,2807,80,7204,128
01133,01,133,"Winston County, Alabama",23258,20,21849,377,120,137
02000,02,000,Alaska,703871,,457744,3450,21041,1518
02013,02,013,"Aleutians East Borough, Alaska",2235,101,359,85,0,10
02016,02,016,"Aleutians West Census Area, Alaska",3520,555,875,417,32,27
02020,02,020,"Anchorage Municipality, Alaska",281657,11174,177016,7651,14801,1645
02050,02,050,"Bethel Census Area, Alaska",17479,71,1484,458,169,69
02060,02,060,"Bristol Bay Borough, Alaska",692,74,396,75,0,10
02063,02,063,"Chugach Census Area, Alaska",6645,522,4972,433,61,64
02066,02,066,"Copper River Census Area, Alaska",2598,3,1590,151,0,10
02068,02,068,"Denali Borough, Alaska",1204,113,1110,128,6,10
02070,02,070,"Dillingham Census Area, Alaska",4396,575,634,476,18,23
02090,02,090,"Fairbanks North Star Borough, Alaska",91613,8089,69349,6253,3803,987
02100,02,100,"Haines Borough, Alaska",2012,10,1692,121,0,10
02105,02,105,"Hoonah-Angoon Census Area, Alaska",2151,10,1152,99,10,10
02110,02,110,"Juneau City and Borough, Alaska",31302,64,21547,716,176,72
02122,02,122,"Kenai Peninsula Borough, Alaska",58062,144,48839,696,224,85
02130,02,130,"Ketchikan Gateway Borough, Alaska",13564,120,9261,273,61,46
02150,02,150,"Kodiak Island Borough, Alaska",12374,863,6561,809,38,48
02158,02,158,"Kusilvak Census Area, Alaska",7999,48,267,121,0,15
02164,02,164,"Lake and Peninsula Borough, Alaska",838,101,119,51,3,4
02170,02,170,"Matanuska-Susitna Borough, Alaska",108195,116,89028,1055,1250,260
02180,02,180,"Nome Census Area, Alaska",9321,147,1523,220,56,46
02185,02,185,"North Slope Borough, Alaska",7291,261,924,334,182,134
02188,02,188,"Northwest Arctic Borough, Alaska",7098,36,734,157,54,36
02195,02,195,"Petersburg Borough, Alaska",3197,242,2150,238,18,19
02198,02,198,"Prince of Wales-Hyder Census Area, Alaska",5596,50,2523,95,13,13
02220,02,220,"Sitka City and Borough, Alaska",8072,137,5333,235,19,16
02230,02,230,"Skagway Municipality, Alaska",1069,76,852,87,4,5
02240,02,240,"Southeast Fairbanks Census Area, Alaska",6438,298,4984,288,43,23
02275,02,275,"Wrangell City and Borough, Alaska",2053,4,1262,123,0,10
02282,02,282,"Yakutat City and Borough, Alaska",395,68,112,36,0,10
02290,02,290,"Yukon-Koyukuk Census Area, Alaska",4805,53,1096,92,0,15
04000,04,000,Arizona,7105986,,4694099,14151,305978,5460
04001,04,001,"Apache County, Arizona",64155,108,13935,839,165,100
04003,04,003,"Cochise County, Arizona",119401,203,85119,1500,3422,503
04005,04,005,"Coconino County, Arizona",131344,313,78037,1311,1283,419
04007,04,007,"Gila County, Arizona",52382,69,36402,864,170,117
04009,04,009,"Graham County, Arizona",35751,82,24880,776,28,33
04011,04,011,"Greenlee County, Arizona",9376,9,6182,496,164,134
04012,04,012,"La Paz County, Arizona",16451,85,10435,334,57,72
04013,04,013,"Maricopa County, Arizona",4422969,879,2911463,12058,243131,5142
04015,04,015,"Mohave County, Arizona",213450,228,179024,2175,1677,486
04017,04,017,"Navajo County, Arizona",104888,134,49585,944,454,271
04019,04,019,"Pima County, Arizona",1019784,569,676949,5965,33788,1851
04021,04,021,"Pinal County, Arizona",430747,444,302087,3455,18097,1404
04023,04,023,"Santa Cruz County, Arizona",47998,21,20956,1743,56,64
04025,04,025,"Yavapai County, Arizona",237073,124,198603,1914,1147,533
04027,04,027,"Yuma County, Arizona",200217,256,100442,3420,2339,568
05000,05,000,Arkansas,2949085,,2127720,9155,429936,3228
05001,05,001,"Arkansas County, Arkansas",16503,12,11495,217,4446,149
05003,05,003,"Ashley County, Arkansas",18547,8,13214,269,4598,121
05005,05,005,"Baxter County, Arkansas",41698,19,38744,512,108,82
05007,05,007,"Benton County, Arkansas",291522,50,195761,4088,5026,541
05009,05,009,"Boone County, Arkansas",37440,19,35956,310,33,48
05011,05,011,"Bradley County, Arkansas",10168,8,5881,292,2897,190
05013,05,013,"Calhoun County, Arkansas",4520,32,3500,163,523,179
05015,05,015,"Carroll County, Arkansas",28223,20,21253,827,0,24
05017,05,017,"Chicot County, Arkansas",9244,84,3958,312,4937,278
05019,05,019,"Clark County, Arkansas",18752,61,13192,327,4474,224
05021,05,021,"Clay County, Arkansas",14295,6,13862,149,0,20
05023,05,023,"Cleburne County, Arkansas",24751,33,23508,345,121,184
05025,05,025,"Cleveland County, Arkansas",7413,2,6103,189,1032,187
05027,05,027,"Columbia County, Arkansas",20481,127,12827,368,7148,296
05029,05,029,"Conway County, Arkansas",20686,9,17111,360,2416,274
05031,05,031,"Craighead County, Arkansas",108672,42,79454,1160,18445,679
05033,05,033,"Crawford County, Arkansas",60015,36,50173,1204,336,168
05035,05,035,"Crittenden County, Arkansas",46894,22,19144,356,24231,559
05037,05,037,"Cross County, Arkansas",16502,8,11761,212,3103,289
05039,05,039,"Dallas County, Arkansas",6043,32,3258,118,2706,127
05041,05,041,"Desha County, Arkansas",10920,9,5047,246,5265,150
05043,05,043,"Drew County, Arkansas",16391,17,10676,333,4361,220
05045,05,045,"Faulkner County, Arkansas",120744,43,98865,1237,13008,630
05047,05,047,"Franklin County, Arkansas",16857,22,14538,585,3,5
05049,05,049,"Fulton County, Arkansas",12064,12,11191,130,0,20
05051,05,051,"Garland County, Arkansas",98263,57,83891,966,7680,592
05053,05,053,"Grant County, Arkansas",17955,7,16850,249,396,117
05055,05,055,"Greene County, Arkansas",45417,33,40978,810,1094,319
05057,05,057,"Hempstead County, Arkansas",19425,12,10785,389,5690,281
05059,05,059,"Hot Spring County, Arkansas",30848,171,27010,281,2843,190
05061,05,061,"Howard County, Arkansas",12510,20,8003,276,2688,171
05063,05,063,"Independence County, Arkansas",37103,27,31888,828,364,205
05065,05,065,"Izard County, Arkansas",12698,50,11727,331,0,20
05067,05,067,"Jackson County, Arkansas",14413,111,11278,227,1841,264
05069,05,069,"Jefferson County, Arkansas",60010,256,22399,517,34709,595
05071,05,071,"Johnson County, Arkansas",25136,47,21374,517,410,146
05073,05,073,"Lafayette County, Arkansas",6112,19,3558,123,2248,148
05075,05,075,"Lawrence County, Arkansas",15669,22,14922,304,21,39
05077,05,077,"Lee County, Arkansas",6984,101,2730,157,3852,132
05079,05,079,"Lincoln County, Arkansas",8558,273,6458,235,1259,260
05081,05,081,"Little River County, Arkansas",11794,13,8653,293,2263,182
05083,05,083,"Logan County, Arkansas",20703,25,18537,420,264,116
05085,05,085,"Lonoke County, Arkansas",74039,28,65685,630,3734,388
05087,05,087,"Madison County, Arkansas",16927,5,12920,702,0,20
05089,05,089,"Marion County, Arkansas",16924,6,16015,205,0,20
05091,05,091,"Miller County, Arkansas",41287,59,28156,558,10652,309
05093,05,093,"Mississippi County, Arkansas",38934,20,22485,508,13665,389
05095,05,095,"Monroe County, Arkansas",6592,8,3572,85,2661,93
05097,05,097,"Montgomery County, Arkansas",8452,9,7884,134,10,15
05099,05,099,"Nevada County, Arkansas",8044,9,5318,129,2475,90
05101,05,101,"Newton County, Arkansas",7103,17,6655,141,0,18
05103,05,103,"Ouachita County, Arkansas",21938,8,12393,245,8934,241
05105,05,105,"Perry County, Arkansas",9923,17,9297,158,123,108
05107,05,107,"Phillips County, Arkansas",15704,8,5531,163,9667,195
05109,05,109,"Pike County, Arkansas",9952,19,8861,163,281,102
05111,05,111,"Poinsett County, Arkansas",22403,14,19334,347,1272,313
05113,05,113,"Polk County, Arkansas",19198,30,17490,276,0,20
05115,05,115,"Pope County, Arkansas",60664,41,52440,1017,1015,474
05117,05,117,"Prairie County, Arkansas",8007,5,6947,142,767,123
05119,05,119,"Pulaski County, Arkansas",391116,164,202112,2249,144881,1685
05121,05,121,"Randolph County, Arkansas",18375,16,16862,242,289,155
05123,05,123,"St. Francis County, Arkansas",19811,190,7957,204,11140,180
05125,05,125,"Saline County, Arkansas",124412,37,103627,1251,10349,790
05127,05,127,"Scott County, Arkansas",9748,5,8318,233,0,18
05129,05,129,"Searcy County, Arkansas",7778,28,7024,290,0,18
05131,05,131,"Sebastian County, Arkansas",126517,43,90117,1270,6697,747
05133,05,133,"Sevier County, Arkansas",15686,7,9382,526,706,203
05135,05,135,"Sharp County, Arkansas",17388,38,16166,359,61,70
05137,05,137,"Stone County, Arkansas",12333,5,10987,351,0,20
05139,05,139,"Union County, Arkansas",37781,33,23613,442,12337,285
05141,05,141,"Van Buren County, Arkansas",15748,10,14963,221,43,62
05143,05,143,"Washington County, Arkansas",243329,169,167769,2792,6370,819
05145,05,145,"White County, Arkansas",74140,63,66429,817,3072,419
05147,05,147,"Woodruff County, Arkansas",6038,11,4335,83,1608,102
05149,05,149,"Yell County, Arkansas",19851,22,15563,434,288,76
06000,06,000,California,38375886,,17657565,43187,2007586,10718
06001,06,001,"Alameda County, California",1616334,811,545647,5240,154290,2660
06003,06,003,"Alpine County, California",1620,234,1029,231,0,14
06005,06,005,"Amador County, California",37709,70,32184,576,113,94
06007,06,007,"Butte County, California",203212,92,154187,2127,3261,456
06009,06,009,"Calaveras County, California",45469,17,38106,927,276,235
06011,06,011,"Colusa County, California",21611,343,11315,905,223,91
06013,06,013,"Contra Costa County, California",1149516,218,531844,5163,95662,2230
06015,06,015,"Del Norte County, California",24963,64,17902,729,179,119
06017,06,017,"El Dorado County, California",190351,41,157726,1967,1340,410
06019,06,019,"Fresno County, California",992857,287,438604,5774,41808,1921
06021,06,021,"Glenn County, California",28375,9,16917,983,0,25
06023,06,023,"Humboldt County, California",131329,63,101267,1599,1331,651
06025,06,025,"Imperial County, California",171629,255,54694,3653,3215,620
06027,06,027,"Inyo County, California",18054,135,12340,474,123,143
06029,06,029,"Kern County, California",885143,258,453861,6616,40159,1500
06031,06,031,"Kings County, California",139458,310,70430,2867,7135,772
06033,06,033,"Lake County, California",67099,79,48164,1139,1149,332
06035,06,035,"Lassen County, California",23932,206,18961,499,604,231
06037,06,037,"Los Angeles County, California",9647895,3311,3539874,16852,722983,5888
06039,06,039,"Madera County, California",152259,118,70642,2568,2730,656
06041,06,041,"Marin County, California",252204,181,187035,2165,4293,706
06043,06,043,"Mariposa County, California",15119,70,12394,414,102,104
06045,06,045,"Mendocino County, California",88395,101,64152,1491,460,205
06047,06,047,"Merced County, California",280581,94,104155,3750,7970,1008
06049,06,049,"Modoc County, California",8088,17,6843,272,26,37
06051,06,051,"Mono County, California",12675,28,9718,639,0,21
06053,06,053,"Monterey County, California",417081,455,155388,3730,6581,805
06055,06,055,"Napa County, California",131920,254,82088,1967,1436,308
06057,06,057,"Nevada County, California",100935,38,88497,1238,172,63
06059,06,059,"Orange County, California",3112178,717,1493284,8948,47300,2614
