zcta5_2020,statecode,countycode_2022,countycode_2020
06001,09,110,003
06002,09,110,003
06010,09,140,003
06013,09,160,003
06016,09,110,003
06018,09,160,005
06019,09,110,003
06020,09,110,003
06021,09,160,005
06022,09,110,003
06023,09,110,003
06024,09,160,005
06026,09,110,003
06027,09,160,003
06029,09,110,013
06031,09,160,005
06032,09,110,003
06033,09,110,003
06035,09,110,003
06037,09,110,003
06039,09,160,005
06040,09,110,003
06042,09,110,003
06043,09,110,013
06051,09,110,003
06052,09,110,003
06053,09,110,003
06057,09,160,005
06058,09,160,005
06059,09,110,003
06060,09,110,003
06061,09,160,005
06062,09,110,003
06063,09,160,005
06065,09,160,003
06066,09,110,013
06067,09,110,003
06068,09,160,005
06069,09,160,005
06070,09,110,003
06071,09,110,013
06072,09,110,013
06073,09,110,003
06074,09,110,003
06076,09,110,013
06078,09,110,003
06079,09,160,005
06080,09,110,003
06081,09,110,003
06082,09,110,003
06084,09,110,013
06085,09,110,003
06088,09,110,003
06089,09,110,003
06090,09,110,003
06091,09,160,003
06092,09,110,003
06093,09,110,003
06095,09,110,003
06096,09,110,003
06098,09,160,005
06103,09,110,003
06105,09,110,003
06106,09,110,003
06107,09,110,003
06108,09,110,003
06109,09,110,003
06110,09,110,003
06111,09,110,003
06112,09,110,003
06114,09,110,003
06117,09,110,003
06118,09,110,003
06119,09,110,003
06120,09,110,003
06226,09,180,015
06231,09,110,013
06232,09,110,013
06234,09,150,015
06235,09,150,015
06237,09,110,013
06238,09,110,013
06239,09,150,015
06241,09,150,015
06242,09,150,015
06243,09,150,015
06247,09,150,015
06248,09,110,013
06249,09,180,011
06250,09,110,013
06254,09,180,011
06255,09,150,015
06256,09,180,015
06258,09,150,015
06259,09,150,015
06260,09,150,015
06262,09,150,015
06263,09,150,015
06264,09,150,015
06266,09,180,015
06268,09,110,013
06269,09,110,013
06277,09,150,015
06278,09,150,015
06279,09,110,013
06280,09,180,015
06281,09,150,015
06282,09,150,015
06320,09,180,011
06330,09,180,011
06331,09,150,015
06332,09,150,015
06333,09,180,011
06334,09,180,011
06335,09,180,011
06336,09,180,011
06338,09,180,011
06339,09,180,011
06340,09,180,011
06350,09,180,011
06351,09,180,011
06353,09,180,011
06354,09,150,015
06355,09,180,011
06357,09,180,011
06359,09,180,011
06360,09,180,011
06365,09,180,011
06370,09,180,011
06371,09,130,011
06373,09,150,015
06374,09,150,015
06375,09,180,011
06376,09,130,011
06377,09,150,015
06378,09,180,011
06379,09,180,011
06380,09,180,011
06382,09,180,011
06384,09,150,011
06385,09,180,011
06387,09,150,015
06389,09,180,011
06401,09,140,009
06403,09,140,009
06405,09,170,009
06409,09,130,007
06410,09,140,009
06412,09,130,007
06413,09,130,007
06414,09,130,007
06415,09,180,011
06416,09,130,007
06417,09,130,007
06418,09,140,009
06419,09,130,007
06420,09,180,011
06422,09,130,007
06423,09,130,007
06424,09,130,007
06426,09,130,007
06437,09,170,009
06438,09,130,007
06439,09,130,011
06441,09,130,007
06442,09,130,007
06443,09,170,009
06444,09,110,003
06447,09,110,003
06450,09,170,009
06451,09,170,009
06455,09,130,007
06456,09,130,007
06457,09,130,007
06459,09,130,007
06460,09,170,009
06461,09,170,009
06467,09,110,003
06468,09,120,001
06469,09,130,007
06470,09,190,001
06471,09,170,009
06472,09,170,009
06473,09,170,009
06475,09,130,007
06477,09,170,009
06478,09,140,009
06479,09,110,003
06480,09,130,007
06481,09,130,007
06482,09,190,001
06483,09,140,009
06484,09,140,001
06488,09,140,009
06489,09,110,003
06492,09,170,009
06498,09,130,007
06510,09,170,009
06511,09,170,009
06512,09,170,009
06513,09,170,009
06514,09,170,009
06515,09,170,009
06516,09,170,009
06517,09,170,009
06518,09,170,009
06519,09,170,009
06524,09,170,009
06525,09,170,009
06604,09,120,001
06605,09,120,001
06606,09,120,001
06607,09,120,001
06608,09,120,001
06610,09,120,001
06611,09,120,001
06612,09,120,001
06614,09,120,001
06615,09,120,001
06702,09,140,009
06704,09,140,009
06705,09,140,009
06706,09,140,009
06708,09,140,009
06710,09,140,009
06712,09,140,009
06716,09,140,009
06750,09,160,005
06751,09,140,005
06752,09,190,005
06753,09,160,005
06754,09,160,005
06755,09,190,005
06756,09,160,005
06757,09,160,005
06758,09,160,005
06759,09,160,005
06762,09,140,009
06763,09,160,005
06770,09,140,009
06776,09,190,005
06777,09,160,005
06778,09,160,005
06779,09,140,005
06782,09,140,005
06783,09,160,005
06784,09,190,001
06785,09,160,005
06786,09,140,005
06787,09,140,005
06790,09,160,005
06791,09,160,005
06793,09,160,005
06794,09,160,005
06795,09,140,005
06796,09,160,005
06798,09,140,005
06801,09,190,001
06804,09,190,001
06807,09,190,001
06810,09,190,001
06811,09,190,001
06812,09,190,001
06820,09,190,001
06824,09,120,001
06825,09,120,001
06830,09,190,001
06831,09,190,001
06840,09,190,001
06850,09,190,001
06851,09,190,001
06853,09,190,001
06854,09,190,001
06855,09,190,001
06870,09,190,001
06877,09,190,001
06878,09,190,001
06880,09,190,001
06883,09,190,001
06890,09,120,001
06896,09,190,001
06897,09,190,001
06901,09,190,001
06902,09,190,001
06903,09,190,001
06905,09,190,001
06906,09,190,001
06907,09,190,001
