statecode,countycode,v001_race_white,v001_race_white_cilow,v001_race_white_cihigh,v001_race_white_flag2,v001_race_black,v001_race_black_cilow,v001_race_black_cihigh,v001_race_black_flag2,v001_race_aian,v001_race_aian_cilow,v001_race_aian_cihigh,v001_race_aian_flag2,v001_race_asian,v001_race_asian_cilow,v001_race_asian_cihigh,v001_race_asian_flag2,v001_race_nhopi,v001_race_nhopi_cilow,v001_race_nhopi_cihigh,v001_race_nhopi_flag2,v001_race_tom,v001_race_tom_cilow,v001_race_tom_cihigh,v001_race_tom_flag2,v001_race_hispanic,v001_race_hispanic_cilow,v001_race_hispanic_cihigh,v001_race_hispanic_flag2,v001_race_flag_CT
00,000,8038.489962961056,8023.909547237199,8053.0703786849135,,13698.397493350565,13657.966914999066,13738.828071702064,,17595.989731731785,17402.762062465976,17789.217400997593,,3287.2325152533576,3259.0274262156695,3315.4376042910458,,12223.375847586512,11925.855870681704,12520.895824491321,,5499.575062470336,5429.975328275072,5569.1747966656,,6933.658714795207,6911.042621842333,6956.274807748081,,
01,000,10855.355098350092,10726.081402680875,10984.628794019309,,15767.493943301062,15522.751910411329,16012.235976190796,,6128.074888236706,4706.589124085136,7549.560652388276,,3517.48851314088,3031.7868750445236,4003.1901512372365,,10354.068762655545,6563.591413171199,15536.186944402041,1,3639.5063145890867,3038.7656038179184,4240.247025360255,,6680.949111876576,6309.537463071662,7052.36076068149,,
01,001,9204.93542303805,8192.606372422499,10217.264473653602,,14123.416478261333,11697.578650564757,16549.254305957907,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,003,8730.354840234115,8230.236571968657,9230.473108499573,,14756.810614646869,12841.007120755286,16672.61410853845,,,,,2,,,,2,,,,2,,,,2,4636.484239706247,3355.446633901587,6245.313843728293,,
01,005,10657.61194848713,8480.37231912735,12834.851577846912,,15318.969815934863,12807.414171177674,17830.52546069205,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,007,11951.858059239927,10167.686687682777,13736.029430797076,,11576.084947336472,8443.675795227953,15489.712439392886,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,009,12605.226560132018,11473.751066997274,13736.702053266761,,20007.07640913748,11654.85929216382,32033.267447010014,1,,,,2,,,,2,,,,2,,,,2,4471.911834046744,2731.5599252415864,6906.505133873924,1,
01,011,9641.020223248495,5133.4372269333035,16486.438201368503,1,19644.613374557655,15631.449250351056,23657.777498764255,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,013,12175.887746407725,9579.162358218222,14772.613134597228,,17911.76983390527,14761.744347504784,21061.795320305755,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,015,14640.803653819574,13703.460967026913,15578.146340612235,,15369.189348755719,13671.842279803155,17066.53641770828,,,,,2,,,,2,,,,2,,,,2,5648.70279728704,3580.7930221163024,8475.827683175465,1,
01,017,12022.063695725254,10117.750722338395,13926.376669112113,,13770.740281629318,11585.463163030721,15956.017400227915,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,019,13147.391578668978,11466.612190097168,14828.170967240787,,10186.746839048626,5085.187319423542,18226.90396467382,1,,,,2,,,,2,,,,2,,,,2,,,,2,
01,021,12205.924986560753,10949.319535160634,13462.530437960871,,13709.90471746732,9898.898499527482,17520.910935407155,,,,,2,,,,2,,,,2,,,,2,6293.033391506076,3729.650419425757,9945.705848728525,1,
01,023,10888.109934196384,7782.361988304067,13993.8578800887,,16377.209767016535,11970.90349228336,20783.51604174971,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,025,13592.753564596429,10951.16765483311,16234.339474359747,,20046.220218125323,16892.504856976244,23199.935579274403,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,027,13399.797421304364,10836.025139214209,15963.569703394518,,13873.276197331506,8888.86983371957,20642.335289658393,1,,,,2,,,,2,,,,2,,,,2,,,,2,
01,029,12688.603996514898,10560.2092037557,14816.998789274096,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
01,031,9260.322044611774,8201.993546449732,10318.650542773816,,17446.127733225996,14308.47956806048,20583.775898391512,,,,,2,,,,2,,,,2,,,,2,6468.432673896256,4144.446866667434,9624.515085977388,1,
01,033,11531.494037365479,10398.52495254307,12664.463122187888,,17447.63384345973,14105.888781389809,20789.37890552965,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,035,18061.375969873872,13063.020727895915,23059.73121185183,,21894.19844738003,17035.72669464672,26752.670200113338,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,037,12183.222227655364,8790.749787394918,15575.69466791581,,21679.053652837334,15100.255191287788,30150.31567051876,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,039,13850.254484565,12342.502361245275,15358.006607884727,,23507.141182651747,18532.773497317456,28481.50886798604,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,041,12937.786181643865,10416.754516505713,15458.817846782018,,18278.02248887502,12950.647917973614,23605.397059776427,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,043,12200.697073717714,11346.75179947837,13054.642347957059,,8561.12016469909,4273.68034068616,15318.208799873952,1,,,,2,,,,2,,,,2,,,,2,8298.839797719955,5370.571551736617,12250.724636144065,,
01,045,12314.419509078427,10959.587825561386,13669.251192595468,,13991.875401777259,11529.228510503079,16454.52229305144,,,,,2,,,,2,,,,2,,,,2,6579.532456370782,3899.447922626675,10398.497888403086,1,
01,047,13897.291744818569,11081.02042492526,16713.563064711878,,23108.82411522335,20912.478341533744,25305.169888912955,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,049,13165.340187173291,12099.40165927211,14231.278715074473,,16438.052197148365,9896.781229243612,25670.054723351055,1,,,,2,,,,2,,,,2,,,,2,6785.159105632383,5202.1425795482965,8698.267752158476,,
01,051,9011.568602783029,8178.00316895904,9845.134036607018,,12329.134806427188,10532.480612893245,14125.78899996113,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,053,14733.108308377285,12849.717958878153,16616.498657876415,,16464.44075659729,13937.127336359714,18991.754176834867,,14988.106015813872,9155.124534515044,23147.91413309047,1,,,,2,,,,2,,,,2,,,,2,
01,055,14292.259144900709,13349.981116703593,15234.537173097824,,19933.321384125273,17453.77996267794,22412.862805572604,,,,,2,,,,2,,,,2,,,,2,7086.112520151993,4585.7584000583665,10460.499942288961,1,
01,057,14602.27478346223,12189.649534289782,17014.900032634676,,19560.206681768053,12399.493142189574,29349.913994694238,1,,,,2,,,,2,,,,2,,,,2,,,,2,
01,059,13638.12454765534,11970.483201521889,15305.76589378879,,22308.427183400978,14293.430232896575,33193.17132843274,1,,,,2,,,,2,,,,2,,,,2,7634.719699184367,5347.263816343679,10569.670201779403,,
01,061,13853.265633746887,12097.806677299497,15608.724590194277,,25279.257280145095,17798.9300365836,34844.126227921166,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,063,16696.20196101173,9726.152916588495,26732.236726107396,1,16184.851540497386,12375.934193718578,19993.768887276194,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,065,11096.80132806041,8261.483787816536,13932.118868304284,,19642.222642140947,16143.45925779429,23140.986026487604,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,067,8872.041002497948,6897.768453278551,10846.313551717345,,16382.549992064967,11929.831224214056,20835.268759915878,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,069,9723.992076609116,8903.542776597398,10544.441376620834,,15567.470421423694,14003.644235252817,17131.29660759457,,,,,2,,,,2,,,,2,,,,2,7195.954409517072,4610.583770247502,10707.00976016889,1,
01,071,14446.82118271635,13230.58377605717,15663.05858937553,,16439.816484340216,9743.2771497543,25981.99767714807,1,,,,2,,,,2,,,,2,,,,2,,,,2,
01,073,10096.0526816029,9706.309987302468,10485.795375903332,,17503.645334364326,16930.6203936916,18076.670275037053,,,,,2,3415.780346579938,2336.391228452908,4822.062674387551,,,,,2,4263.54428973678,2526.846555417919,6738.238102467767,1,9007.913804270698,7728.013313839631,10287.814294701766,,
01,075,11619.803321563606,9502.45533917701,13737.151303950202,,18911.489515471538,11551.629102745972,29207.261742817667,1,,,,2,,,,2,,,,2,,,,2,,,,2,
01,077,9507.677692842848,8739.331509854119,10276.023875831577,,16304.794098209322,13299.768072691186,19309.82012372746,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,079,14246.422775249039,12607.226953011961,15885.618597486116,,22370.80964045415,15928.99876259972,28812.62051830858,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,081,6862.094710773274,6339.783391260118,7384.406030286429,,12544.060523362094,11234.182894955617,13853.93815176857,,,,,2,,,,2,,,,2,,,,2,4061.2804744110554,2545.1828510985497,6148.827445088767,1,
01,083,9248.754936393136,8503.15120048215,9994.35867230412,,8558.695198936144,6825.304546441038,10292.08585143125,,,,,2,,,,2,,,,2,,,,2,7467.890174214898,5382.198371285272,10094.41805405704,,
01,085,15486.246453671796,8667.534581734732,25542.20845077411,1,22345.234593018886,18236.963740770843,26453.50544526693,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,087,10328.759797785135,6472.97877506258,15637.86646071534,1,17602.78618747749,14830.665234712145,20374.907140242834,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,089,8619.898268306177,8201.390827335817,9038.405709276536,,12287.537134926737,11474.761092724195,13100.31317712928,,,,,2,2691.4913284517024,1706.1746234259617,4038.5585026130416,1,,,,2,,,,2,5165.598900465687,4120.283986299781,6395.362931331843,,
01,091,11492.693523366666,8602.330587596054,14383.056459137279,,18377.461572695112,15346.809899531325,21408.113245858898,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,093,13122.961335975297,11545.311709624712,14700.610962325882,,10167.848148474191,5811.803753021708,16511.948375885593,1,,,,2,,,,2,,,,2,,,,2,,,,2,
01,095,13498.904735074198,12567.56582569875,14430.243644449647,,15626.592090005659,10821.86928946242,21836.596153484592,,,,,2,,,,2,,,,2,,,,2,9104.740267836381,7310.081261648444,10899.39927402432,,
01,097,11260.681912726921,10763.016223699275,11758.347601754567,,15884.084942297723,15158.823658168596,16609.34622642685,,13544.020115926047,9379.62765676494,18926.410561091285,,4929.831462852171,3521.9438735411504,6713.031238550901,,,,,2,,,,2,5792.441959695587,4387.138973818156,7504.780421380971,,
01,099,12581.108523443045,10056.948933846059,15105.26811304003,,20546.67628399546,16857.45354477777,24235.89902321315,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,101,9623.3972447926335,8809.013806599365,10437.780682985902,,15403.244164684367,14654.031503493508,16152.456825875226,,,,,2,4130.4818813680195,2258.172880536696,6930.2467459958125,1,,,,2,,,,2,11564.412794232398,8962.2610731769,14686.395460110769,,
01,103,12119.496690792532,11275.798632823016,12963.194748762047,,18148.54910724083,15704.297683737,20592.80053074466,,,,,2,,,,2,,,,2,,,,2,9107.367395844223,7221.5759339320275,11334.907076911466,,
01,105,8522.186873577562,5402.335436152527,12787.464665153768,1,21188.780241423963,16747.456769508386,25630.10371333954,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,107,11054.330687964568,8490.103600297625,13618.55777563151,,17875.707079746127,14387.58464708989,21363.829512402364,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,109,11500.005405407584,9697.20346713972,13302.80734367545,,18087.809853288425,15252.497682423469,20923.12202415338,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,111,11627.111235491895,9691.312592916172,13562.909878067618,,13830.439575659046,10009.509201705845,17651.369949612246,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,113,16154.991019810397,14383.613404244761,17926.368635376035,,13863.541999717956,12239.498282084274,15487.585717351638,,,,,2,,,,2,,,,2,,,,2,5390.854531525131,3140.3714238205253,8631.280325265427,1,
01,115,12030.764853100824,11166.202257855006,12895.327448346641,,13481.427955154348,10603.82874748225,16359.027162826445,,,,,2,,,,2,,,,2,,,,2,,,,2,
