"","statecode","countycode","birthsums_tom","birthsums_black","birthsums_hispanic","birthsums_white","birthsums_","birthsums_nhopi","birthsums_aian","birthsums_asian","pop_tom","pop_black","pop_hispanic","pop_white","pop_","pop_nhopi","pop_aian","pop_asian","rate_tom","rate_black","rate_hispanic","rate_white","rate_","rate_nhopi","rate_aian","rate_asian","lci_tom","lci_black","lci_hispanic","lci_white","lci_","lci_nhopi","lci_aian","lci_asian","uci_tom","uci_black","uci_hispanic","uci_white","uci_","uci_nhopi","uci_aian","uci_asian","fips"
"1","00","000",42758,237413,425625,394866,7154,3316,16043,8529,2732249,10113291,17856749,37728900,NA,145820,614401,3908270,15.6493789548464,23.4753454637071,23.8355257163552,10.465876291119,NA,22.7403648333562,26.1116111464662,2.18229549135551,15.5010436641159,23.3809141969772,23.7639167768798,10.4332320333768,NA,21.9663554273537,25.7075501326063,2.13598060853908,15.7977142455768,23.569776730437,23.9071346558306,10.4985205488612,NA,23.5143742393587,26.5156721603261,2.22861037417194,"00000"
"2","01","000",778,9672,3852,11974,NA,15,76,38,28595,333494,74950,652241,NA,764,6029,17994,27.2075537681413,29.0020210258655,51.3942628418946,18.3582448818765,NA,19.6335078534031,12.6057389285122,2.11181504946093,25.2956951680557,28.4240232190765,49.7712290074771,18.0294177813091,NA,10.9887253046902,9.93188851823745,1.49444601785018,29.1194123682269,29.5800188326546,53.0172966763121,18.6870719824439,NA,32.382485433882,15.7779620108362,2.89863115034231,"01000"
"3","01","001",NA,67,NA,181,NA,NA,NA,NA,348,2848,603,9011,NA,NA,NA,NA,NA,23.5252808988764,NA,20.0865608700477,NA,NA,NA,NA,NA,18.2317695664328,NA,17.1602371399107,NA,NA,NA,NA,NA,29.8762751502094,NA,23.0128846001847,NA,NA,NA,NA,"01001"
"4","01","003",40,149,163,553,NA,NA,NA,NA,1521,5416,3216,36039,NA,NA,292,1363,26.2984878369494,27.5110782865583,50.68407960199,15.3444879158689,NA,NA,NA,NA,18.788025274023,23.09363940051,42.9031079427191,14.0655604765972,NA,NA,NA,NA,35.8110762419356,31.9285171726067,58.465051261261,16.6234153551407,NA,NA,NA,NA,"01003"
"5","01","005",NA,87,35,49,NA,NA,NA,NA,81,2463,356,1869,NA,NA,NA,NA,NA,35.3227771010962,98.314606741573,26.2172284644195,NA,NA,NA,NA,NA,28.2920964416645,68.4797258497746,19.395649945869,NA,NA,NA,NA,NA,43.5705150558359,136.731818452481,34.6605663953549,NA,NA,NA,NA,"01005"
"6","01","007",NA,22,11,80,NA,NA,NA,NA,93,706,116,2998,NA,NA,NA,NA,NA,31.1614730878187,94.8275862068965,26.6844563042028,NA,NA,NA,NA,NA,19.5287292807785,47.3375893727314,21.1591142731789,NA,NA,NA,NA,NA,47.1788447409706,169.672745804327,33.2111157329681,NA,NA,NA,NA,"01007"
"7","01","009",NA,NA,58,226,NA,NA,NA,NA,241,231,2063,10091,NA,NA,NA,NA,NA,NA,28.114396509937,22.3961946288772,NA,NA,NA,NA,NA,NA,21.3484399807318,19.4762401247041,NA,NA,NA,NA,NA,NA,36.3443769969436,25.3161491330503,NA,NA,NA,NA,"01009"
"8","01","011",NA,44,16,NA,NA,NA,NA,NA,19,1278,232,223,NA,NA,NA,NA,NA,34.4287949921753,68.9655172413793,NA,NA,NA,NA,NA,NA,25.0160151472178,39.4197519553514,NA,NA,NA,NA,NA,NA,46.2190502975804,111.995679299832,NA,NA,NA,NA,NA,"01011"
"9","01","013",NA,76,NA,47,NA,NA,NA,NA,40,1995,70,1545,NA,NA,NA,NA,NA,38.0952380952381,NA,30.42071197411,NA,NA,NA,NA,NA,30.0147147250394,NA,22.3519949301396,NA,NA,NA,NA,NA,47.6818711595647,NA,40.4530979551113,NA,NA,NA,NA,"01013"
"10","01","015",35,158,61,414,NA,NA,NA,NA,819,7921,1665,16536,NA,NA,NA,NA,42.7350427350427,19.9469763918697,36.6366366366366,25.0362844702467,NA,NA,NA,NA,29.7665230799997,16.8366597681664,28.0241240606502,22.6245706155796,NA,NA,NA,NA,59.4340993517498,23.057293015573,47.061292441343,27.4479983249139,NA,NA,NA,NA,"01015"
