statecode,countycode,v024_numerator,v024_rawvalue,v024_cilow,v024_cihigh,v024_denominator,v024_sourceflag,v024_flag_CT
00,000,11445264,0.16,0.15761702127659574,0.16238297872340426,,,
01,000,236320,0.213,0.20346808510638298,0.222531914893617,,,
01,001,2363,0.17,0.11876595744680851,0.2212340425531915,,,
01,003,7334,0.141,0.10525531914893618,0.1767446808510638,,,
01,005,1738,0.348,0.21693617021276598,0.47906382978723394,,,
01,007,910,0.214,0.13893617021276594,0.28906382978723405,,,
01,009,2250,0.166,0.11357446808510638,0.21842553191489364,,,
01,011,791,0.39799999999999996,0.257404255319149,0.5385957446808509,,,
01,013,1517,0.374,0.27272340425531916,0.47527659574468084,,,
01,015,6923,0.285,0.23138297872340424,0.3386170212765957,,,
01,017,1814,0.26,0.15395744680851065,0.3660425531914894,,,
01,019,966,0.205,0.1227872340425532,0.28721276595744677,,,
01,021,2355,0.215,0.13755319148936168,0.2924468085106383,,,
01,023,854,0.358,0.24719148936170215,0.4688085106382978,,,
01,025,1386,0.287,0.1761914893617021,0.39780851063829786,,,
01,027,726,0.25,0.1606382978723404,0.3393617021276596,,,
01,029,769,0.217,0.14670212765957447,0.28729787234042553,,,
01,031,2769,0.21,0.1587659574468085,0.2612340425531915,,,
01,033,2507,0.205,0.13946808510638298,0.270531914893617,,,
01,035,961,0.431,0.30708510638297876,0.5549148936170213,,,
01,037,459,0.28,0.17514893617021277,0.3848510638297873,,,
01,039,1863,0.22399999999999998,0.1370212765957447,0.31097872340425525,,,
01,041,809,0.271,0.16853191489361702,0.373468085106383,,,
01,043,4308,0.213,0.16653191489361702,0.259468085106383,,,
01,045,2525,0.22,0.1377872340425532,0.30221276595744684,,,
01,047,3819,0.465,0.3327446808510638,0.5972553191489363,,,
01,049,4885,0.28800000000000003,0.23319148936170211,0.342808510638298,,,
01,051,3251,0.17,0.11400000000000002,0.226,,,
01,053,2365,0.29,0.1946808510638298,0.38531914893617014,,,
01,055,5668,0.255,0.19304255319148939,0.3169574468085106,,,
01,057,743,0.22,0.13421276595744686,0.30578723404255315,,,
01,059,2703,0.344,0.29038297872340424,0.3976170212765957,,,
01,061,1575,0.27,0.17944680851063827,0.36055319148936177,,,
01,063,735,0.46799999999999997,0.2952340425531914,0.6407659574468085,,,
01,065,1159,0.322,0.20523404255319147,0.4387659574468086,,,
01,067,820,0.22699999999999998,0.1412127659574468,0.31278723404255315,,,
01,069,5982,0.24600000000000002,0.199531914893617,0.29246808510638306,,,
01,071,2099,0.192,0.13361702127659575,0.25038297872340426,,,
01,073,31910,0.215,0.17806382978723403,0.25193617021276593,,,
01,075,685,0.23,0.14659574468085107,0.31340425531914895,,,
01,077,3063,0.168,0.10365957446808512,0.23234042553191492,,,
01,079,1384,0.192,0.12051063829787236,0.26348936170212767,,,
01,081,5610,0.149,0.10014893617021278,0.1978510638297872,,,
01,083,2795,0.113,0.0736808510638298,0.1523191489361702,,,
01,085,894,0.42100000000000004,0.27802127659574466,0.5639787234042555,,,
01,087,1201,0.406,0.255872340425532,0.5561276595744681,,,
01,089,11793,0.135,0.1004468085106383,0.1695531914893617,,,
01,091,1369,0.331,0.21304255319148935,0.4489574468085107,,,
01,093,1464,0.243,0.16793617021276597,0.318063829787234,,,
