statecode,countycode,num,denom,rate,rse,lci,uci,unreliable,fips
00,000,2176957,25914651,0.08400487430835939,6.486667782645811e-4,0.08389807161285419,0.08411167700386459,0,00000
01,000,42709,406840,0.10497738668764134,0.004577805142279524,0.10403547728726191,0.10591929608802077,0,01000
01,001,479,4792,0.09995826377295493,0.04334745133232685,0.0914657092635973,0.10845081828231255,0,01001
01,003,1362,16746,0.08133285560730921,0.025971111597049717,0.07719273845512026,0.08547297275949817,0,01003
01,005,238,1911,0.12454212454212454,0.060649768628552536,0.10973736050766762,0.13934688857658148,0,01005
01,007,172,1717,0.10017472335468841,0.07232940139443568,0.0859733909154967,0.11437605579388012,0,01007
01,009,358,4682,0.0764630499786416,0.050790866805929286,0.06885114578804262,0.08407495416924059,0,01009
01,011,110,780,0.14102564102564102,0.08836774190199617,0.11659989082811491,0.16545139122316715,0,01011
01,013,195,1501,0.12991339107261826,0.06679807339949265,0.1129045811770246,0.14692220096821193,0,01013
01,015,866,9175,0.09438692098092644,0.03233794343294532,0.08840445431440393,0.10036938764744895,0,01015
01,017,355,2715,0.13075506445672191,0.04948310098630139,0.11807353898111657,0.14343658993232725,0,01017
01,019,123,1610,0.07639751552795031,0.0866542744957838,0.06342197981649468,0.08937305123940593,0,01019
01,021,366,3944,0.09279918864097363,0.04978645138406739,0.08374370974521435,0.1018546675367329,0,01021
01,023,104,963,0.10799584631360332,0.0926118945720006,0.08839251444490487,0.12759917818230176,0,01023
01,025,261,1973,0.1322858590978206,0.05765912982779719,0.11733598355057887,0.14723573464506232,0,01025
01,027,95,1074,0.08845437616387337,0.09795517900045847,0.07147183023288141,0.10543692209486534,0,01027
01,029,104,1232,0.08441558441558442,0.09382801449298767,0.06889131292674464,0.0999398559044242,0,01029
01,031,376,4591,0.08189936832934001,0.04941413764424202,0.07396727447651914,0.08983146218216088,0,01031
01,033,450,4440,0.10135135135135136,0.04468777234319246,0.09247418576425773,0.11022851693844499,0,01033
01,035,131,896,0.14620535714285715,0.08073113623434339,0.12307084091570313,0.1693398733700112,0,01035
01,037,69,588,0.11734693877551021,0.11310204839471107,0.09133346764472666,0.14336040990629376,0,01037
01,039,286,2974,0.09616677874915938,0.05621615442521467,0.08557077083907252,0.10676278665924624,0,01039
01,041,108,1084,0.0996309963099631,0.09130580504090093,0.081801095192751,0.11746089742717519,0,01041
01,043,596,6958,0.08565679793043979,0.039168008493902985,0.07908098580019579,0.09223261006068378,0,01043
01,045,414,4658,0.0888793473593817,0.046912413317655256,0.08070703978907724,0.09705165492968616,0,01045
01,047,441,3129,0.14093959731543623,0.04413595781817084,0.12874740923626904,0.15313178539460343,0,01047
01,049,482,5742,0.08394287704632532,0.04359510809840203,0.07677025940043149,0.09111549469221915,0,01049
01,051,599,6473,0.09253823574849375,0.03892250260583217,0.08547866909325642,0.09959780240373108,0,01051
01,053,287,3024,0.09490740740740741,0.05615721437895097,0.0844611255845081,0.10535368923030672,0,01053
01,055,734,8283,0.0886152360255946,0.0352373185099114,0.08249501196413149,0.0947354600870577,0,01055
