statecode,countycode,num_white,num_black,num_aian,num_asian,num_nhopi,num_tom,num_hispanic,num_,denom_white,denom_black,denom_aian,denom_asian,denom_nhopi,denom_tom,denom_hispanic,denom_,rate_white,rate_black,rate_aian,rate_asian,rate_nhopi,rate_tom,rate_hispanic,rate_,lci_white,lci_black,lci_aian,lci_asian,lci_nhopi,lci_tom,lci_hispanic,lci_,uci_white,uci_black,uci_aian,uci_asian,uci_nhopi,uci_tom,uci_hispanic,uci_,unreliable_white,unreliable_black,unreliable_aian,unreliable_asian,unreliable_nhopi,unreliable_tom,unreliable_hispanic,unreliable_,fips
00,000,921731,531828,15709,141919,5818,54583,481945,23424,13214993,3707383,190576,1595579,68011,598739,6303305,236065,0.06974888295438371,0.1434510542881596,0.0824290571740408,0.0889451415442294,0.08554498537001368,0.09116326145449019,0.07645909566489326,0.09922690784317878,0.06961154476071182,0.14309423336792826,0.08119429885755847,0.08850343859910853,0.08344292617323304,0.0904341563112654,0.0762516451311301,0.09802086509461931,0.0698862211480556,0.14380787520839095,0.08366381549052312,0.08938684448935028,0.08764704456679431,0.09189236659771498,0.07666654619865641,0.10043295059173825,0,0,0,0,0,0,0,0,00000
01,000,18768,19494,120,585,28,757,2940,17,234875,119532,987,6026,336,7119,37851,114,0.07990633315593401,0.16308603553860054,0.12158054711246201,0.09707932293395287,0.08333333333333333,0.10633515943250456,0.07767298089878735,0.14912280701754385,0.07880974311762208,0.1609916203761491,0.1011922706416041,0.08960400486390771,0.05378033636805704,0.09917418119176279,0.07497651554565031,0.08373314054888761,0.08100292319424594,0.16518045070105197,0.14196882358331991,0.10455464100399803,0.11288633029860962,0.11349613767324633,0.0803694462519244,0.2145124734862001,0,0,0,0,0,0,0,1,01000
01,001,271,187,NA,NA,NA,NA,10,NA,3331,1122,5,73,2,94,165,NA,0.08135694986490544,0.16666666666666666,NA,NA,NA,NA,0.06060606060606061,NA,0.07207285689042613,0.1448597936484224,NA,NA,NA,NA,0.02419812921264873,NA,0.09064104283938475,0.1884735396849109,NA,NA,NA,NA,0.09701399199947248,NA,0,0,NA,NA,NA,NA,1,NA,01001
01,003,906,259,NA,22,NA,29,138,NA,12586,1816,75,190,9,338,1729,3,0.07198474495471159,0.14262114537444934,NA,0.11578947368421053,NA,0.08579881656804733,0.07981492192018508,NA,0.0674692017655622,0.1265377961003923,NA,0.07029154232163316,NA,0.05594091653811471,0.06704058946857813,NA,0.07650028814386098,0.15870449464850636,NA,0.1612874050467879,NA,0.11565671659797995,0.09258925437179202,NA,0,0,NA,1,NA,0,0,NA,01003
01,005,34,186,NA,NA,NA,NA,14,NA,610,1025,NA,9,1,28,238,NA,0.05573770491803279,0.18146341463414634,NA,NA,NA,NA,0.058823529411764705,NA,0.037531810529886675,0.1578690804808974,NA,NA,NA,NA,0.028929898866770772,NA,0.0739435993061789,0.20505774878739527,NA,NA,NA,NA,0.08871715995675863,NA,0,0,NA,NA,NA,NA,1,NA,01005
01,007,108,53,NA,NA,NA,NA,NA,NA,1264,334,1,1,NA,13,104,NA,0.08544303797468354,0.15868263473053892,NA,NA,NA,NA,NA,NA,0.07003219997134542,0.11949694766657439,NA,NA,NA,NA,NA,NA,0.10085387597802166,0.19786832179450348,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,01007
01,009,293,NA,NA,NA,NA,NA,48,NA,3846,51,8,17,5,53,702,NA,0.07618304732189288,NA,NA,NA,NA,NA,0.06837606837606838,NA,0.06779861689353997,NA,NA,NA,NA,NA,0.049705398674615854,NA,0.08456747775024578,NA,NA,NA,NA,NA,0.08704673807752092,NA,0,NA,NA,NA,NA,NA,0,NA,01009
01,011,NA,95,NA,NA,NA,NA,12,NA,78,539,NA,2,NA,5,156,NA,NA,0.17625231910946196,NA,NA,NA,NA,0.07692307692307693,NA,NA,0.1440841597718766,NA,NA,NA,NA,0.03510721597686735,NA,NA,0.2084204784470473,NA,NA,NA,NA,0.1187389378692865,NA,NA,0,NA,NA,NA,NA,1,NA,01011
01,013,57,131,NA,NA,NA,NA,NA,NA,655,796,NA,11,NA,20,19,NA,0.08702290076335878,0.16457286432160803,NA,NA,NA,NA,NA,NA,0.06543640528857786,0.138813630563299,NA,NA,NA,NA,NA,NA,0.1086093962381397,0.19033209807991705,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,01013
01,015,463,333,NA,NA,NA,26,39,NA,6020,2249,6,60,7,247,586,NA,0.07691029900332226,0.1480658070253446,NA,NA,NA,0.10526315789473684,0.06655290102389079,NA,0.07017941620634577,0.13338696632735716,NA,NA,NA,0.06699007444791465,0.046372229478631684,NA,0.08364118180029875,0.16274464772333205,NA,NA,NA,0.143536241341559,0.0867335725691499,NA,0,0,NA,NA,NA,0,0,NA,01015
