"statecode","countycode","v044_numerator","v044_denominator","v044_rawvalue","v044_cilow","v044_cihigh"
"00","000",157573,32232,4.88871308016878,4.87125958041072,4.90616657992683
"01","000",126785,24536,5.16730518421911,5.09532697672397,5.23928339171425
"01","001",132562,31018,4.27371203817138,3.74291341097266,4.8045106653701
"01","003",141920,32554,4.35952571112613,4.03224966889843,4.68680175335383
"01","005",99138,17658,5.61433910975195,4.74552622090682,6.48315199859708
"01","007",102593,19188,5.34672712111736,4.5244050466112,6.16904919562353
"01","009",117729,25484,4.61972217862188,4.01787271059481,5.22157164664895
"01","011",83338,12243,6.80699175038798,3.42420304319946,10.1897804575765
"01","013",101558,19479,5.21371733661892,4.42532626026716,6.00210841297069
"01","015",106467,21864,4.86951152579583,4.34138342869982,5.39763962289183
"01","017",101462,19895,5.0998743402865,4.33701727145689,5.86273140911612
"01","019",102080,22438,4.54942508244942,3.80765361074849,5.29119655415035
"01","021",107776,26861,4.01235992703176,3.30922147634867,4.71549837771484
"01","023",104464,18841,5.5445040072183,4.32298222604227,6.76602578839433
"01","025",106175,18947,5.60378951812952,4.55386271908768,6.65371631717136
"01","027",106750,21983,4.85602511031251,3.51050024927694,6.20154997134809
"01","029",109175,23492,4.64732674953176,3.8935370401127,5.40111645895081
"01","031",125036,23854,5.2417204661692,4.53314334334246,5.95029758899593
"01","033",110523,23698,4.66381129209216,3.98894667896738,5.33867590521694
"01","035",91756,17201,5.33434102668449,3.68531089965342,6.98337115371557
"01","037",106986,26723,4.0035175691352,3.06851275184454,4.93852238642586
"01","039",108630,19293,5.63053957393873,4.76583311963343,6.49524602824404
"01","041",101136,17563,5.75846950976485,4.57226359040263,6.94467542912706
"01","043",116644,25496,4.57499215563226,4.10558648423228,5.04439782703223
"01","045",103328,21477,4.81110024677562,4.29395279425821,5.32824769929303
"01","047",82042,14669,5.5928829504397,4.6187155177841,6.56705038309531
"01","049",99679,20798,4.7927204538898,4.38619624781975,5.19924465995984
"01","051",135888,33619,4.04200005949017,3.57851586386898,4.50548425511136
"01","053",90323,16734,5.39757380184056,4.45892785764492,6.3362197460362
"01","055",105742,21672,4.87919896640827,4.44207459427795,5.31632333853859
"01","057",104145,18796,5.54080655458608,4.64771624760653,6.43389686156564
"01","059",100246,22023,4.55187758252736,3.88685508742884,5.21690007762587
"01","061",98648,22438,4.39647027364293,3.77463151649318,5.01830903079268
"01","063",69522,13250,5.24694339622642,3.49308402395748,7.00080276849535
"01","065",94197,15659,6.01551823232646,5.15029619471522,6.88074026993769
"01","067",115167,19783,5.82151342061366,4.6443811366478,6.99864570457951
"01","069",118460,22934,5.16525682392954,4.86553440983018,5.46497923802889
"01","071",102773,22174,4.63484260846036,4.17698710482148,5.09269811209924
"01","073",139516,25519,5.46714212939379,5.22003027227156,5.71425398651601
"01","075",99888,19478,5.12824725331143,4.22379049860757,6.03270400801529
"01","077",115286,24039,4.7957901743001,4.287457983378,5.3041223652222
"01","079",110232,25593,4.30711522681983,3.60574995213751,5.00848050150216
"01","081",130776,20430,6.40117474302496,5.30758088498466,7.49476860106527
"01","083",160486,36267,4.42512476907381,4.0518810065339,4.79836853161373
"01","085",87798,13824,6.35112847222222,5.52649281895437,7.17576412549008
"01","087",91596,16856,5.43402942572378,4.55980695843255,6.308251893015
"01","089",165070,33519,4.92466959038157,4.69905868796096,5.15028049280219
"01","091",99836,15030,6.64244843646041,5.37992125920745,7.90497561371338
"01","093",97277,19675,4.94419313850064,4.15843504295376,5.72995123404752
"01","095",118865,25129,4.73019220820566,4.41761169914883,5.04277271726248
"01","097",120005,23657,5.07270575305406,4.81478014294505,5.33063136316308
"01","099",90996,16208,5.61426456071076,4.12217289334043,7.10635622808109
"01","101",117235,22845,5.13175749616984,4.66236423573369,5.60115075660599
"01","103",130503,27060,4.82272727272727,4.42454370187254,5.220910843582
"01","105",60994,18272,3.33811295971979,2.88524900246766,3.79097691697192
"01","107",105463,20052,5.25947536405346,4.48963049193915,6.02932023616777
"01","109",108889,18093,6.01829436798762,5.12624428548113,6.91034445049411
"01","111",107212,19302,5.55445031602943,4.35545597181568,6.75344466024317
"01","113",96583,19789,4.88064076001819,3.99211496543181,5.76916655460457
"01","115",132608,34651,3.82696026088713,3.48822106859152,4.16569945318275
"01","117",171860,43762,3.927151409899,3.65130107080412,4.20300174899387
"01","119",74712,16894,4.42239848466911,3.01856850977137,5.82622845956686
"01","121",110216,20218,5.45137995845286,4.85502392758018,6.04773598932555
"01","123",108385,21972,4.93286910613508,4.33526010806862,5.53047810420154
"01","125",130368,24447,5.33267885630139,4.92151340298665,5.74384430961613
"01","127",112090,20832,5.3806643625192,4.93072019500161,5.83060853003679
