statecode,countycode,v058_numerator,v058_denominator,v058_rawvalue,v058_cilow,v058_cihigh,v058_flag_CT
00,000,66300254,331449281,0.20003137071219051,,,
01,000,2123399,5024279,0.42262760487624196,,,
01,001,23920,58805,0.4067681319615679,,,
01,003,87113,231767,0.3758645536249768,,,
01,005,16627,25223,0.6591999365658328,,,
01,007,22293,22293,1,,,
01,009,53510,59134,0.9048939696283018,,,
01,011,10357,10357,1,,,
01,013,13228,19051,0.6943467534512624,,,
01,015,42494,116441,0.3649401842993447,,,
01,017,17645,34772,0.5074485217991488,,,
01,019,24971,24971,1,,,
01,021,38507,45014,0.8554449726751677,,,
01,023,12665,12665,1,,,
01,025,23087,23087,1,,,
01,027,14236,14236,1,,,
01,029,15056,15056,1,,,
01,031,25412,53465,0.4753015991770317,,,
01,033,23060,57227,0.4029566463382669,,,
01,035,11597,11597,1,,,
01,037,10387,10387,1,,,
01,039,25854,37570,0.6881554431727442,,,
01,041,13194,13194,1,,,
01,043,66426,87866,0.7559920788473358,,,
01,045,24886,49326,0.5045209423022341,,,
01,047,17255,38462,0.44862461650460195,,,
01,049,63228,71608,0.882973969388895,,,
01,051,62672,87977,0.7123680052741057,,,
01,053,23996,36757,0.6528280327556656,,,
01,055,44653,103436,0.43169689469817085,,,
01,057,16321,16321,1,,,
01,059,22174,32113,0.6904991747890262,,,
01,061,26510,26659,0.9944108931317753,,,
01,063,7730,7730,1,,,
01,065,14785,14785,1,,,
01,067,17146,17146,1,,,
01,069,36788,107202,0.3431652394544878,,,
01,071,39597,52579,0.7530953422469047,,,
01,073,81445,674721,0.1207091523755745,,,
01,075,13972,13972,1,,,
01,077,48806,93564,0.5216322517207473,,,
01,079,33071,33073,0.9999395277114262,,,
01,081,45982,174241,0.2638988527384485,,,
01,083,52834,103570,0.5101284155643526,,,
01,085,10311,10311,1,,,
01,087,10529,19532,0.5390640999385624,,,
01,089,66383,388153,0.17102276679556772,,,
01,091,13096,19323,0.6777415515189152,,,
01,093,29341,29341,1,,,
01,095,52370,97612,0.5365119042740647,,,
01,097,92902,414809,0.22396331805722633,,,
01,099,15488,19772,0.7833299615618046,,,
01,101,28308,228954,0.12364055661836001,,,
01,103,47440,123421,0.3843754304372838,,,
01,105,8511,8511,1,,,
01,107,19123,19123,1,,,
01,109,18543,33009,0.5617558847587022,,,
01,111,21967,21967,1,,,
01,113,23881,59183,0.4035111434026663,,,
01,115,61140,91103,0.6711085255150764,,,
01,117,53453,223024,0.23967375708443933,,,
01,119,12345,12345,1,,,
01,121,48205,82149,0.5867995958563099,,,
01,123,32391,41311,0.7840768802498124,,,
01,125,70586,227036,0.31090223576877674,,,
01,127,52068,65342,0.7968534786201831,,,
01,129,15388,15388,1,,,
01,131,10600,10600,1,,,
01,133,23540,23540,1,,,
02,000,257424,733391,0.35100512550603974,,,
02,013,3420,3420,1,,,
02,016,5232,5232,1,,,
02,020,12434,291247,0.0426922852424231,,,
02,050,13569,18666,0.7269366763098682,,,
02,060,844,844,1,,,
02,063,7102,7102,1,,,
02,066,2617,2617,1,,,
02,068,1619,1619,1,,,
02,070,4857,4857,1,,,
02,090,24259,95655,0.2536093251790288,,,
02,100,2080,2080,1,,,
02,105,2365,2365,1,,,
02,110,7499,32255,0.23249108665323207,,,
02,122,45511,58799,0.7740097620707835,,,
02,130,1973,13948,0.14145397189561226,,,
02,150,3571,13101,0.27257461262499044,,,
02,158,8368,8368,1,,,
02,164,1476,1476,1,,,
02,170,53637,107081,0.5009011869519335,,,
02,180,10046,10046,1,,,
02,185,11031,11031,1,,,
02,188,7793,7793,1,,,
02,195,3398,3398,1,,,
02,198,5753,5753,1,,,
02,220,790,8458,0.09340269567273587,,,
02,230,1240,1240,1,,,
02,240,6808,6808,1,,,
02,275,2127,2127,1,,,
02,282,662,662,1,,,
02,290,5343,5343,1,,,
04,000,766272,7151502,0.10714840043392283,,,
04,001,66021,66021,1,,,
04,003,46124,125447,0.36767718638149977,,,
04,005,47019,145101,0.32404325263092604,,,
04,007,23630,53272,0.44357260849977476,,,
04,009,20202,38533,0.5242778916772637,,,
04,011,9563,9563,1,,,
04,012,7189,16557,0.4341970163676995,,,
04,013,101879,4420568,0.023046585868603312,,,
04,015,51040,213267,0.23932441493526893,,,
04,017,68569,106717,0.6425311805991548,,,
04,019,92260,1043433,0.08841966853645611,,,
04,021,97947,425264,0.2303204597614658,,,
04,023,28501,47669,0.5978938093939458,,,
04,025,75541,236209,0.3198057652333315,,,
04,027,30787,203881,0.1510047527724506,,,
05,000,1340847,3011524,0.44523868977965975,,,
05,001,9017,17149,0.5258032538340428,,,
05,003,11878,19062,0.6231245409715664,,,
05,005,23844,41627,0.5728013068441156,,,
05,007,68252,284333,0.24004248539564524,,,
05,009,23423,37373,0.626735878843015,,,
05,011,5267,10545,0.49947842579421525,,,
05,013,4739,4739,1,,,
05,015,23203,28260,0.8210544939844303,,,
05,017,10208,10208,1,,,
05,019,11360,21446,0.5297025086263173,,,
05,021,14552,14552,1,,,
05,023,17968,24711,0.727125571607786,,,
05,025,7550,7550,1,,,
05,027,12398,22801,0.5437480812245077,,,
05,029,14375,20715,0.6939415882210959,,,
05,031,37450,111231,0.3366867150344778,,,
05,033,29711,60133,0.4940881047012456,,,
05,035,8850,48163,0.183751012187779,,,
05,037,9269,16833,0.5506445672191529,,,
05,039,6482,6482,1,,,
05,041,7087,11395,0.6219394471259324,,,
05,043,9376,17350,0.5404034582132565,,,
05,045,56879,123498,0.46056616301478565,,,
05,047,17097,17097,1,,,
05,049,12075,12075,1,,,
05,051,33845,100180,0.33784188460770614,,,
05,053,13248,17958,0.7377213498162379,,,
05,055,20647,45736,0.4514386916214798,,,
05,057,11210,20065,0.5586842761026664,,,
05,059,24188,33040,0.7320823244552058,,,
05,061,12785,12785,1,,,
05,063,27025,37938,0.7123464600137066,,,
05,065,13577,13577,1,,,
05,067,10808,16755,0.6450611757684274,,,
05,069,20577,67260,0.3059322033898305,,,
05,071,17933,25749,0.6964542312322809,,,
05,073,6308,6308,1,,,
05,075,9676,16216,0.596694622594968,,,
05,077,8600,8600,1,,,
05,079,12941,12941,1,,,
05,081,12026,12026,1,,,
05,083,21131,21131,1,,,
05,085,38441,74015,0.5193676957373505,,,
05,087,16521,16521,1,,,
05,089,16826,16826,1,,,
05,091,17000,42600,0.39906103286384975,,,
05,093,18568,40685,0.4563844168612511,,,
05,095,6799,6799,1,,,
05,097,8484,8484,1,,,
05,099,8310,8310,1,,,
05,101,7225,7225,1,,,
05,103,12777,22650,0.5641059602649007,,,
05,105,10019,10019,1,,,
05,107,7969,16568,0.4809874456784162,,,
05,109,10171,10171,1,,,
05,111,15732,22965,0.6850424559111692,,,
05,113,13687,19221,0.7120857395556943,,,
05,115,35421,63381,0.5588583329388933,,,
05,117,8282,8282,1,,,
05,119,45347,399125,0.11361603507673035,,,
05,121,11407,18571,0.6142372516288838,,,
05,123,14533,23090,0.6294066695539194,,,
05,125,45370,123416,0.36761846113956054,,,
05,127,9836,9836,1,,,
05,129,7828,7828,1,,,
05,131,25144,127799,0.19674645341512845,,,
05,133,9945,15839,0.6278805480143949,,,
05,135,17271,17271,1,,,
05,137,12359,12359,1,,,
05,139,20356,39054,0.5212270189993342,,,
05,141,15796,15796,1,,,
05,143,59012,245871,0.24001203883337197,,,
05,145,42954,76822,0.5591367056311994,,,
05,147,6269,6269,1,,,
05,149,16353,20263,0.8070374574347332,,,
06,000,2278733,39538223,0.057633672610931455,,,
06,001,8253,1682353,0.004905629199103874,,,
06,003,1204,1204,1,,,
06,005,28020,40474,0.6922962889756387,,,
06,007,44478,211632,0.21016670446813338,,,
06,009,37128,45292,0.8197474167623421,,,
06,011,9326,21839,0.42703420486286003,,,
06,013,11661,1165927,0.010001483797870707,,,
06,015,12123,27743,0.4369750928162059,,,
06,017,70112,191185,0.366723330805241,,,
06,019,113625,1008654,0.11265012581122961,,,
06,021,11917,28917,0.41211052322163433,,,
06,023,43033,136463,0.31534555154144345,,,
06,025,33075,179702,0.18405471280230604,,,
06,027,8003,19016,0.42085612116112747,,,
06,029,121409,909235,0.13352873569539228,,,
06,031,16642,152486,0.10913788806841283,,,
06,033,27802,68163,0.40787524023297095,,,
06,035,23735,32730,0.7251756798044607,,,
06,037,89220,10014009,0.008909518655315769,,,
06,039,60326,156255,0.3860740456305398,,,
06,041,15773,262321,0.06012862104063342,,,
06,043,17131,17131,1,,,
06,045,44394,91601,0.48464536413357934,,,
06,047,47239,281202,0.16798955910697647,,,
06,049,8700,8700,1,,,
06,051,6150,13195,0.4660856384994316,,,
06,053,62577,439035,0.14253305545115993,,,
06,055,20324,138019,0.1472550880675849,,,
06,057,49285,102241,0.4820473195684706,,,
06,059,7962,3186989,0.0024982828619741076,,,
06,061,59016,404739,0.14581248656541623,,,
06,063,19790,19790,1,,,
06,065,132359,2418185,0.054734852792486924,,,
06,067,38029,1585055,0.023992227399049243,,,
06,069,14598,64209,0.22735130589169741,,,
06,071,117405,2181654,0.05381467455426021,,,
06,073,144963,3298634,0.04394637295316789,,,
06,075,0,873965,0,,,
06,077,60401,779233,0.07751340099816101,,,
06,079,53909,282424,0.19087967028297878,,,
06,081,13035,764442,0.017051653362845056,,,
06,083,24964,448229,0.0556947453199146,,,
06,085,25537,1936259,0.013188834758159936,,,
06,087,36006,270861,0.13293165128977594,,,
06,089,61553,182155,0.3379155115149186,,,
06,091,3196,3236,0.9876390605686032,,,
06,093,31256,44076,0.7091387603230783,,,
06,095,20209,453491,0.04456317765953459,,,
06,097,66643,488863,0.13632244616589925,,,
06,099,45173,552878,0.08170518631596844,,,
06,101,15010,99633,0.15065289612879268,,,
06,103,37544,65829,0.5703261480502514,,,
06,105,16112,16112,1,,,
06,107,94889,473117,0.20056138333646856,,,
06,109,26607,55620,0.4783710895361381,,,
06,111,28411,843843,0.03366858527000876,,,
06,113,17416,216403,0.08047947579284945,,,
06,115,24075,81575,0.29512718357339873,,,
08,000,806778,5773714,0.13973293446817767,,,
08,001,20996,519572,0.04041018376663869,,,
08,003,5411,16376,0.33042256961406935,,,
08,005,13518,655070,0.02063596256888577,,,
08,007,7727,13359,0.5784115577513287,,,
08,009,3506,3506,1,,,
08,011,5650,5650,1,,,
08,013,31100,330758,0.09402644833987386,,,
08,014,293,74112,0.003953475820379965,,,
08,015,8485,19476,0.4356644074758677,,,
08,017,1748,1748,1,,,
08,019,9397,9397,1,,,
08,021,7461,7461,1,,,
08,023,3499,3499,1,,,
08,025,5922,5922,1,,,
08,027,4704,4704,1,,,
08,029,23006,31196,0.7374663418386973,,,
08,031,104,715522,1.4534843093573643e-4,,,
08,033,2326,2326,1,,,
08,035,32270,357978,0.09014520445390499,,,
08,037,10316,55731,0.18510344332597656,,,
08,039,26062,26062,1,,,
08,041,74869,730395,0.10250480904168292,,,
08,043,24202,48939,0.494534011728887,,,
08,045,19811,61685,0.32116397827672855,,,
08,047,5808,5808,1,,,
08,049,10738,15717,0.6832092638544252,,,
08,051,9690,16918,0.5727627379122828,,,
08,053,788,788,1,,,
08,055,6820,6820,1,,,
08,057,1379,1379,1,,,
08,059,41669,582910,0.07148444871420974,,,
08,061,1446,1446,1,,,
08,063,7087,7087,1,,,
08,065,2898,7436,0.3897256589564282,,,
08,067,36524,55638,0.6564578166001653,,,
08,069,36783,359066,0.10244077690452452,,,
08,071,6232,14555,0.428169014084507,,,
08,073,5675,5675,1,,,
08,075,9250,21528,0.4296729840208101,,,
08,077,19730,155703,0.1267156059934619,,,
08,079,865,865,1,,,
08,081,3642,13292,0.2739993981342161,,,
08,083,17221,25849,0.6662153274788193,,,
08,085,18166,42679,0.42564258768949603,,,
08,087,10070,29111,0.3459173508295833,,,
08,089,10898,18690,0.5830925628678437,,,
08,091,4874,4874,1,,,
08,093,17390,17390,1,,,
08,095,4530,4530,1,,,
08,097,5722,17358,0.3296462726120521,,,
08,099,4497,11999,0.3747812317693141,,,
08,101,22107,168162,0.13146251828593855,,,
08,103,6529,6529,1,,,
08,105,11539,11539,1,,,
08,107,10374,24829,0.417817874259938,,,
08,109,6368,6368,1,,,
08,111,705,705,1,,,
08,113,3485,8072,0.43173934588701685,,,
08,115,2404,2404,1,,,
08,117,5000,31055,0.16100466913540493,,,
08,119,14846,24710,0.6008093889113719,,,
08,121,4817,4817,1,,,
08,123,65841,328981,0.2001361780771534,,,
08,125,9988,9988,1,,,
09,000,495791,3605944,0.13749270648684506,,,
09,001,,,,,,U
09,003,,,,,,U
09,005,,,,,,U
09,007,,,,,,U
09,009,,,,,,U
09,011,,,,,,U
09,013,,,,,,U
09,015,,,,,,U
09,110,116964,976248,0.11980972048086141,,,A
09,120,9311,325778,0.028580812700673464,,,A
09,130,54607,174225,0.3134280384560195,,,A
09,140,41450,450376,0.09203421141446258,,,A
09,150,59501,95348,0.6240403574275286,,,A
09,160,67529,112503,0.6002417713305424,,,A
09,170,20694,570487,0.03627427092992478,,,A
09,180,73223,280430,0.2611097243518882,,,A
09,190,52512,620549,0.08462184291651424,,,A
10,000,172131,989948,0.17387882999915147,,,
10,001,48139,181851,0.26471671863228685,,,
10,003,34781,570719,0.060942425256562335,,,
10,005,89211,237378,0.3758183150923843,,,
11,000,0,689545,0,,,
11,001,0,689545,0,,,
12,000,1823381,21538187,0.08465805408783943,,,
12,001,64720,278468,0.23241449645919818,,,
12,003,17378,28259,0.6149545277610673,,,
12,005,24897,175216,0.14209318783672725,,,
12,007,20024,28303,0.7074868388510052,,,
12,009,23539,606612,0.038804046078877434,,,
12,011,152,1944375,7.817422050787528e-5,,,
12,013,13648,13648,1,,,
12,015,12145,186847,0.06499970564151418,,,
12,017,38421,153843,0.2497416197032039,,,
12,019,31483,218245,0.14425530939998626,,,
12,021,43673,375752,0.11622825693542549,,,
12,023,44364,69698,0.636517547131912,,,
12,027,16634,33976,0.48958088062161526,,,
12,029,16759,16759,1,,,
12,031,26390,995567,0.026507507781997595,,,
12,033,24549,321905,0.07626162998400149,,,
12,035,8830,115378,0.07653105444712163,,,
12,037,12451,12451,1,,,
12,039,35285,43826,0.8051156847533427,,,
12,041,17864,17864,1,,,
12,043,10027,12126,0.8269008741547089,,,
12,045,14192,14192,1,,,
12,047,14004,14004,1,,,
12,049,15537,25327,0.6134559955778418,,,
12,051,14263,39619,0.3600040384663924,,,
12,053,39016,194515,0.20058093206179473,,,
12,055,20122,101235,0.19876524917271696,,,
12,057,53607,1459762,0.03672310965760172,,,
12,059,19653,19653,1,,,
12,061,11573,159788,0.07242721606128119,,,
12,063,41759,47319,0.8824996301696992,,,
12,065,14510,14510,1,,,
12,067,8226,8226,1,,,
12,069,68850,383956,0.1793174217879132,,,
12,071,29885,760822,0.039279884125327603,,,
12,073,39264,292198,0.13437463637670347,,,
12,075,42915,42915,1,,,
12,077,7974,7974,1,,,
12,079,17968,17968,1,,,
12,081,18752,399710,0.046914012659177905,,,
12,083,110311,375908,0.29345212126371345,,,
12,085,11601,158431,0.07322430584923405,,,
12,086,23331,2701767,0.008635459682496677,,,
12,087,10867,82874,0.1311267707604315,,,
12,089,39547,90352,0.43769922082521695,,,
12,091,22524,211668,0.10641192811383865,,,
12,093,14449,39644,0.3644687720714358,,,
