statecode,countycode,v060_rawvalue,v060_cilow,v060_cihigh,v060_flag_CT
00,000,0.10800000000000001,0.106,0.11,
01,000,0.136,0.124,0.149,
01,001,0.113,0.098,0.129,
01,003,0.102,0.08900000000000001,0.11699999999999999,
01,005,0.16,0.14,0.18100000000000002,
01,007,0.133,0.11599999999999999,0.151,
01,009,0.11599999999999999,0.1,0.132,
01,011,0.19899999999999998,0.17600000000000002,0.22399999999999998,
01,013,0.14800000000000002,0.129,0.168,
01,015,0.127,0.111,0.145,
01,017,0.146,0.127,0.166,
01,019,0.113,0.09699999999999999,0.13,
01,021,0.11599999999999999,0.10099999999999999,0.132,
01,023,0.151,0.129,0.17,
01,025,0.149,0.13,0.16899999999999998,
01,027,0.131,0.113,0.149,
01,029,0.122,0.106,0.14,
01,031,0.11800000000000001,0.102,0.133,
01,033,0.12,0.10300000000000001,0.139,
01,035,0.155,0.136,0.17600000000000002,
01,037,0.132,0.11599999999999999,0.15,
01,039,0.11699999999999999,0.10099999999999999,0.134,
01,041,0.129,0.11199999999999999,0.147,
01,043,0.11599999999999999,0.1,0.133,
01,045,0.135,0.11800000000000001,0.154,
01,047,0.175,0.154,0.198,
01,049,0.138,0.12,0.157,
01,051,0.114,0.099,0.132,
01,053,0.15,0.131,0.171,
01,055,0.126,0.11,0.14400000000000002,
01,057,0.132,0.114,0.15,
01,059,0.135,0.11800000000000001,0.154,
01,061,0.125,0.10800000000000001,0.14300000000000002,
01,063,0.19399999999999998,0.171,0.218,
01,065,0.156,0.136,0.17600000000000002,
01,067,0.13699999999999998,0.11900000000000001,0.156,
01,069,0.13,0.113,0.149,
01,071,0.124,0.107,0.14300000000000002,
01,073,0.129,0.114,0.145,
01,075,0.12,0.10300000000000001,0.13699999999999998,
01,077,0.10800000000000001,0.09300000000000001,0.125,
01,079,0.131,0.114,0.149,
01,081,0.11900000000000001,0.10300000000000001,0.134,
01,083,0.11199999999999999,0.09699999999999999,0.128,
01,085,0.184,0.16,0.207,
01,087,0.177,0.156,0.19899999999999998,
01,089,0.11,0.096,0.126,
01,091,0.154,0.135,0.175,
01,093,0.124,0.107,0.142,
01,095,0.114,0.099,0.131,
01,097,0.135,0.12,0.152,
01,099,0.152,0.132,0.174,
01,101,0.157,0.139,0.17800000000000002,
01,103,0.129,0.11199999999999999,0.146,
01,105,0.18899999999999997,0.166,0.215,
01,107,0.145,0.127,0.165,
01,109,0.13699999999999998,0.12,0.156,
01,111,0.13,0.11199999999999999,0.149,
01,113,0.158,0.138,0.179,
01,115,0.106,0.091,0.122,
01,117,0.095,0.08199999999999999,0.11,
01,119,0.17600000000000002,0.155,0.19899999999999998,
01,121,0.141,0.12300000000000001,0.16,
01,123,0.129,0.11199999999999999,0.147,
01,125,0.128,0.111,0.14400000000000002,
01,127,0.128,0.111,0.145,
01,129,0.138,0.121,0.158,
01,131,0.188,0.165,0.213,
01,133,0.11900000000000001,0.10300000000000001,0.13699999999999998,
02,000,0.085,0.076,0.094,
02,013,0.126,0.109,0.14400000000000002,
02,016,0.11199999999999999,0.098,0.13,
02,020,0.079,0.07,0.08900000000000001,
02,050,0.14300000000000002,0.126,0.162,
02,060,0.091,0.079,0.105,
02,063,0.078,0.067,0.091,
02,066,0.08900000000000001,0.077,0.10300000000000001,
02,068,0.077,0.066,0.08900000000000001,
02,070,0.127,0.11,0.145,
02,090,0.076,0.065,0.087,
02,100,0.073,0.063,0.085,
02,105,0.1,0.086,0.11599999999999999,
02,110,0.077,0.066,0.08800000000000001,
02,122,0.079,0.068,0.08900000000000001,
02,130,0.085,0.07400000000000001,0.098,
02,150,0.09300000000000001,0.079,0.107,
02,158,0.17600000000000002,0.154,0.19899999999999998,
02,164,0.11800000000000001,0.102,0.134,
02,170,0.086,0.075,0.098,
02,180,0.13699999999999998,0.11900000000000001,0.157,
02,185,0.107,0.092,0.12300000000000001,
02,188,0.135,0.11800000000000001,0.155,
02,195,0.083,0.071,0.095,
02,198,0.10800000000000001,0.09300000000000001,0.12300000000000001,
02,220,0.084,0.07200000000000001,0.096,
02,230,0.08,0.069,0.09300000000000001,
02,240,0.092,0.079,0.105,
02,275,0.08800000000000001,0.076,0.102,
02,282,0.106,0.092,0.122,
02,290,0.134,0.11599999999999999,0.153,
04,000,0.114,0.10400000000000001,0.124,
04,001,0.179,0.16,0.198,
04,003,0.10800000000000001,0.095,0.12300000000000001,
04,005,0.10400000000000001,0.091,0.11699999999999999,
04,007,0.11699999999999999,0.10400000000000001,0.132,
04,009,0.125,0.10800000000000001,0.14300000000000002,
04,011,0.114,0.099,0.129,
04,012,0.129,0.113,0.14800000000000002,
04,013,0.10400000000000001,0.094,0.115,
04,015,0.10800000000000001,0.095,0.121,
04,017,0.133,0.11699999999999999,0.147,
04,019,0.10300000000000001,0.091,0.115,
04,021,0.11800000000000001,0.105,0.132,
04,023,0.146,0.127,0.16699999999999998,
