statecode,countycode,v061_numerator,v061_rawvalue,v061_denominator,v061_cilow,v061_cihigh,v061_sourceflag,v061_flag_CT
00,000,1092023,386.6,,,,,
01,000,14761,343.8,,,,,
01,001,112,223.6,,,,,
01,003,359,170.1,,,,,
01,005,114,536.4,,,,,
01,007,61,322.1,,,,,
01,009,51,101.7,,,,,
01,011,68,781,,,,,
01,013,57,362,,,,,
01,015,260,263.5,,,,,
01,017,117,401.9,,,,,
01,019,25,113.3,,,,,
01,021,63,164.5,,,,,
01,023,33,308.4,,,,,
01,025,38,199,,,,,
01,027,20,164.7,,,,,
01,029,9,69.9,,,,,
01,031,79,172.7,,,,,
01,033,84,170,,,,,
01,035,27,280.9,,,,,
01,037,24,267.4,,,,,
01,039,54,169.9,,,,,
01,041,31,284,,,,,
01,043,82,107.1,,,,,
01,045,132,320.5,,,,,
01,047,144,466.2,,,,,
01,049,69,114.4,,,,,
01,051,225,295,,,,,
01,053,76,246.4,,,,,
01,055,216,246.9,,,,,
01,057,14,102.2,,,,,
01,059,26,98.6,,,,,
01,061,48,210.9,,,,,
01,063,32,510.5,,,,,
01,065,61,505.1,,,,,
01,067,40,263.5,,,,,
01,069,389,428.3,,,,,
01,071,42,92.6,,,,,
01,073,3800,679.6,,,,,
01,075,22,189.1,,,,,
01,077,93,112,,,,,
01,079,20,70.8,,,,,
01,081,347,224.4,,,,,
01,083,139,147.6,,,,,
01,085,45,544.1,,,,,
01,087,106,648.3,,,,,
01,089,888,258.6,,,,,
01,091,33,208.7,,,,,
01,093,42,168.7,,,,,
01,095,123,151.1,,,,,
01,097,1975,574.2,,,,,
01,099,34,204.5,,,,,
01,101,1577,839.8,,,,,
01,103,166,159.1,,,,,
01,105,32,467.3,,,,,
01,107,50,307.9,,,,,
01,109,119,417,,,,,
01,111,20,104.3,,,,,
01,113,241,498.4,,,,,
01,115,132,165.9,,,,,
01,117,349,178.5,,,,,
01,119,41,402.1,,,,,
01,121,181,261.1,,,,,
01,123,81,229.1,,,,,
01,125,583,287.3,,,,,
01,127,77,142.2,,,,,
01,129,22,171.1,,,,,
01,131,23,271.5,,,,,
01,133,15,73.4,,,,,
02,000,768,126.7,,,,,
02,013,,,,,,,
02,016,,,,,,,
02,020,,,,,,,
02,050,,,,,,,
02,060,,,,,,,
02,063,,,,,,,
02,066,,,,,,,
02,068,,,,,,,
02,070,,,,,,,
02,090,,,,,,,
02,100,,,,,,,
02,105,,,,,,,
02,110,,,,,,,
02,122,,,,,,,
02,130,,,,,,,
02,150,,,,,,,
02,158,,,,,,,
02,164,,,,,,,
02,170,,,,,,,
02,180,,,,,,,
02,185,,,,,,,
02,188,,,,,,,
02,195,,,,,,,
02,198,,,,,,,
02,220,,,,,,,
02,230,,,,,,,
02,240,,,,,,,
02,275,,,,,,,
02,282,,,,,,,
02,290,,,,,,,
04,000,18693,298.8,,,,,
04,001,131,243.3,,,,,
04,003,236,219.8,,,,,
04,005,179,143.4,,,,,
04,007,61,130.4,,,,,
04,009,32,101.6,,,,,
04,011,5,66.5,,,,,
04,012,20,136.4,,,,,
04,013,12693,330.1,,,,,
04,015,292,148.9,,,,,
04,017,137,152.4,,,,,
04,019,2852,312.2,,,,,
04,021,1147,291.1,,,,,
04,023,81,201.3,,,,,
04,025,338,153.4,,,,,
04,027,326,190.8,,,,,
05,000,6362,248.9,,,,,
05,001,35,253.7,,,,,
05,003,20,128.9,,,,,
05,005,43,115.3,,,,,
05,007,318,127.7,,,,,
05,009,25,77.5,,,,,
05,011,9,106.4,,,,,
05,013,7,170.5,,,,,
05,015,58,237.1,,,,,
05,017,35,415.2,,,,,
05,019,28,153.4,,,,,
05,021,13,107.5,,,,,
05,023,26,117.7,,,,,
05,025,13,203.7,,,,,
05,027,35,185.9,,,,,
05,029,30,169.3,,,,,
05,031,179,192.5,,,,,
