statecode,countycode,v063_race_black,v063_race_white,v063_race_hispanic,v063_race_asian,v063_race_aian,v063_race_white_cilow,v063_race_white_cihigh,v063_race_black_cilow,v063_race_black_cihigh,v063_race_hispanic_cilow,v063_race_hispanic_cihigh,v063_race_asian_cilow,v063_race_asian_cihigh,v063_race_aian_cilow,v063_race_aian_cihigh,v063_race_flag_CT
00,000,53444,84745,68890,113106,59393,84567.46808510639,84922.53191489361,53205.70212765958,53682.29787234042,68562.34042553192,69217.65957446808,112593.65957446808,113618.34042553192,58830.617021276594,59955.382978723406,
01,000,42373,71763,55791,85907,61495,71139.85106382979,72386.14893617021,41579.46808510638,43166.53191489362,52180.78723404255,59401.21276595745,79322.82978723405,92491.17021276595,52762.574468085106,70227.4255319149,
01,001,53861,76976,92728,61375,,69327.82978723405,84624.17021276595,47329.255319148935,60392.744680851065,70876.08510638298,114579.91489361702,12525.127659574471,110224.87234042553,,,
01,003,39015,81134,65116,97841,62438,77800.21276595745,84467.78723404255,32309.297872340427,45720.70212765958,45855.574468085106,84376.4255319149,65039.29787234043,130642.70212765958,46349.31914893617,78526.68085106384,
01,005,28125,65577,38500,64196,25625,57253.255319148935,73900.74468085106,25043.808510638297,31206.191489361703,9318.042553191492,67681.9574468085,31867.31914893617,96524.68085106384,12465,38785,
01,007,25833,60817,,,,53408.31914893617,68225.68085106384,16588.23404255319,35077.76595744681,,,,,,,
01,009,,62636,48777,,60536,58054.72340425532,67217.27659574468,,,27004.91489361702,70549.08510638298,,,18786.212765957454,102285.78723404254,
01,011,30149,65063,64844,,,39420.95744680851,90705.04255319148,21032.914893617024,39265.085106382976,31284.51063829787,98403.48936170213,,,,,
01,013,34870,54739,,,,44326.574468085106,65151.425531914894,28491.957446808512,41248.04255319149,,,,,,,
01,015,37484,60753,50375,64219,,57611.04255319149,63894.95744680851,31845.872340425532,43122.12765957447,21210.914893617024,79539.08510638298,20951.255319148935,107486.74468085106,,,
01,017,41660,57748,82768,,,49351.574468085106,66144.4255319149,34142.89361702128,49177.10638297872,52485.10638297872,113050.89361702127,,,,,
01,019,49524,50978,44693,16058,60903,45236.21276595745,56719.78723404255,11426.127659574471,87621.87234042553,13547.468085106382,75838.53191489363,11013.234042553191,21102.76595744681,25101.127659574464,96704.87234042553,
01,021,35250,64232,62500,,92995,59278.97872340425,69185.02127659574,25246.255319148935,45253.744680851065,38284.17021276595,86715.82978723405,,,91073.12765957447,94916.87234042553,
01,023,30519,52608,73221,,,47720.51063829787,57495.48936170213,25197.808510638297,35840.1914893617,2242.787234042553,144199.21276595746,,,,,
01,025,36368,63250,,,,55195.53191489362,71304.46808510639,26766.978723404256,45969.02127659574,,,,,,,
01,027,30238,54106,72708,,,48403.53191489362,59808.46808510638,16876.63829787234,43599.36170212766,19548.51063829787,125867.48936170213,,,,,
01,029,,57718,,,,49452.63829787234,65983.36170212766,,,,,,,,,
01,031,34327,73293,51940,,84688,68565.17021276595,78020.82978723405,23752.531914893618,44901.46808510638,21547.489361702126,82332.51063829787,,,29790.12765957447,139585.87234042553,
01,033,34525,64018,47957,154330,,59645.234042553195,68390.76595744681,29756.659574468085,39293.34042553192,30924.659574468085,64989.34042553192,63509.914893617024,245150.08510638296,,,
01,035,37548,54794,,,,48300.382978723406,61287.617021276594,31920.595744680853,43175.40425531915,,,,,,,
01,037,41633,65045,,,,54211.97872340426,75878.02127659574,28097.68085106383,55168.31914893617,,,,,,,
01,039,31438,55536,49297,,31750,48868.425531914894,62203.574468085106,23835.106382978724,39040.89361702128,46102.617021276594,52491.382978723406,,,30017.574468085106,33482.425531914894,
01,041,29052,57857,51037,,,47753.17021276596,67960.82978723405,18670.55319148936,39433.446808510635,37625.59574468085,64448.40425531915,,,,,
01,043,73255,60706,62069,65550,51721,57472.29787234042,63939.70212765958,60669.29787234042,85840.70212765958,32717.85106382979,91420.14893617021,59009.914893617024,72090.08510638298,41473,61969,
01,045,34447,60825,61458,37386,50500,56543.97872340425,65106.02127659575,29542.82978723404,39351.17021276596,25679.957446808512,97236.04255319148,24100.893617021276,50671.10638297872,12933.531914893618,88066.46808510637,
01,047,29631,63039,,,21912,55725.63829787234,70352.36170212766,26581.978723404256,32680.021276595744,,,,,3733.446808510638,40090.553191489365,
01,049,,52448,44345,,52664,49414.46808510638,55481.53191489362,,,35897.34042553192,52792.65957446808,,,46352.68085106383,58975.31914893617,
01,051,46714,84413,62873,70313,83000,80074.78723404255,88751.21276595745,37151.10638297872,56276.89361702128,34209.34042553192,91536.65957446808,3992.3191489361634,136633.68085106384,58477.957446808505,107522.0425531915,
01,053,32453,52071,,,66667,45091.255319148935,59050.744680851065,27024.574468085106,37881.425531914894,,,,,47724.70212765958,85609.29787234042,
01,055,35958,57221,53039,122870,70288,53980.14893617021,60461.85106382979,33031.70212765958,38884.29787234042,49173.8085106383,56904.1914893617,55195.78723404255,190544.21276595746,15178.042553191488,125397.95744680852,
01,057,,54867,,,,45151.59574468085,64582.40425531915,,,,,,,,,
01,059,,53911,44806,,56484,46946.744680851065,60875.255319148935,,,35062,54550,,,23627.48936170213,89340.51063829787,
01,061,28144,57711,39038,81354,,52545.89361702128,62876.10638297872,19467.574468085106,36820.425531914894,12806.17021276596,65269.82978723404,80479.44680851063,82228.55319148937,,,
01,063,26201,66932,,,,28968.765957446813,104895.23404255319,21973.595744680853,30428.404255319147,,,,,,,
01,065,27120,67734,,,,56640.04255319149,78827.95744680852,17666.723404255317,36573.27659574468,,,,,,,
01,067,29886,68970,,160000,,63423.617021276594,74516.3829787234,18782.510638297874,40989.48936170213,,,68038.46808510639,251961.5319148936,,,
01,069,36483,66829,56591,111250,,64832.063829787236,68825.93617021276,33808.10638297872,39157.89361702128,37689.21276595745,75492.78723404255,82226.51063829787,140273.48936170212,,,
01,071,38555,50986,29891,53056,58750,47365.063829787236,54606.936170212764,26310.063829787236,50799.936170212764,17535.255319148935,42246.744680851065,17323.234042553187,88788.76595744681,8683.617021276601,108816.3829787234,
01,073,45810,85180,50441,86549,41905,82244.17021276595,88115.82978723405,43654.59574468085,47965.40425531915,46387.553191489365,54494.446808510635,76362.9574468085,96735.0425531915,22551.63829787234,61258.36170212766,
01,075,23867,53031,,,,44872.87234042553,61189.12765957447,11297.978723404254,36436.02127659575,,,,,,,
01,077,33945,63331,62054,50491,53750,57029.21276595745,69632.78723404255,24044.914893617024,43845.085106382976,46822,77286,3004.1914893616995,97977.80851063831,39689.234042553195,67810.76595744681,
01,079,41875,62788,53750,121382,99250,54959.914893617024,70616.08510638298,33038.914893617024,50711.085106382976,40989.14893617021,66510.85106382979,118994.25531914894,123769.74468085106,68324.89361702128,130175.10638297872,
01,081,42878,70334,44912,90536,85543,65183.1914893617,75484.8085106383,38878.17021276596,46877.82978723404,32964.936170212764,56859.063829787236,63231.82978723404,117840.17021276595,60041.553191489365,111044.44680851063,
01,083,62520,87411,53542,147039,55541,82304.27659574468,92517.72340425532,47146.21276595745,77893.78723404255,33162.76595744681,73921.23404255319,40261.29787234042,253816.70212765958,50396.14893617021,60685.85106382979,
01,085,26819,80476,,,,46737.78723404255,114214.21276595745,23864.106382978724,29773.893617021276,,,,,,,
01,087,40838,80313,,,,62787.382978723406,97838.61702127659,35852.8085106383,45823.1914893617,,,,,,,
