statecode,countycode,v063_rawvalue,v063_cilow,v063_cihigh,v063_numerator,v063_denominator,v063_sourceflag,v063_flag_CT
00,000,77719,77497.3829787234,77940.6170212766,,,,
01,000,62248,61411.574468085106,63084.425531914894,,,,
01,001,68857,61481.68085106383,76232.31914893616,,,,
01,003,74248,68049.87234042553,80446.12765957447,,,,
01,005,45298,39618.17021276596,50977.82978723404,,,,
01,007,56025,48206.446808510635,63843.553191489365,,,,
01,009,64962,57873.82978723404,72050.17021276595,,,,
01,011,36204,30477.702127659577,41930.29787234042,,,,
01,013,44729,39323.21276595745,50134.78723404255,,,,
01,015,51841,47449.17021276596,56232.82978723404,,,,
01,017,50390,43443.617021276594,57336.382978723406,,,,
01,019,56400,49522.72340425532,63277.27659574468,,,,
01,021,59165,54894.70212765958,63435.29787234042,,,,
01,023,47432,40479.65957446808,54384.34042553192,,,,
01,025,50868,43844.17021276596,57891.82978723404,,,,
01,027,52077,44643.29787234042,59510.70212765958,,,,
01,029,59526,50735.19148936171,68316.8085106383,,,,
01,031,64737,57903.8085106383,71570.1914893617,,,,
01,033,57770,52000.8085106383,63539.1914893617,,,,
01,035,46702,42666.425531914894,50737.574468085106,,,,
01,037,59736,54360,65112,,,,
01,039,50119,43968.53191489362,56269.46808510638,,,,
01,041,49128,42136.34042553192,56119.65957446808,,,,
01,043,61231,53529.21276595745,68932.78723404255,,,,
01,045,54697,49138.70212765958,60255.29787234042,,,,
01,047,39013,33327.21276595745,44698.78723404255,,,,
01,049,50614,43506.76595744681,57721.23404255319,,,,
01,051,73125,65850.9574468085,80399.0425531915,,,,
01,053,50333,44264.744680851065,56401.255319148935,,,,
01,055,52504,48536.34042553192,56471.65957446808,,,,
01,057,49235,42510.234042553195,55959.765957446805,,,,
01,059,49682,42390.085106382976,56973.914893617024,,,,
01,061,50006,43300.29787234042,56711.70212765958,,,,
01,063,34619,29420.531914893618,39817.46808510638,,,,
01,065,42380,38172.85106382979,46587.14893617021,,,,
01,067,55598,48595.617021276594,62600.382978723406,,,,
01,069,59412,55596.85106382979,63227.14893617021,,,,
01,071,51479,47625.72340425532,55332.27659574468,,,,
01,073,64726,61313.574468085106,68138.4255319149,,,,
01,075,50929,43615.63829787234,58242.36170212766,,,,
01,077,63895,58777.553191489365,69012.44680851063,,,,
01,079,61064,53855.48936170213,68272.51063829787,,,,
01,081,62301,56304.234042553195,68297.76595744681,,,,
01,083,81811,77120.10638297873,86501.89361702127,,,,
01,085,42011,35779.51063829787,48242.48936170213,,,,
01,087,40710,35398.34042553192,46021.65957446808,,,,
01,089,86172,82337.78723404255,90006.21276595745,,,,
01,091,47228,40012.34042553192,54443.65957446808,,,,
01,093,48829,42232.914893617024,55425.085106382976,,,,
01,095,59882,54719.27659574468,65044.72340425532,,,,
01,097,55538,52393.65957446808,58682.34042553192,,,,
01,099,49314,42610.68085106383,56017.31914893617,,,,
01,101,60063,55926.14893617021,64199.85106382979,,,,
01,103,70387,63584.78723404255,77189.21276595745,,,,
01,105,34176,28895.31914893617,39456.68085106383,,,,
01,107,47372,40101.53191489362,54642.46808510638,,,,
01,109,50675,44476.87234042553,56873.12765957447,,,,
01,111,57148,51045.1914893617,63250.8085106383,,,,
01,113,52312,47300.59574468085,57323.40425531915,,,,
01,115,78349,71617.08510638298,85080.91489361702,,,,
01,117,90280,83570.72340425532,96989.27659574468,,,,
01,119,37021,31675.978723404256,42366.02127659574,,,,
01,121,59491,54882.31914893617,64099.68085106383,,,,
01,123,60583,55855.17021276596,65310.82978723404,,,,
01,125,61117,57387.63829787234,64846.36170212766,,,,
01,127,57950,52314.255319148935,63585.744680851065,,,,
01,129,57311,49705.72340425532,64916.27659574468,,,,
01,131,34426,29412.212765957447,39439.78723404255,,,,
01,133,52280,44758.12765957447,59801.87234042553,,,,
02,000,88696,85918.63829787234,91473.36170212766,,,,
02,013,83000,69648.17021276595,96351.82978723405,,,,
02,016,104159,89629.97872340426,118688.02127659574,,,,
02,020,93881,86854.78723404255,100907.21276595745,,,,
02,050,62140,55991.914893617024,68288.08510638298,,,,
02,060,99790,85331.27659574468,114248.72340425532,,,,
02,063,95180,80930.97872340426,109429.02127659574,,,,
02,066,69092,60531.14893617021,77652.85106382979,,,,
02,068,86118,72755.44680851063,99480.55319148937,,,,
02,070,62598,53995.446808510635,71200.55319148937,,,,
02,090,86780,79566.72340425532,93993.27659574468,,,,
02,100,78649,69812.91489361702,87485.08510638298,,,,
02,105,64720,54902.12765957447,74537.87234042553,,,,
02,110,99748,86577.27659574468,112918.72340425532,,,,
02,122,74185,67447.12765957447,80922.87234042553,,,,
02,130,87760,76374.12765957447,99145.87234042553,,,,
02,150,86250,73160.29787234042,99339.70212765958,,,,
02,158,42029,36203.8085106383,47854.1914893617,,,,
02,164,62547,53643,71451,,,,
02,170,94376,88496,100256,,,,
02,180,75296,67310.63829787234,83281.36170212766,,,,
02,185,103556,89530.97872340426,117581.02127659574,,,,
02,188,78619,69788.87234042553,87449.12765957447,,,,
02,195,68449,58679.97872340426,78218.02127659574,,,,
02,198,57304,49082.72340425532,65525.27659574468,,,,
02,220,89264,76552,101976,,,,
02,230,79412,67619.82978723405,91204.17021276595,,,,
02,240,79014,69656.0425531915,88371.9574468085,,,,
02,275,65011,55041.8085106383,74980.1914893617,,,,
02,282,77108,65175.234042553195,89040.76595744681,,,,
02,290,49498,41989.234042553195,57006.765957446805,,,,
04,000,77158,76068.97872340426,78247.02127659574,,,,
04,001,43121,38052.40425531915,48189.59574468085,,,,
04,003,53011,49270.914893617024,56751.085106382976,,,,
04,005,71528,66516.59574468085,76539.40425531915,,,,
04,007,55804,48656.255319148935,62951.744680851065,,,,
04,009,66469,59252.14893617021,73685.85106382979,,,,
04,011,71273,63707.04255319149,78838.9574468085,,,,
04,012,48801,43158.10638297872,54443.89361702128,,,,
04,013,86973,85281.08510638298,88664.91489361702,,,,
04,015,56302,52875.27659574468,59728.72340425532,,,,
04,017,51011,48110.914893617024,53911.085106382976,,,,
04,019,69553,66876.91489361702,72229.08510638298,,,,
04,021,77290,72771.87234042553,81808.12765957447,,,,
04,023,52400,45463.14893617021,59336.85106382979,,,,
04,025,67317,63424.40425531915,71209.59574468085,,,,
04,027,61225,56548.40425531915,65901.59574468085,,,,
05,000,58748,57413.53191489362,60082.46808510638,,,,
05,001,50198,43422,56974,,,,
05,003,49560,45360,53760,,,,
05,005,48804,42530.8085106383,55077.1914893617,,,,
05,007,92632,86253.9574468085,99010.0425531915,,,,
05,009,56154,49052.72340425532,63255.27659574468,,,,
05,011,44525,37763.29787234042,51286.70212765958,,,,
05,013,57689,49043.553191489365,66334.44680851063,,,,
05,015,53986,47525.744680851065,60446.255319148935,,,,
05,017,40381,36758.87234042553,44003.12765957447,,,,
05,019,53561,46765.936170212764,60356.063829787236,,,,
05,021,47663,40846.48936170213,54479.51063829787,,,,
05,023,56692,49682.46808510638,63701.53191489362,,,,
05,025,54458,46310.59574468085,62605.40425531915,,,,
05,027,44175,38127,50223,,,,
05,029,53863,47735.17021276596,59990.82978723404,,,,
05,031,60204,54604,65804,,,,
05,033,63905,57076.574468085106,70733.4255319149,,,,
05,035,52153,46766.27659574468,57539.72340425532,,,,
05,037,47669,40690.446808510635,54647.553191489365,,,,
05,039,46701,40498.10638297872,52903.89361702128,,,,
05,041,43469,37755.8085106383,49182.1914893617,,,,
05,043,48746,40940.553191489365,56551.446808510635,,,,
05,045,68543,62836.95744680851,74249.0425531915,,,,
05,047,54077,45879.553191489365,62274.446808510635,,,,
05,049,46346,39311.446808510635,53380.553191489365,,,,
05,051,53849,47891.553191489365,59806.446808510635,,,,
05,053,64306,57616.97872340426,70995.02127659574,,,,
05,055,55444,48920.59574468085,61967.40425531915,,,,
05,057,50576,43983.48936170213,57168.51063829787,,,,
05,059,53767,49714.744680851065,57819.255319148935,,,,
05,061,47308,40528.425531914894,54087.574468085106,,,,
05,063,59695,52641.382978723406,66748.6170212766,,,,
05,065,47320,40793.02127659575,53846.97872340425,,,,
05,067,45762,39288.63829787234,52235.36170212766,,,,
05,069,49581,43715.29787234042,55446.70212765958,,,,
05,071,50387,42753.12765957447,58020.87234042553,,,,
05,073,43824,37175.48936170213,50472.51063829787,,,,
05,075,49015,42465.382978723406,55564.617021276594,,,,
05,077,36735,31028.957446808512,42441.04255319149,,,,
05,079,53381,45773.34042553192,60988.65957446808,,,,
05,081,48837,42968.914893617024,54705.085106382976,,,,
05,083,51290,44082.68085106383,58497.31914893617,,,,
05,085,74687,67160.36170212766,82213.63829787234,,,,
05,087,52262,45304.89361702128,59219.10638297872,,,,
05,089,49975,43823.34042553192,56126.65957446808,,,,
05,091,50421,43351.89361702128,57490.10638297872,,,,
05,093,49484,43702.89361702128,55265.10638297872,,,,
05,095,40631,35010.744680851065,46251.255319148935,,,,
05,097,48991,41831.34042553192,56150.65957446808,,,,
05,099,45562,38514.34042553192,52609.65957446808,,,,
05,101,46307,39912.27659574468,52701.72340425532,,,,
05,103,49690,43285.744680851065,56094.255319148935,,,,
05,105,57996,49579.31914893617,66412.68085106384,,,,
05,107,37338,31760.63829787234,42915.36170212766,,,,
05,109,53108,47964.34042553192,58251.65957446808,,,,
05,111,51635,45581.04255319149,57688.95744680851,,,,
05,113,47766,41753.744680851065,53778.255319148935,,,,
05,115,59016,53028.76595744681,65003.23404255319,,,,
05,117,54962,47605.744680851065,62318.255319148935,,,,
05,119,61344,58888.34042553192,63799.65957446808,,,,
05,121,51480,43788.936170212764,59171.063829787236,,,,
05,123,41708,35926.89361702128,47489.10638297872,,,,
05,125,77844,71828.17021276595,83859.82978723405,,,,
05,127,46026,39130.85106382979,52921.14893617021,,,,
05,129,40688,34858.04255319149,46517.95744680851,,,,
05,131,58112,52822.97872340426,63401.02127659574,,,,
05,133,52845,44982.36170212766,60707.63829787234,,,,
05,135,45258,38829.914893617024,51686.085106382976,,,,
05,137,43767,37755.936170212764,49778.063829787236,,,,
05,139,49664,42617.53191489362,56710.46808510638,,,,
05,141,50332,44249.446808510635,56414.553191489365,,,,
05,143,66158,60709.31914893617,71606.68085106384,,,,
05,145,56178,49975.10638297872,62380.89361702128,,,,
05,147,43259,37172.87234042553,49345.12765957447,,,,
05,149,51997,45649.936170212764,58344.063829787236,,,,
06,000,95473,94749.76595744681,96196.23404255319,,,,
06,001,119230,115326.68085106384,123133.31914893616,,,,
06,003,83265,73571.0425531915,92958.9574468085,,,,
06,005,80767,72381.29787234042,89152.70212765958,,,,
06,007,63084,59368.936170212764,66799.06382978724,,,,
06,009,77041,67980.91489361702,86101.08510638298,,,,
06,011,66675,57243.17021276596,76106.82978723405,,,,
06,013,122000,117039.82978723405,126960.17021276595,,,,
06,015,70231,65131.425531914894,75330.5744680851,,,,
06,017,107063,101174.65957446808,112951.34042553192,,,,
06,019,71271,69232.36170212766,73309.63829787234,,,,
06,021,64197,56160.40425531915,72233.59574468085,,,,
06,023,61307,58243.68085106383,64370.31914893617,,,,
06,025,58768,54558.46808510638,62977.53191489362,,,,
06,027,71656,62037.10638297872,81274.89361702127,,,,
06,029,68436,65701.53191489361,71170.46808510639,,,,
06,031,65768,59618.72340425532,71917.27659574468,,,,
06,033,57945,52864.48936170213,63025.51063829787,,,,
06,035,77743,72705.3829787234,82780.6170212766,,,,
06,037,86499,85586.31914893616,87411.68085106384,,,,
06,039,66084,60420.85106382979,71747.14893617021,,,,
06,041,139197,131063.89361702128,147330.10638297873,,,,
06,043,64352,54298.21276595745,74405.78723404255,,,,
06,045,65891,59953.8085106383,71828.1914893617,,,,
06,047,58962,54327.10638297872,63596.89361702128,,,,
06,049,51996,44221.53191489362,59770.46808510638,,,,
06,051,82973,70521.93617021276,95424.06382978724,,,,
06,053,86809,82436.23404255319,91181.76595744681,,,,
06,055,100469,90981.17021276595,109956.82978723405,,,,
06,057,87142,81331.10638297873,92952.89361702127,,,,
06,059,109768,107680.51063829787,111855.48936170213,,,,
06,061,110020,104777.44680851063,115262.55319148937,,,,
06,063,64121,55856.82978723404,72385.17021276595,,,,
06,065,90251,88615.08510638298,91886.91489361702,,,,
06,067,89984,88066.89361702128,91901.10638297872,,,,
06,069,105112,97586.55319148937,112637.44680851063,,,,
06,071,84576,82523.06382978724,86628.93617021276,,,,
06,073,103476,102140.34042553192,104811.65957446808,,,,
06,075,125456,119671.31914893616,131240.68085106384,,,,
06,077,86211,82565.0425531915,89856.9574468085,,,,
06,079,89809,85016.82978723405,94601.17021276595,,,,
06,081,151004,147212.68085106384,154795.31914893616,,,,
06,083,90155,85907.34042553192,94402.65957446808,,,,
06,085,154573,151084.31914893616,158061.68085106384,,,,
06,087,102723,95728.9574468085,109717.0425531915,,,,
06,089,71935,66399.34042553192,77470.65957446808,,,,
06,091,67675,57042.14893617021,78307.85106382979,,,,
06,093,58975,52940.10638297872,65009.89361702128,,,,
06,095,99117,94753.76595744681,103480.23404255319,,,,
06,097,100157,96471.72340425532,103842.27659574468,,,,
06,099,81582,78269.65957446808,84894.34042553192,,,,
06,101,71968,65336.17021276596,78599.82978723405,,,,
06,103,58333,50932.65957446808,65733.34042553192,,,,
06,105,52079,44191.34042553192,59966.65957446808,,,,
06,107,71368,68002.0425531915,74733.9574468085,,,,
06,109,72329,63261.76595744681,81396.23404255319,,,,
06,111,106526,101866.08510638298,111185.91489361702,,,,
06,113,91192,86035.23404255319,96348.76595744681,,,,
06,115,71493,64823.04255319149,78162.9574468085,,,,
08,000,92790,91561.5744680851,94018.4255319149,,,,
08,001,95278,90207.02127659574,100348.97872340426,,,,
08,003,50056,44485.78723404255,55626.21276595745,,,,
08,005,97560,92994.21276595745,102125.78723404255,,,,
08,007,74432,65660.25531914894,83203.74468085106,,,,
08,009,47421,40185.085106382976,54656.914893617024,,,,
08,011,44960,37963.574468085106,51956.425531914894,,,,
08,013,97170,89400.29787234042,104939.70212765958,,,,
08,014,113162,105615.10638297873,120708.89361702127,,,,
08,015,75298,65532.553191489365,85063.44680851063,,,,
08,017,63177,54979.553191489365,71374.44680851063,,,,
08,019,94093,80536.23404255319,107649.76595744681,,,,
08,021,53174,46948.46808510638,59399.53191489362,,,,
08,023,38731,32711.595744680853,44750.40425531915,,,,
08,025,46979,40552.10638297872,53405.89361702128,,,,
08,027,77137,70763.72340425532,83510.27659574468,,,,
08,029,57075,52058.82978723404,62091.17021276596,,,,
08,031,93572,89727.06382978724,97416.93617021276,,,,
08,033,57701,49676.31914893617,65725.68085106384,,,,
08,035,144807,137230.31914893616,152383.68085106384,,,,
08,037,110598,96577.74468085106,124618.25531914894,,,,
08,039,123083,110915.51063829787,135250.48936170212,,,,
08,041,88794,84626.17021276595,92961.82978723405,,,,
08,043,61015,53731.425531914894,68298.5744680851,,,,
08,045,94696,88027.23404255319,101364.76595744681,,,,
08,047,88589,77007.72340425532,100170.27659574468,,,,
08,049,93257,87244.74468085106,99269.25531914894,,,,
08,051,79658,68686.76595744681,90629.23404255319,,,,
08,053,71541,60456.574468085106,82625.4255319149,,,,
08,055,47855,41019.425531914894,54690.574468085106,,,,
08,057,96811,91966.40425531915,101655.59574468085,,,,
08,059,102146,98694.25531914894,105597.74468085106,,,,
08,061,55523,47123,63923,,,,
08,063,55304,47179.234042553195,63428.765957446805,,,,
08,065,86215,79554.5744680851,92875.4255319149,,,,
08,067,83542,78244.63829787234,88839.36170212766,,,,
08,069,88519,83481.3829787234,93556.6170212766,,,,
08,071,52067,44716.70212765958,59417.29787234042,,,,
08,073,58034,49623.27659574468,66444.72340425532,,,,
08,075,55415,48898.744680851065,61931.255319148935,,,,
08,077,66339,58960.10638297872,73717.89361702127,,,,
08,079,37108,34997.87234042553,39218.12765957447,,,,
08,081,73875,64233.46808510638,83516.53191489361,,,,
08,083,60809,55693.936170212764,65924.06382978724,,,,
08,085,67113,59979.553191489365,74246.44680851063,,,,
08,087,68541,61025.085106382976,76056.91489361702,,,,
08,089,52169,45993.51063829787,58344.48936170213,,,,
08,091,92760,81484.93617021276,104035.06382978724,,,,
08,093,103720,92490.21276595745,114949.78723404255,,,,
08,095,59367,50442.744680851065,68291.25531914894,,,,
08,097,109268,95023.74468085106,123512.25531914894,,,,
08,099,50365,42615.553191489365,58114.446808510635,,,,
08,101,63801,59127.97872340425,68474.02127659574,,,,
08,103,72088,62310.63829787234,81865.36170212766,,,,
08,105,55574,47461.14893617021,63686.85106382979,,,,
08,107,112377,97380.91489361702,127373.08510638298,,,,
08,109,47829,40581.17021276596,55076.82978723404,,,,
08,111,102689,97062.78723404255,108315.21276595745,,,,
08,113,94927,81814.65957446808,108039.34042553192,,,,
