statecode,countycode,v080_rawvalue,v080_numerator,v080_denominator,v080_flag_CT
00,000,0.0026866974668295954,899815,334914895,NA
01,000,0.0011892019290323439,6075,5108468,NA
01,001,0.0013920652281992642,84,60342,NA
01,003,6.94260907982817e-4,176,253507,NA
01,005,0.003050640634533252,75,24585,NA
01,007,0.0014633254069873788,32,21868,NA
01,009,0.0013374348000534974,80,59816,NA
01,011,0.005860361725775487,58,9897,NA
01,013,5.984114895005984e-4,11,18382,NA
01,015,0.0013656391448865833,159,116429,NA
01,017,5.575280964817043e-4,19,34079,NA
01,019,5.065066625107146e-4,13,25666,NA
01,021,0.0018306734724645173,85,46431,NA
01,023,0,0,12252,NA
01,025,1.7907507722612705e-4,4,22337,NA
01,027,0,0,14111,NA
01,029,7.673124880107424e-4,12,15639,NA
01,031,0.004636701831317506,258,55643,NA
01,033,5.997155634756087e-4,35,58361,NA
01,035,6.264542688383748e-4,7,11174,NA
01,037,0.002045188936501753,21,10268,NA
01,039,1.8444350758853287e-4,7,37952,NA
01,041,8.396305625524769e-4,11,13101,NA
01,043,9.454877412623891e-4,87,92016,NA
01,045,0.0018848629464017165,94,49871,NA
01,047,4.7006774505737594e-4,17,36165,NA
01,049,0.006958894293706679,505,72569,NA
01,051,0.001194148671509603,108,90441,NA
01,053,7.11198643251819e-4,26,36558,NA
01,055,0.0038550575837118972,398,103241,NA
01,057,1.2525834533725808e-4,2,15967,NA
01,059,0.00216967486321615,69,31802,NA
01,061,7.781236104935527e-4,21,26988,NA
01,063,0,0,7341,NA
01,065,4.030091348737238e-4,6,14888,NA
01,067,3.3521425777976424e-4,6,17899,NA
01,069,0.0011432575464217882,124,108462,NA
01,071,0.0014214375222099613,76,53467,NA
01,073,5.475980358880365e-4,363,662895,NA
01,075,1.4640216675206792e-4,2,13661,NA
01,077,8.159976862850414e-4,79,96814,NA
01,079,2.387917139275267e-4,8,33502,NA
01,081,0.0011243620882569658,206,183215,NA
01,083,0.0019275385071606747,221,114654,NA
01,085,4.1164968611711434e-4,4,9717,NA
01,087,1.633097441480675e-4,3,18370,NA
01,089,0.0011197285506543868,462,412600,NA
01,091,0.0017662170841361592,33,18684,NA
01,093,8.890712624811928e-4,26,29244,NA
01,095,0.004287585850966692,432,100756,NA
01,097,4.6156836070352736e-4,190,411640,NA
01,099,4.1603827552134795e-4,8,19229,NA
01,101,9.911992177082407e-4,223,224980,NA
01,103,0.001662231385805503,208,125133,NA
01,105,7.753941586973378e-4,6,7738,NA
