statecode,countycode,v085_numerator,v085_denominator,v085_rawvalue,v085_cilow,v085_cihigh,v085_sourceflag,v085_flag_CT
00,000,25694722,269100387,0.09548377944175904,,,,
01,000,420891,4012794,0.1048872680730683,0.10131279998796192,0.10846173615817467,,
01,001,4053,49485,0.08190360715368293,0.06879722417495952,0.09500999013240634,,
01,003,19478,190730,0.10212342054212761,0.09020852692510634,0.11403831415914889,,
01,005,2025,16712,0.12117041646720919,0.10210658667997514,0.14023424625444322,,
01,007,1758,16224,0.10835798816568047,0.09048564774014856,0.1262303285912124,,
01,009,6024,48132,0.12515582149090002,0.10847497042707023,0.14183667255472981,,
01,011,753,6600,0.11409090909090909,0.0926441005802708,0.1355377176015474,,
01,013,1479,14248,0.1038040426726558,0.08593170224712389,0.12167638309818772,,
01,015,10537,89045,0.11833342691897356,0.10165257585514377,0.13501427798280335,,
01,017,3324,26095,0.12738072427668135,0.10712540512774518,0.1476360434256175,,
01,019,2522,19028,0.1325415177632962,0.11347768797606216,0.15160534755053023,,
01,021,4945,37514,0.13181745481686838,0.11394511439133646,0.14968979524240028,,
01,023,1029,9218,0.1116294206986331,0.09375708027310119,0.129501761124165,,
01,025,1985,17289,0.11481288680664006,0.09694054638110815,0.13268522723217197,,
01,027,1167,11055,0.10556309362279512,0.0876907531972632,0.12343543404832703,,
01,029,1525,12311,0.12387295914223052,0.10480912935499648,0.14293678892946457,,
01,031,5173,44912,0.11518079800498753,0.09969143630285987,0.13067015970711518,,
01,033,4901,45852,0.10688737677745791,0.09020652571362812,0.1235682278412877,,
01,035,864,8169,0.10576569959603378,0.08789335917050187,0.1236380400215657,,
01,037,698,7352,0.09494015233949946,0.07706781191396754,0.11281249276503137,,
01,039,3184,28855,0.1103448275862069,0.09366397652237711,0.12702567865003667,,
01,041,1357,10327,0.13140311804008908,0.11114779889115292,0.15165843718902525,,
01,043,8511,73069,0.11647894455925221,0.10098958285712456,0.13196830626137987,,
01,045,4184,39881,0.10491211353777488,0.0882312624739451,0.12159296460160467,,
01,047,2732,28059,0.09736626394383263,0.08068541288000285,0.11404711500766242,,
01,049,8907,58604,0.15198621254521877,0.13292238275798474,0.1710500423324528,,
01,051,6209,69032,0.08994379418240815,0.07683741120368474,0.10305017716113156,,
01,053,3407,27439,0.12416633259229563,0.10510250280506159,0.14323016237952968,,
01,055,9166,81457,0.11252562701793585,0.09822775467751033,0.12682349935836137,,
01,057,1436,12427,0.11555484026716022,0.09649101047992617,0.13461867005439426,,
01,059,3574,26088,0.13699785341919657,0.1167425342702604,0.15725317256813273,,
01,061,2544,21010,0.1210851975249881,0.10321285709945618,0.13895753795052002,,
01,063,494,5327,0.09273512295851323,0.07486278253298131,0.11060746338404515,,
01,065,1282,11249,0.11396568583874123,0.09490185605150718,0.13302951562597526,,
01,067,1509,13379,0.11278869870692877,0.09491635828139686,0.1306610391324607,,
01,069,10158,86703,0.11715857582782603,0.10405219284910262,0.13026495880654942,,
01,071,5438,41851,0.1299371580129507,0.11206481758741878,0.14780949843848262,,
01,073,50628,527338,0.09600673571788872,0.08766631018597382,0.10434716124980362,,
01,075,1170,10574,0.1106487611121619,0.09277642068662999,0.1285211015376938,,
01,077,7720,72531,0.10643724752174932,0.09094788581962167,0.12192660922387698,,
01,079,3249,26683,0.12176292021137053,0.10389057978583861,0.13963526063690246,,
01,081,15090,150207,0.10046136331862031,0.0873549803398969,0.11356774629734372,,
01,083,8366,90622,0.0923175387874909,0.07921115580876749,0.1054239217662143,,
01,085,670,7362,0.09100787829394186,0.07432702723011207,0.10768872935777164,,
01,087,1170,12168,0.09615384615384616,0.07828150572831424,0.11402618657937807,,
01,089,26523,328874,0.08064790770933548,0.07111599281571847,0.0901798226029525,,
01,091,1483,14477,0.10243835048697934,0.08456601006144743,0.12031069091251126,,
01,093,2532,22579,0.11213959874219408,0.09426725831666216,0.130011939167726,,
01,095,10116,81466,0.12417450224633589,0.10987662990591035,0.13847237458676143,,
