statecode,countycode,v128_denominator,v128_numerator,v128_rawvalue,v128_cilow,v128_cihigh,sourceflag,v128_flag_CT
00,000,326032831,170809,52.39012263768,52.14166628165746,52.638578993702545,,
01,000,4979820,3597,72.23152644071473,69.87097947742267,74.5920734040068,,
01,001,59910,40,66.76681689200467,47.699192858936684,90.91745445498927,,
01,003,223254,111,49.71915396812599,40.4696527920703,58.968655144181675,,
01,005,22270,16,71.84553210597215,41.06592929340603,116.67264300656018,,
01,007,19274,14,72.63671266991803,39.71116673394521,121.87206143942916,,
01,009,59037,41,69.4479733048766,49.83706466869129,94.21401759190832,,
01,011,9227,9,97.53982876341173,33.81380730464941,161.26585022217407,,
01,013,18392,14,76.12005219660722,41.61554086722814,127.71651327661796,,
01,015,113636,67,58.960188672603756,45.6933363768529,74.87735543999821,,
01,017,30823,37,120.04022969860169,84.5193996921326,165.45964423297806,,
01,019,20950,8,38.186157517899765,11.724500408102468,64.64781462769706,,
01,021,47231,24,50.81408397027376,32.55754240792374,75.60732907148525,,
01,023,10834,8,73.84160974709249,22.671984820910723,125.01123467327426,,
01,025,21629,28,129.45582320033287,86.02245437078703,187.09970846210268,,
01,027,12499,6,48.00384030722458,9.59276825462014,86.41491235982902,,
01,029,15194,15,98.7231802027116,55.254614537207544,162.82887239361486,,
01,031,56471,30,53.12461263303289,35.842953058066826,75.83868781287327,,
01,033,52728,34,64.48186921559703,44.65556892841048,90.10694905022588,,
01,035,10096,17,168.38351822503964,98.08960449294067,269.5983242463017,,
01,037,7418,7,94.36505796710703,24.458444733262382,164.2716712009517,,
01,039,36032,27,74.93339253996447,49.381577852366696,109.02415199034773,,
01,041,13250,9,67.9245283018868,23.54716981132077,112.30188679245282,,
01,043,86664,35,40.38585802640081,28.13022985613376,56.166952101314344,,
01,045,49858,30,60.1708853142926,40.59704364679874,85.89768020138727,,
01,047,37708,31,82.21067147554896,55.858162668775464,116.69148590020356,,
01,049,75445,38,50.36781761548147,35.643265485050236,69.13376488734788,,
01,051,83962,57,67.88785402920368,51.417597678622165,87.95658917482054,,
01,053,35929,36,100.19761195691503,70.17717558884254,138.7157296034852,,
01,055,97389,70,71.87670065407798,56.03141433626537,90.8118872070141,,
