"statecode","countycode","state","county","fipscode","v133_rawvalue","v133_numerator","v133_denominator"
"00","000","US","United States","00000",7.6,0.0610019646664497,0.143
"01","000","AL","Alabama","01000",5.6,0.0876054852974279,0.175
"01","001","AL","Autauga County","01001",7.1,0.130209979713542,0.151
"01","003","AL","Baldwin County","01003",7.7,0.0793677935795755,0.148
"01","005","AL","Barbour County","01005",6.4,0.104331716717205,0.197
"01","007","AL","Bibb County","01007",7.5,0.0044586621329457,0.193
"01","009","AL","Blount County","01009",7.7,0.0251220601811537,0.173
"01","011","AL","Bullock County","01011",4.3,0.323391903873839,0.19
"01","013","AL","Butler County","01013",7,0.0691828694381044,0.184
"01","015","AL","Calhoun County","01015",6.1,0.153980729952294,0.186
"01","017","AL","Chambers County","01017",7.1,0.0810298845129455,0.173
"01","019","AL","Cherokee County","01019",7.4,0.0500865225151035,0.175
"01","021","AL","Chilton County","01021",7.5,0.0436955151066599,0.171
"01","023","AL","Choctaw County","01023",6.3,0.130442754451234,0.188
"01","025","AL","Clarke County","01025",5.5,0.183503435491757,0.197
"01","027","AL","Clay County","01027",7.5,0.0297461783574928,0.18
"01","029","AL","Cleburne County","01029",7.7,0.0202485192972289,0.173
"01","031","AL","Coffee County","01031",6.7,0.0899189500205738,0.186
"01","033","AL","Colbert County","01033",6.8,0.0882930330960487,0.183
"01","035","AL","Conecuh County","01035",5.8,0.132889727351942,0.21
"01","037","AL","Coosa County","01037",7.3,0.0771721923605692,0.165
"01","039","AL","Covington County","01039",7,0.0548048496462682,0.189
"01","041","AL","Crenshaw County","01041",6.5,0.13506183464104,0.175
"01","043","AL","Cullman County","01043",7.7,0.0284374427086116,0.172
"01","045","AL","Dale County","01045",6.5,0.0879550211364752,0.197
"01","047","AL","Dallas County","01047",6.1,0.0876712980240363,0.219
"01","049","AL","DeKalb County","01049",NA,NA,0.19
"01","051","AL","Elmore County","01051",8,0.0498424559452902,0.146
"01","053","AL","Escambia County","01053",6.8,0.0567654877040764,0.198
"01","055","AL","Etowah County","01055",6.4,0.133979195661807,0.181
"01","057","AL","Fayette County","01057",7.5,0.00429989611422061,0.193
"01","059","AL","Franklin County","01059",7.1,0.0573510464746205,0.184
"01","061","AL","Geneva County","01061",7,0.0386399103347978,0.198
"01","063","AL","Greene County","01063",4,0.227564753453833,0.247
"01","065","AL","Hale County","01065",6.5,0.0697649125706457,0.206
"01","067","AL","Henry County","01067",7.1,0.0804810336952339,0.176
"01","069","AL","Houston County","01069",7.3,0.0424210912800775,0.182
"01","071","AL","Jackson County","01071",7,0.0537041645420826,0.192
"01","073","AL","Jefferson County","01073",6.8,0.125866386035701,0.167
"01","075","AL","Lamar County","01075",7.7,0.00416253749033214,0.185
"01","077","AL","Lauderdale County","01077",7.4,0.0647068192160155,0.167
"01","079","AL","Lawrence County","01079",7.4,0.0535403483453782,0.171
