"","v133_rawvalue","statecode","countycode","v133_numerator","v133_denominator"
"1",6.8,"01","001",0.130209979713542,0.151
"2",7.4,"01","003",0.0793677935795755,0.149
"3",6.2,"01","005",0.104331716717205,0.19
"4",7.3,"01","007",0.0044586621329457,0.191
"5",7.4,"01","009",0.0251220601811537,0.174
"6",4.4,"01","011",0.323391903873839,0.169
"7",7,"01","013",0.0691828694381044,0.171
"8",5.9,"01","015",0.153980729952294,0.182
"9",6.9,"01","017",0.0810298845129455,0.169
"10",7,"01","019",0.0500865225151035,0.179
"11",7.2,"01","021",0.0436955151066599,0.175
"12",6.2,"01","023",0.130442754451234,0.18
"13",5.4,"01","025",0.183503435491757,0.189
"14",7.2,"01","027",0.0297461783574928,0.18
"15",7.4,"01","029",0.0202485192972289,0.178
"16",6.7,"01","031",0.0899189500205738,0.178
"17",6.7,"01","033",0.0882930330960487,0.176
"18",6.4,"01","035",0.132889727351942,0.171
"19",7.2,"01","037",0.0771721923605692,0.158
"20",6.7,"01","039",0.0548048496462682,0.192
"21",6.5,"01","041",0.13506183464104,0.164
"22",7.4,"01","043",0.0284374427086116,0.174
"23",6.4,"01","045",0.0879550211364752,0.19
"24",6.4,"01","047",0.0876712980240363,0.191
"25",NA,"01","049",NA,0.194
"26",7.9,"01","051",0.0498424559452902,0.141
"27",6.7,"01","053",0.0567654877040764,0.193
"28",6.3,"01","055",0.133979195661807,0.175
"29",6.9,"01","057",0.00429989611422061,0.205
"30",6.9,"01","059",0.0573510464746205,0.183
"31",6.6,"01","061",0.0386399103347978,0.206
"32",4.5,"01","063",0.227564753453833,0.211
"33",6.6,"01","065",0.0697649125706457,0.191
"34",7,"01","067",0.0804810336952339,0.166
"35",7.2,"01","069",0.0424210912800775,0.174
"36",6.5,"01","071",0.0537041645420826,0.2
"37",6.9,"01","073",0.125866386035701,0.152
"38",7.3,"01","075",0.00416253749033214,0.187
"39",7.2,"01","077",0.0647068192160155,0.164
"40",7,"01","079",0.0535403483453782,0.18
"41",6.9,"01","081",0.110690195186034,0.155
"42",7.6,"01","083",0.0642636736721844,0.148
"43",5.4,"01","085",0.202040065628903,0.18
"44",5.6,"01","087",0.220998870226556,0.165
"45",7.5,"01","089",0.09342907381274,0.139
"46",6.2,"01","091",0.13247225463763,0.177
"47",7,"01","093",0.0103100842983963,0.2
"48",6.6,"01","095",0.100314212861717,0.176
"49",6.9,"01","097",0.0971583444928678,0.163
"50",6.2,"01","099",0.11329650772979,0.186
"51",6.9,"01","101",0.107443179617442,0.16
"52",7,"01","103",0.0827116876733125,0.164
"53",3.9,"01","105",0.278470742479266,0.214
"54",7.1,"01","107",0.0149668233875036,0.193
"55",6.7,"01","109",0.104935849977672,0.17
"56",6.1,"01","111",0.13183328225041,0.184
"57",6.7,"01","113",0.0666527764623387,0.188
"58",7.9,"01","115",0.023738139842446,0.152
"59",8.2,"01","117",0.0581979307372821,0.125
"60",6.3,"01","119",0.107446957515764,0.187
"61",6.7,"01","121",0.0784164550017842,0.181
"62",7.3,"01","123",0.0326649004824349,0.176
"63",7.5,"01","125",0.0673214439511441,0.152
"64",6.8,"01","127",0.0371867576919199,0.195
"65",7.5,"01","129",0.0448101803558889,0.162
"66",4.7,"01","131",0.236829860725881,0.198
"67",6.9,"01","133",0.0169450853057352,0.2
"68",7.3,"02","013",0.145903331548832,0.122
"69",7.9,"02","016",0.0780843010324972,0.128
"70",8.6,"02","020",0.0457002427137259,0.112
"71",2.9,"02","050",0.398526504503961,0.202
"72",7.3,"02","060",0.116793632731284,0.135
"73",NA,"02","063",NA,0.11
"74",NA,"02","066",NA,0.166
"75",5.7,"02","068",0.330914478695888,0.106
"76",4.9,"02","070",0.314664342461639,0.153
"77",8.3,"02","090",0.0773120172143561,0.111
"78",7.7,"02","100",0.100852937548731,0.127
"79",5,"02","105",0.311301740610964,0.149
"80",9,"02","110",0.0196160136125468,0.104
"81",7.7,"02","122",0.0786827577671178,0.136
"82",8.7,"02","130",0.00400955588106095,0.125
"83",7.8,"02","150",0.114800811484658,0.116
"84",NA,"02","158",NA,0.252
"85",3.8,"02","164",0.416042655684139,0.152
"86",8,"02","170",0.0818740214499115,0.123
"87",6.1,"02","180",0.151954730292818,0.175
"88",7.9,"02","185",0.0710616453545225,0.131
"89",4.6,"02","188",0.292195537760163,0.176
"90",8.7,"02","195",0.0066749290336745,0.123
"91",6.9,"02","198",0.0884107308957543,0.166
"92",8.4,"02","220",0.0624763201000862,0.111
"93",8.7,"02","230",0.000599157948902102,0.126
"94",7.2,"02","240",0.0988800847330963,0.149
"95",7.7,"02","275",0.050337559901626,0.148
"96",8.5,"02","282",0.0011190832015375,0.134
"97",2.7,"02","290",0.432785968576116,0.195
"98",3.1,"04","001",0.353413590508264,0.215
"99",6.6,"04","003",0.15553432776919,0.148
"100",7,"04","005",0.133173114557466,0.144
"101",6.7,"04","007",0.110152652427961,0.168
"102",6.7,"04","009",0.157442694800299,0.146
"103",7.1,"04","011",0.140487940214372,0.136
