v133_rawvalue,statecode,countycode,v133_numerator,v133_denominator
6.8,01,001,0.13020998,0.151
7.4,01,003,0.079367794,0.149
6.2,01,005,0.104331717,0.19
7.3,01,007,0.004458662,0.191
7.4,01,009,0.02512206,0.174
4.4,01,011,0.323391904,0.169
7,01,013,0.069182869,0.171
5.9,01,015,0.15398073,0.182
6.9,01,017,0.081029885,0.169
7,01,019,0.050086523,0.179
7.2,01,021,0.043695515,0.175
6.2,01,023,0.130442754,0.18
5.4,01,025,0.183503435,0.189
7.2,01,027,0.029746178,0.18
7.4,01,029,0.020248519,0.178
6.7,01,031,0.08991895,0.178
6.7,01,033,0.088293033,0.176
6.4,01,035,0.132889727,0.171
7.2,01,037,0.077172192,0.158
6.7,01,039,0.05480485,0.192
6.5,01,041,0.135061835,0.164
7.4,01,043,0.028437443,0.174
6.4,01,045,0.087955021,0.19
6.4,01,047,0.087671298,0.191
NA,01,049,NA,0.194
7.9,01,051,0.049842456,0.141
6.7,01,053,0.056765488,0.193
6.3,01,055,0.133979196,0.175
6.9,01,057,0.004299896,0.205
6.9,01,059,0.057351046,0.183
6.6,01,061,0.03863991,0.206
4.5,01,063,0.227564753,0.211
6.6,01,065,0.069764913,0.191
7,01,067,0.080481034,0.166
7.2,01,069,0.042421091,0.174
6.5,01,071,0.053704165,0.2
6.9,01,073,0.125866386,0.152
7.3,01,075,0.004162537,0.187
7.2,01,077,0.064706819,0.164
7,01,079,0.053540348,0.18
6.9,01,081,0.110690195,0.155
7.6,01,083,0.064263674,0.148
5.4,01,085,0.202040066,0.18
5.6,01,087,0.22099887,0.165
7.5,01,089,0.093429074,0.139
6.2,01,091,0.132472255,0.177
7,01,093,0.010310084,0.2
6.6,01,095,0.100314213,0.176
6.9,01,097,0.097158344,0.163
6.2,01,099,0.113296508,0.186
6.9,01,101,0.10744318,0.16
7,01,103,0.082711688,0.164
3.9,01,105,0.278470742,0.214
7.1,01,107,0.014966823,0.193
6.7,01,109,0.10493585,0.17
6.1,01,111,0.131833282,0.184
6.7,01,113,0.066652776,0.188
7.9,01,115,0.02373814,0.152
8.2,01,117,0.058197931,0.125
6.3,01,119,0.107446958,0.187
6.7,01,121,0.078416455,0.181
7.3,01,123,0.0326649,0.176
7.5,01,125,0.067321444,0.152
6.8,01,127,0.037186758,0.195
7.5,01,129,0.04481018,0.162
4.7,01,131,0.236829861,0.198
6.9,01,133,0.016945085,0.2
7.3,02,013,0.145903332,0.122
7.9,02,016,0.078084301,0.128
8.6,02,020,0.045700243,0.112
2.9,02,050,0.398526505,0.202
7.3,02,060,0.116793633,0.135
NA,02,063,NA,0.11
NA,02,066,NA,0.166
5.7,02,068,0.330914479,0.106
4.9,02,070,0.314664342,0.153
8.3,02,090,0.077312017,0.111
7.7,02,100,0.100852938,0.127
5,02,105,0.311301741,0.149
9,02,110,0.019616014,0.104
7.7,02,122,0.078682758,0.136
8.7,02,130,0.004009556,0.125
7.8,02,150,0.114800811,0.116
NA,02,158,NA,0.252
3.8,02,164,0.416042656,0.152
8,02,170,0.081874021,0.123
6.1,02,180,0.15195473,0.175
7.9,02,185,0.071061645,0.131
4.6,02,188,0.292195538,0.176
8.7,02,195,0.006674929,0.123
6.9,02,198,0.088410731,0.166
8.4,02,220,0.06247632,0.111
8.7,02,230,0.000599158,0.126
7.2,02,240,0.098880085,0.149
7.7,02,275,0.05033756,0.148
8.5,02,282,0.001119083,0.134
2.7,02,290,0.432785969,0.195
3.1,04,001,0.353413591,0.215
6.6,04,003,0.155534328,0.148
7,04,005,0.133173115,0.144
6.7,04,007,0.110152652,0.168
6.7,04,009,0.157442695,0.146
7.1,04,011,0.14048794,0.136
4.7,04,012,0.264865963,0.186
8.3,04,013,0.055091398,0.12
6,04,015,0.186976145,0.164
4.6,04,017,0.260016112,0.19
7.5,04,019,0.089287254,0.14
7.3,04,021,0.14213207,0.123
5.7,04,023,0.183241181,0.176
7.2,04,025,0.129797653,0.136
6.3,04,027,0.103040457,0.188
5.1,05,001,0.236586974,0.18
5.8,05,003,0.09444408,0.214
6.6,05,005,0.056192546,0.197
7.7,05,007,0.066890515,0.14
