statecode,countycode,state,county,fipscode,rawvalue,v141_rawvalue
00,000,US,United States,00000,62.50526785080783,62.50526785080783
01,000,AL,Alabama,01000,57.70867401191615,57.70867401191615
01,001,AL,Autauga County,01001,33.95931355910097,33.95931355910097
01,003,AL,Baldwin County,01003,42.652639752316816,42.652639752316816
01,005,AL,Barbour County,01005,22.729419623379965,22.729419623379965
01,007,AL,Bibb County,01007,40.00999903660365,40.00999903660365
01,009,AL,Blount County,01009,64.88565069653701,64.88565069653701
01,011,AL,Bullock County,01011,34.304478375232904,34.304478375232904
01,013,AL,Butler County,01013,27.610231572207855,27.610231572207855
01,015,AL,Calhoun County,01015,46.161317737187915,46.161317737187915
01,017,AL,Chambers County,01017,30.560945314749134,30.560945314749134
01,019,AL,Cherokee County,01019,40.16534651231769,40.16534651231769
01,021,AL,Chilton County,01021,42.699401924465406,42.699401924465406
01,023,AL,Choctaw County,01023,31.009319551707755,31.009319551707755
01,025,AL,Clarke County,01025,17.83000109057934,17.83000109057934
01,027,AL,Clay County,01027,28.244571571936433,28.244571571936433
01,029,AL,Cleburne County,01029,52.54140897135139,52.54140897135139
01,031,AL,Coffee County,01031,43.226764755909315,43.226764755909315
01,033,AL,Colbert County,01033,28.07531501918018,28.07531501918018
01,035,AL,Conecuh County,01035,15.552614013798271,15.552614013798271
01,037,AL,Coosa County,01037,55.524936732590454,55.524936732590454
01,039,AL,Covington County,01039,41.03403466409451,41.03403466409451
01,041,AL,Crenshaw County,01041,26.426967874688934,26.426967874688934
01,043,AL,Cullman County,01043,79.4178099153088,79.4178099153088
01,045,AL,Dale County,01045,31.214966786164066,31.214966786164066
01,047,AL,Dallas County,01047,49.681652169756454,49.681652169756454
01,049,AL,DeKalb County,01049,74.76689458215434,74.76689458215434
01,051,AL,Elmore County,01051,32.18576504406235,32.18576504406235
01,053,AL,Escambia County,01053,36.929026103004794,36.929026103004794
01,055,AL,Etowah County,01055,64.66534233614442,64.66534233614442
01,057,AL,Fayette County,01057,48.07037214512057,48.07037214512057
01,059,AL,Franklin County,01059,66.25135006885901,66.25135006885901
01,061,AL,Geneva County,01061,25.5564766674003,25.5564766674003
01,063,AL,Greene County,01063,27.068284206360094,27.068284206360094
01,065,AL,Hale County,01065,25.77563759320787,25.77563759320787
01,067,AL,Henry County,01067,35.35827947395971,35.35827947395971
01,069,AL,Houston County,01069,46.77490970370849,46.77490970370849
01,071,AL,Jackson County,01071,59.92759713941357,59.92759713941357
01,073,AL,Jefferson County,01073,63.434465948463306,63.434465948463306
01,075,AL,Lamar County,01075,20.52359304064936,20.52359304064936
01,077,AL,Lauderdale County,01077,48.722166031493266,48.722166031493266
01,079,AL,Lawrence County,01079,68.3163348925686,68.3163348925686
01,081,AL,Lee County,01081,33.69262960594239,33.69262960594239
01,083,AL,Limestone County,01083,38.311414957699554,38.311414957699554
01,085,AL,Lowndes County,01085,33.021397022742086,33.021397022742086
01,087,AL,Macon County,01087,54.3721749862338,54.3721749862338
01,089,AL,Madison County,01089,47.32339090971393,47.32339090971393
01,091,AL,Marengo County,01091,28.093280140818432,28.093280140818432
01,093,AL,Marion County,01093,49.716254383808746,49.716254383808746
