statecode,countycode,race,v147_rawvalue,v147_cilow,v147_cihigh
00,000,1,77.18740531329597,77.17531543058145,77.19949519601049
00,000,2,72.10274782462075,72.07231915466616,72.13317649457534
00,000,3,71.76325774642403,71.60919446511407,71.91732102773399
00,000,4,86.0471602263936,85.99215255533207,86.10216789745513
00,000,5,76.41791167567628,76.04678278892729,76.78904056242527
00,000,6,90.97726777470807,90.66300828834532,91.29152726107081
00,000,8,79.72974417006137,79.69918892416861,79.76029941595412
01,000,1,73.91521250015894,73.82022297989279,74.0102020204251
01,000,2,70.24440979346004,70.07696791502963,70.41185167189045
01,000,3,111.83849025770458,99.77714193270906,123.8998385827001
01,000,4,86.5590942601703,85.32371404200222,87.79447447833837
01,000,5,76.9810263095466,70.39748249702765,83.56457012206556
01,000,6,172.00457800111937,134.12214587313696,209.88701012910178
01,000,8,92.27537571456845,89.85397124618747,94.69678018294944
01,001,1,75.28587327080524,74.47041319962553,76.10133334198495
01,001,2,71.0858838455696,69.26978252005314,72.90198517108605
01,001,3,NA,NA,NA
01,001,4,NA,NA,NA
01,001,5,NA,NA,NA
01,001,6,NA,NA,NA
01,001,8,NA,NA,NA
01,003,1,76.7176178739816,76.31975233252851,77.11548341543468
01,003,2,70.72278195234674,69.38197409931209,72.06358980538138
01,003,3,NA,NA,NA
01,003,4,82.71416038638397,78.23136883470991,87.19695193805802
01,003,5,NA,NA,NA
01,003,6,NA,NA,NA
01,003,8,98.14108640382793,83.47806603227436,112.8041067753815
01,005,1,74.20027310825186,72.6322429522021,75.76830326430162
01,005,2,70.53353873904591,68.80874012919607,72.25833734889575
01,005,3,NA,NA,NA
01,005,4,NA,NA,NA
01,005,5,NA,NA,NA
01,005,6,NA,NA,NA
01,005,8,NA,NA,NA
01,007,1,72.79205448531313,71.51840860274662,74.06570036787964
01,007,2,72.01779750350256,69.36212499184967,74.67347001515546
01,007,3,NA,NA,NA
01,007,4,NA,NA,NA
01,007,5,NA,NA,NA
01,007,6,NA,NA,NA
01,007,8,NA,NA,NA
01,009,1,72.24341136735978,71.45196369486982,73.03485903984975
01,009,2,NA,NA,NA
01,009,3,NA,NA,NA
01,009,4,NA,NA,NA
01,009,5,NA,NA,NA
01,009,6,NA,NA,NA
01,009,8,97.77601337766457,79.66161030665172,115.89041644867741
01,011,1,77.31676189185416,73.37538117351907,81.25814261018924
01,011,2,67.94667110082925,65.4678845513801,70.4254576502784
01,011,3,NA,NA,NA
01,011,4,NA,NA,NA
01,011,5,NA,NA,NA
01,011,6,NA,NA,NA
01,011,8,NA,NA,NA
01,013,1,73.1705482767536,71.35215541663769,74.98894113686953
01,013,2,69.17139676166153,67.05474954687595,71.2880439764471
01,013,3,NA,NA,NA
01,013,4,NA,NA,NA
01,013,5,NA,NA,NA
01,013,6,NA,NA,NA
01,013,8,NA,NA,NA
01,015,1,70.38622150136757,69.7843824280103,70.98806057472484
01,015,2,70.3963666765704,69.21344937007628,71.57928398306451
01,015,3,NA,NA,NA
01,015,4,NA,NA,NA
01,015,5,NA,NA,NA
01,015,6,NA,NA,NA
01,015,8,92.69847405213775,76.68720717316023,108.70974093111528
01,017,1,72.21328896180393,70.9099592533133,73.51661867029455
01,017,2,70.69390003642457,69.22958962283018,72.15821045001896
01,017,3,NA,NA,NA
01,017,4,NA,NA,NA
01,017,5,NA,NA,NA
01,017,6,NA,NA,NA
01,017,8,NA,NA,NA
01,019,1,71.89863814028092,70.76959232798305,73.0276839525788
01,019,2,NA,NA,NA
01,019,3,NA,NA,NA
01,019,4,NA,NA,NA
01,019,5,NA,NA,NA
01,019,6,NA,NA,NA
01,019,8,NA,NA,NA
01,021,1,72.36611061979947,71.49128407533938,73.24093716425956
01,021,2,70.39636331203627,67.92268933596239,72.87003728811015
01,021,3,NA,NA,NA
01,021,4,NA,NA,NA
01,021,5,NA,NA,NA
01,021,6,NA,NA,NA
01,021,8,92.54317313509328,70.89240399725537,114.1939422729312
01,023,1,74.66733868092432,72.2901841497052,77.04449321214344
01,023,2,70.36971207360737,67.60209918795971,73.13732495925504
01,023,3,NA,NA,NA
01,023,4,NA,NA,NA
01,023,5,NA,NA,NA
01,023,6,NA,NA,NA
01,023,8,NA,NA,NA
01,025,1,72.11374914217461,70.3292907271616,73.89820755718762
01,025,2,66.91938268803776,65.08734461026778,68.75142076580774
01,025,3,NA,NA,NA
01,025,4,NA,NA,NA
01,025,5,NA,NA,NA
01,025,6,NA,NA,NA
01,025,8,NA,NA,NA
01,027,1,71.77237701652707,70.11408239527603,73.43067163777812
01,027,2,70.86670189996542,67.042413404953,74.69099039497785
01,027,3,NA,NA,NA
01,027,4,NA,NA,NA
01,027,5,NA,NA,NA
01,027,6,NA,NA,NA
01,027,8,NA,NA,NA
01,029,1,71.90474312124755,70.45211405035086,73.35737219214424
01,029,2,NA,NA,NA
01,029,3,NA,NA,NA
01,029,4,NA,NA,NA
01,029,5,NA,NA,NA
01,029,6,NA,NA,NA
01,029,8,NA,NA,NA
01,031,1,74.72078073021262,73.90475019768289,75.53681126274236
01,031,2,69.13863777380179,67.09070797333644,71.18656757426714
01,031,3,NA,NA,NA
01,031,4,NA,NA,NA
01,031,5,NA,NA,NA
01,031,6,NA,NA,NA
01,031,8,84.40109856348478,76.00203302169844,92.80016410527112
01,033,1,73.60062120498765,72.77078851615805,74.43045389381724
01,033,2,68.67787827535977,66.57063698432363,70.78511956639592
01,033,3,NA,NA,NA
01,033,4,NA,NA,NA
01,033,5,NA,NA,NA
01,033,6,NA,NA,NA
01,033,8,NA,NA,NA
01,035,1,69.41509729591081,66.33225165427667,72.49794293754495
01,035,2,67.00177299611063,64.2248402109545,69.77870578126677
01,035,3,NA,NA,NA
01,035,4,NA,NA,NA
01,035,5,NA,NA,NA
01,035,6,NA,NA,NA
01,035,8,NA,NA,NA
01,037,1,73.0972788480053,70.74276137219248,75.45179632381813
01,037,2,68.81818424091217,64.42463801385131,73.21173046797304
01,037,3,NA,NA,NA
01,037,4,NA,NA,NA
01,037,5,NA,NA,NA
01,037,6,NA,NA,NA
01,037,8,NA,NA,NA
01,039,1,71.09644062363215,70.10087858555102,72.09200266171328
01,039,2,64.7654187875671,62.096347260415484,67.43449031471872
01,039,3,NA,NA,NA
01,039,4,NA,NA,NA
01,039,5,NA,NA,NA
01,039,6,NA,NA,NA
01,039,8,NA,NA,NA
01,041,1,70.92726255820689,69.28504904470121,72.56947607171257
01,041,2,67.68860570015048,64.49900026466565,70.8782111356353
01,041,3,NA,NA,NA
01,041,4,NA,NA,NA
01,041,5,NA,NA,NA
01,041,6,NA,NA,NA
01,041,8,NA,NA,NA
01,043,1,72.51095244218791,71.91955207171655,73.10235281265928
01,043,2,NA,NA,NA
01,043,3,NA,NA,NA
01,043,4,NA,NA,NA
01,043,5,NA,NA,NA
01,043,6,NA,NA,NA
01,043,8,NA,NA,NA
01,045,1,72.69842060545189,71.75220145959265,73.64463975131112
01,045,2,70.28651047479545,68.61233435428555,71.96068659530535
01,045,3,NA,NA,NA
01,045,4,NA,NA,NA
01,045,5,NA,NA,NA
01,045,6,NA,NA,NA
01,045,8,88.13566922815767,77.11593812090096,99.15540033541437
01,047,1,71.73247518090557,69.9225076702053,73.54244269160583
01,047,2,66.06151684467036,64.8024064912271,67.32062719811363
01,047,3,NA,NA,NA
01,047,4,NA,NA,NA
01,047,5,NA,NA,NA
01,047,6,NA,NA,NA
01,047,8,NA,NA,NA
01,049,1,71.4420783512801,70.73870900265737,72.14544769990283
01,049,2,NA,NA,NA
01,049,3,NA,NA,NA
01,049,4,NA,NA,NA
01,049,5,NA,NA,NA
01,049,6,NA,NA,NA
01,049,8,80.88110054050132,74.8856485453407,86.87655253566194
01,051,1,74.98349126368215,74.33924267527871,75.6277398520856
01,051,2,71.65815278483177,70.21554855942483,73.10075701023871
01,051,3,NA,NA,NA
01,051,4,NA,NA,NA
01,051,5,NA,NA,NA
01,051,6,NA,NA,NA
01,051,8,101.94180185621136,67.7282888937237,136.15531481869903
01,053,1,70.227276182462,69.02510406997247,71.42944829495154
01,053,2,69.0577238185373,67.42286312164032,70.69258451543428
01,053,3,NA,NA,NA
01,053,4,NA,NA,NA
01,053,5,NA,NA,NA
01,053,6,NA,NA,NA
01,053,8,NA,NA,NA
01,055,1,70.4356632371465,69.82939107563222,71.04193539866078
01,055,2,66.9231896345698,65.43893692162374,68.40744234751585
01,055,3,NA,NA,NA
01,055,4,NA,NA,NA
01,055,5,NA,NA,NA
01,055,6,106.2545827199866,59.65929758403265,152.84986785594054
01,055,8,82.9565437280353,76.68416648452475,89.22892097154585
01,057,1,70.54311306576064,68.98602510302275,72.10020102849852
01,057,2,68.79557290085934,63.84994586143956,73.74119994027913
01,057,3,NA,NA,NA
01,057,4,NA,NA,NA
