statecode,countycode,v149_numerator,v149_denominator,v149_rawvalue,v149_cilow,v149_cihigh,relative_standard_error,v149_sourceflag,v149_flag_CT
00,000,1187439,17415920,0.06818123877463837,0.0674671473065775,0.06889533024269924,0.005343587007387044,,
01,000,20759,274159,0.0757188346908181,0.07006140614814323,0.08137626323349297,0.0381205435319227,,
01,001,,,,,,0.3632335833274211,,
01,003,917,11385,0.08054457619675011,0.04284136183344607,0.11824779056005415,0.23882841982853165,,
01,005,,,,,,0.6208043448244628,,
01,007,,,,,,0.5056413322447344,,
01,009,168,3064,0.05483028720626632,0.02044755934162336,0.08921301507090929,0.3199364619086068,,
01,011,,,,,,0.6523488928767723,,
01,013,,,,,,0.4769193478196613,,
01,015,542,7396,0.07328285559762034,0.03461694635499479,0.11194876484024588,0.2691967248648792,,
01,017,,,,,,0.5404617415692566,,
01,019,,,,,,0.526707389353976,,
01,021,332,1869,0.1776350989834136,0.06286606342471682,0.29240413454211034,0.32963997949840834,,
01,023,,,,,,0.8876953298724093,,
01,025,,,,,,0.3522667308040515,,
01,027,,,,,,0.749415304262427,,
01,029,,,,,,2.33361429446454,,
01,031,,,,,,0.36990733272769183,,
01,033,,,,,,0.46342329391063775,,
01,035,,,,,,0.49646689793391385,,
01,037,,,,,,1.7612353640175515,,
01,039,,,,,,0.3842623068255323,,
01,041,135,679,0.19882179675994108,0.0721714673671994,0.32547212615268273,0.32500216801841125,,
01,043,488,4398,0.11095952705775353,0.061955728922732954,0.1599633251927741,0.22532484129079594,,
01,045,230,2272,0.10123239436619719,0.05942420007381598,0.14304058865857838,0.21071033148245366,,
01,047,348,1944,0.17901234567901234,0.092215004962344,0.2658096863956807,0.24738158332336863,,
01,049,425,3733,0.11384945084382535,0.06016782995290332,0.16753107173474738,0.2405684163094981,,
01,051,564,4248,0.1327683615819209,0.07794434560005568,0.1875923775637861,0.2106784808682185,,
01,053,605,2135,0.28337236533957844,0.11077475141711893,0.45596997926203797,0.3107572151496467,,
01,055,282,4645,0.06071044133476857,0.029466404367846897,0.09195447830169025,0.2625715583140671,,
01,057,,,,,,0.46619659155072274,,
01,059,,,,,,0.6338720360679584,,
01,061,125,1103,0.11332728921124206,0.036211869105923764,0.19044270931656038,0.3471767688823105,,
01,063,,,,,,2.2408819506408544,,
01,065,,,,,,0.44888912551312643,,
01,067,,,,,,0.6973496028383726,,
01,069,360,5012,0.07182761372705507,0.05264417030763231,0.09101105714647782,0.13626334809828067,,
01,071,200,2382,0.08396305625524769,0.04100329977355154,0.12692281273694384,0.2610462753556128,,
01,073,2779,35814,0.07759535377226782,0.061721716879700135,0.09346899066483552,0.10437215553796683,,
01,075,,,,,,0.6416105807667777,,
01,077,,,,,,0.40508500865136704,,
01,079,,,,,,0.38054293443959997,,
01,081,,,,,,0.37172114512994076,,
01,083,479,5274,0.09082290481607888,0.03629181859949395,0.1453539910326638,0.30633222775581453,,
01,085,,,,,,2.4056210568005363,,
01,087,,,,,,0.4337902896387315,,
01,089,777,20837,0.037289437059077606,0.024009367909424525,0.050569506208730686,0.181701468804219,,
01,091,,,,,,0.4735771608856802,,
01,093,192,1455,0.13195876288659794,0.04484269571870232,0.21907483005449357,0.3368247176054638,,
01,095,383,5269,0.07268931486050484,0.04671388378319653,0.09866474593781314,0.18232075764152164,,
01,097,1903,20720,0.09184362934362934,0.06781626118079107,0.11587099750646762,0.13347535800991156,,
01,099,,,,,,0.45750552047023296,,
01,101,887,12392,0.07157843770174306,0.0445561871533205,0.09860068825016563,0.19261195085247934,,
01,103,527,5914,0.08911058505241799,0.05335454352789259,0.12486662657694339,0.20472178830504126,,
01,105,,,,,,0.45364052021285217,,
01,107,,,,,,0.420875073139883,,
01,109,209,3123,0.06692283061159142,0.025004270005400238,0.10884139121778261,0.31957734784966085,,
01,111,,,,,,0.4801892410956322,,
01,113,253,2565,0.098635477582846,0.03326150343279048,0.16400945173290155,0.33815488363090346,,
01,115,522,4621,0.11296256221597056,0.06179800369845864,0.16412712073348248,0.23108865520117153,,
01,117,407,12230,0.033278822567457074,0.019260525429133618,0.04729711970578053,0.21491723161221463,,
01,119,,,,,,1.9707822393005847,,
01,121,271,3549,0.07635953789799943,0.031385571214636775,0.12133350458136208,0.30049816958967934,,
01,123,,,,,,0.41843316457923824,,
01,125,853,20454,0.04170333431113719,0.02568463305258439,0.05772203556968998,0.19597489983876767,,
01,127,290,3112,0.09318766066838047,0.04772098090459438,0.13865434043216657,0.2489308716131286,,
01,129,,,,,,1.879008997328694,,
01,131,,,,,,0.69300176781067,,
01,133,,,,,,0.4911486874636344,,
02,000,4087,36022,0.1134584420631836,0.09555933210996426,0.13135755201640295,0.08048937381529134,,
02,013,,,,,,1.0613162919626722,,
02,016,,,,,,3.2448409672738645,,
