statecode,countycode,v155_race_AIAN,v155_race_asian,v155_race_black,v155_race_hispanic,v155_race_white,v155_race_flag_CT
00,000,0.37,0.49,0.36,0.33,0.5,
01,000,0.38,0.41,0.32,0.28,0.43,
01,001,,0.37,0.3,0.13,0.36,
01,003,0.51,0.45,0.31,0.28,0.44,
01,005,,,0.31,,0.41,
01,007,,,0.16,,0.32,
01,009,,,0.22,0.25,0.37,
01,011,,,0.31,,0.36,
01,013,,,0.3,,0.37,
01,015,,0.39,0.29,0.31,0.38,
01,017,,,0.33,,0.43,
01,019,,,0.31,,0.45,
01,021,,,0.32,0.31,0.41,
01,023,,,0.27,,0.37,
01,025,,,0.23,,0.29,
01,027,,,0.4,,0.41,
01,029,,,0.43,,0.36,
01,031,,0.41,0.31,0.2,0.36,
01,033,,0.54,0.39,,0.44,
01,035,,,0.37,,0.44,
01,037,,,0.41,,0.4,
01,039,,,0.31,,0.37,
01,041,,,0.28,,0.37,
01,043,,0.54,0.31,0.27,0.48,
01,045,,0.39,0.37,0.35,0.4,
01,047,,,0.32,,0.44,
01,049,,,0.47,0.21,0.41,
01,051,,0.19,0.28,0.31,0.35,
01,053,0.21,,0.17,,0.31,
01,055,,0.27,0.29,0.31,0.4,
01,057,,,0.45,,0.41,
01,059,,,0.32,0.27,0.38,
01,061,,,0.36,,0.42,
01,063,,,0.26,,0.37,
01,065,,,0.26,,0.41,
01,067,,,0.28,,0.4,
01,069,,0.45,0.34,0.27,0.45,
01,071,,,0.33,,0.4,
01,073,,0.49,0.35,0.31,0.5,
01,075,,,0.25,,0.42,
01,077,,0.64,0.38,0.29,0.49,
01,079,,,0.32,,0.39,
01,081,,0.36,0.31,0.24,0.45,
01,083,,0.59,0.39,0.4,0.47,
01,085,,,0.27,,0.4,
01,087,,,0.26,,0.35,
01,089,,0.43,0.33,0.35,0.45,
01,091,,,0.28,,0.43,
01,093,,,0.27,,0.38,
01,095,,0.62,0.36,0.18,0.46,
01,097,0.71,0.37,0.33,0.31,0.44,
01,099,,,0.29,,0.38,
01,101,,0.35,0.29,0.29,0.4,
01,103,,0.37,0.33,0.2,0.45,
01,105,,,0.21,,0.28,
01,107,,,0.35,,0.48,
01,109,,,0.25,,0.36,
01,111,,,0.23,,0.34,
01,113,,0.34,0.34,0.24,0.4,
01,115,,0.44,0.33,,0.41,
01,117,,0.48,0.34,0.24,0.44,
01,119,,,0.26,,0.35,
01,121,,,0.26,,0.39,
01,123,,,0.38,,0.44,
01,125,,0.49,0.32,0.12,0.46,
01,127,,,0.37,,0.38,
01,129,,,0.22,,0.29,
01,131,,,0.22,,0.32,
01,133,,,,,0.37,
02,000,0.25,0.35,0.22,0.25,0.33,
02,013,,,,,,
02,016,,,,,,
02,020,0.35,0.36,0.22,0.24,0.36,
02,050,0.02,0.13,,,0.13,
02,060,0.12,,,,0.31,
02,063,,,,,,
02,066,,,,,,
02,068,,,,,,
02,070,0.15,,,,0.34,
02,090,0.34,0.32,0.24,0.2,0.32,
02,100,0.49,,,,0.45,
02,105,,,,,,
02,110,0.45,0.38,0.24,0.34,0.45,
02,122,,,,,0.25,
02,130,0.29,0.41,,0.34,0.4,
02,150,0.45,0.26,,0.14,0.43,
02,158,0.03,,,,,
02,164,,,,,,
02,170,0.34,0.3,0.17,0.16,0.25,
02,180,0.02,,,,0.04,
02,185,,,,,,
02,188,,,,,,
02,195,,,,,,
02,198,,,,,,
02,220,0.53,0.38,,,0.39,
02,230,0.42,,,,0.4,
02,240,0.37,,,,0.16,
02,275,,,,,,
02,282,,,,,,
02,290,0.25,,,,0.27,
04,000,0.38,0.47,0.32,0.32,0.45,
04,001,0.41,0.42,0.29,0.27,0.25,
04,003,0.15,0.39,0.29,0.21,0.31,
04,005,0.43,0.39,0.29,0.39,0.44,
04,007,0.16,0.21,,0.37,0.37,
04,009,0.12,,,0.22,0.18,
04,011,,,,0.25,0.21,
04,012,0.26,,,0.22,0.24,
04,013,0.38,0.49,0.33,0.34,0.49,
04,015,0.33,0.36,0.28,0.27,0.34,
04,017,0.43,0.37,0.31,0.35,0.34,
04,019,0.2,0.47,0.3,0.36,0.51,
04,021,0.39,0.38,0.32,0.32,0.43,
04,023,,0.55,,0.26,0.39,
04,025,0.4,0.42,0.26,0.3,0.4,
04,027,0.37,0.41,0.27,0.29,0.41,
05,000,0.49,0.45,0.35,0.28,0.47,
05,001,,,0.32,,0.48,
05,003,,,0.41,0.42,0.45,
05,005,,0.27,,0.29,0.46,
05,007,0.56,0.43,0.41,0.29,0.53,
05,009,,0.46,,,0.45,
05,011,,,0.23,,0.35,
05,013,,,0.21,,0.32,
05,015,,0.23,,0.18,0.44,
05,017,,,0.31,,0.43,
05,019,,,0.27,,0.39,
05,021,,,,,0.36,
05,023,,,,,0.39,
05,025,,,0.31,,0.42,
05,027,,,0.39,,0.46,
05,029,,,0.36,,0.36,
05,031,,0.43,0.34,0.26,0.52,
05,033,0.55,0.34,0.24,0.34,0.46,
05,035,,0.49,0.23,,0.5,
05,037,,,0.29,,0.45,
05,039,,,0.33,,0.38,
05,041,,,0.34,0.36,0.51,
05,043,,,0.32,,0.45,
05,045,,0.62,0.4,0.33,0.5,
05,047,,,,,0.46,
05,049,,,,,0.38,
05,051,,0.55,0.42,0.32,0.54,
05,053,,,0.4,,0.44,
05,055,,,,0.31,0.48,
05,057,,,0.31,0.28,0.4,
05,059,,,0.37,,0.45,
05,061,,,0.29,0.22,0.45,
05,063,,0.36,0.51,0.22,0.5,
05,065,,,,,0.41,
05,067,,,0.49,,0.51,
05,069,,0.49,0.36,0.25,0.48,
05,071,,,,0.23,0.49,
05,073,,,0.25,,0.35,
05,075,,,,,0.26,
05,077,,,0.33,,0.4,
05,079,,,0.25,,0.39,
05,081,,,0.31,0.33,0.42,
05,083,,,,,0.38,
05,085,,0.37,0.35,0.15,0.47,
05,087,,,,0.29,0.39,
05,089,,,,,0.34,
05,091,,,0.38,0.32,0.42,
05,093,,0.49,0.34,0.23,0.45,
05,095,,,0.15,,0.3,
05,097,,,,,0.32,
05,099,,,0.3,,0.35,
05,101,,,,,0.33,
05,103,,,0.46,,0.5,
05,105,,,0.55,,0.46,
05,107,,,0.29,,0.37,
05,109,,,,,0.41,
05,111,,,0.33,,0.48,
05,113,,,,0.14,0.27,
05,115,,0.68,0.28,0.31,0.47,
05,117,,,0.13,,0.32,
05,119,0.35,0.52,0.38,0.33,0.55,
05,121,,,,,0.42,
05,123,,,0.33,,0.46,
05,125,,0.67,0.41,0.26,0.52,
05,127,,0.19,,,0.36,
05,129,,,,,0.2,
05,131,0.6,0.45,0.33,0.23,0.52,
05,133,,,0.36,0.2,0.45,
05,135,,,,,0.36,
05,137,,,,,0.48,
05,139,,0.5,0.38,0.32,0.48,
05,141,,,,,0.36,
05,143,0.55,0.45,0.35,0.27,0.52,
05,145,,0.37,0.36,0.22,0.48,
05,147,,,0.28,,0.29,
05,149,,,0.38,0.14,0.41,
06,000,0.3,0.49,0.28,0.33,0.46,
06,001,0.37,0.51,0.29,0.33,0.54,
06,003,0.33,,,,0.17,
06,005,0.38,0.34,,0.39,0.45,
06,007,0.35,0.38,0.27,0.36,0.41,
06,009,0.26,0.44,0.3,0.3,0.41,
06,011,0.22,0.45,0.26,0.4,0.42,
06,013,0.43,0.51,0.32,0.38,0.56,
06,015,0.29,0.29,,0.31,0.35,
06,017,0.46,0.49,0.44,0.36,0.46,
06,019,0.39,0.45,0.31,0.36,0.45,
06,021,0.34,0.32,0.42,0.36,0.34,
06,023,0.3,0.41,0.36,0.33,0.41,
06,025,0.33,0.43,0.25,0.34,0.36,
06,027,0.26,0.27,,0.32,0.41,
06,029,0.29,0.4,0.25,0.34,0.37,
06,031,0.4,0.31,0.28,0.31,0.36,
