statecode,countycode,v155_rawvalue,v155_numerator,v155_denominator,v155_cilow,v155_cihigh,v155_sourceflag,v155_flag_CT
00,000,0.48,,,,,,
01,000,0.41,,,,,,
01,001,0.36,,,,,,
01,003,0.44,,,,,,
01,005,0.39,,,,,,
01,007,0.31,,,,,,
01,009,0.37,,,,,,
01,011,0.33,,,,,,
01,013,0.35,,,,,,
01,015,0.37,,,,,,
01,017,0.41,,,,,,
01,019,0.45,,,,,,
01,021,0.4,,,,,,
01,023,0.34,,,,,,
01,025,0.28,,,,,,
01,027,0.4,,,,,,
01,029,0.36,,,,,,
01,031,0.36,,,,,,
01,033,0.44,,,,,,
01,035,0.42,,,,,,
01,037,0.4,,,,,,
01,039,0.37,,,,,,
01,041,0.36,,,,,,
01,043,0.48,,,,,,
01,045,0.4,,,,,,
01,047,0.39,,,,,,
01,049,0.4,,,,,,
01,051,0.34,,,,,,
01,053,0.29,,,,,,
01,055,0.39,,,,,,
01,057,0.41,,,,,,
01,059,0.37,,,,,,
01,061,0.42,,,,,,
01,063,0.3,,,,,,
01,065,0.35,,,,,,
01,067,0.39,,,,,,
01,069,0.44,,,,,,
01,071,0.4,,,,,,
01,073,0.47,,,,,,
01,075,0.41,,,,,,
01,077,0.48,,,,,,
01,079,0.38,,,,,,
01,081,0.42,,,,,,
01,083,0.47,,,,,,
01,085,0.35,,,,,,
01,087,0.28,,,,,,
01,089,0.43,,,,,,
01,091,0.38,,,,,,
01,093,0.38,,,,,,
01,095,0.45,,,,,,
01,097,0.42,,,,,,
01,099,0.35,,,,,,
01,101,0.36,,,,,,
01,103,0.44,,,,,,
01,105,0.25,,,,,,
01,107,0.45,,,,,,
01,109,0.34,,,,,,
01,111,0.33,,,,,,
01,113,0.38,,,,,,
01,115,0.4,,,,,,
01,117,0.43,,,,,,
01,119,0.3,,,,,,
01,121,0.37,,,,,,
01,123,0.43,,,,,,
01,125,0.43,,,,,,
01,127,0.38,,,,,,
01,129,0.28,,,,,,
01,131,0.27,,,,,,
01,133,0.37,,,,,,
02,000,0.32,,,,,,
02,013,,,,,,,
02,016,,,,,,,
02,020,0.35,,,,,,
02,050,0.03,,,,,,
02,060,0.29,,,,,,
02,063,,,,,,,
02,066,,,,,,,
02,068,,,,,,,
02,070,0.21,,,,,,
02,090,0.32,,,,,,
02,100,0.47,,,,,,
02,105,,,,,,,
02,110,0.44,,,,,,
02,122,0.25,,,,,,
02,130,0.39,,,,,,
02,150,0.41,,,,,,
02,158,0.03,,,,,,
02,164,,,,,,,
02,170,0.26,,,,,,
02,180,0.03,,,,,,
02,185,,,,,,,
02,188,,,,,,,
02,195,,,,,,,
02,198,,,,,,,
02,220,0.41,,,,,,
02,230,0.4,,,,,,
02,240,0.2,,,,,,
02,275,,,,,,,
02,282,,,,,,,
02,290,0.25,,,,,,
04,000,0.44,,,,,,
04,001,0.35,,,,,,
04,003,0.3,,,,,,
04,005,0.44,,,,,,
04,007,0.36,,,,,,
04,009,0.19,,,,,,
04,011,0.23,,,,,,
04,012,0.25,,,,,,
04,013,0.47,,,,,,
04,015,0.34,,,,,,
04,017,0.38,,,,,,
04,019,0.49,,,,,,
04,021,0.42,,,,,,
04,023,0.34,,,,,,
04,025,0.4,,,,,,
04,027,0.37,,,,,,
05,000,0.46,,,,,,
05,001,0.46,,,,,,
05,003,0.44,,,,,,
05,005,0.45,,,,,,
05,007,0.52,,,,,,
05,009,0.45,,,,,,
05,011,0.33,,,,,,
05,013,0.31,,,,,,
05,015,0.43,,,,,,
05,017,0.39,,,,,,
05,019,0.38,,,,,,
05,021,0.36,,,,,,
05,023,0.39,,,,,,
05,025,0.41,,,,,,
05,027,0.45,,,,,,
05,029,0.36,,,,,,
