statecode,countycode,v159_rawvalue,v159_flag_CT
01,000,2.8288656915531325,NA
01,001,3.1460953361403554,NA
01,003,3.095679933,NA
01,005,2.203485444,NA
01,007,2.70703236,NA
01,009,2.821849918,NA
01,011,2.041440351,NA
01,013,2.45920382,NA
01,015,2.975729663,NA
01,017,2.588949827,NA
01,019,2.710662536,NA
01,021,2.803740332,NA
01,023,2.455361843,NA
01,025,2.687366597,NA
01,027,2.567167296,NA
01,029,2.964920804,NA
01,031,3.009222404,NA
01,033,2.815832276,NA
01,035,2.374936602,NA
01,037,2.561850763,NA
01,039,2.924567033,NA
01,041,2.812624211,NA
01,043,3.027279641,NA
01,045,2.78198525,NA
01,047,2.493597957,NA
01,049,2.583044462,NA
01,051,2.912515796,NA
01,053,2.842546297,NA
01,055,2.921564609,NA
01,057,2.934374259,NA
01,059,2.56671182,NA
01,061,3.053200965,NA
01,063,2.630965899,NA
01,065,2.660987812,NA
01,067,2.604731354,NA
01,069,2.875114855,NA
01,071,3.019596149,NA
01,073,2.705449672,NA
01,075,2.906273181,NA
01,077,3.009599175,NA
01,079,2.805919301,NA
01,081,3.1296411950699228,NA
01,083,2.896758081,NA
01,085,2.177279261,NA
01,087,2.378092605,NA
01,089,3.1271349320874524,NA
01,091,2.765427689,NA
01,093,3.059418535,NA
01,095,2.763818264,NA
01,097,2.700035517,NA
01,099,2.588470169,NA
01,101,2.504156872,NA
01,103,2.825905916,NA
01,105,2.468251971,NA
01,107,2.7630880859999998,NA
01,109,2.60044033,NA
01,111,2.707515683,NA
01,113,2.675696301,NA
01,115,3.016583323,NA
01,117,3.1071563766874464,NA
01,119,2.399550999,NA
01,121,2.679936134,NA
01,123,2.631103183,NA
01,125,2.757572904,NA
01,127,2.885675209,NA
01,129,2.858884299,NA
01,131,2.18875509,NA
01,133,2.783936168,NA
02,000,NA,NA
02,013,NA,NA
02,016,NA,NA
02,020,NA,NA
02,050,NA,NA
02,060,NA,NA
02,063,NA,NA
02,066,NA,NA
02,068,NA,NA
02,070,NA,NA
02,090,NA,NA
02,100,NA,NA
02,105,NA,NA
02,110,NA,NA
02,122,NA,NA
02,130,NA,NA
02,150,NA,NA
02,158,NA,NA
02,164,NA,NA
02,170,NA,NA
02,180,NA,NA
02,185,NA,NA
02,188,NA,NA
02,195,NA,NA
02,198,NA,NA
02,220,NA,NA
02,230,NA,NA
02,240,NA,NA
02,275,NA,NA
02,282,NA,NA
02,290,NA,NA
04,000,2.918079070067213,NA
04,001,2.3357150730000003,NA
04,003,2.89569102,NA
04,005,2.664206214,NA
04,007,2.284693679,NA
04,009,2.920221168,NA
04,011,3.122314086769473,NA
04,012,2.5480775270000002,NA
04,013,2.984610789,NA
04,015,2.846279941,NA
04,017,2.477249099,NA
04,019,2.933809167,NA
04,021,2.720175646,NA
04,023,2.80231726,NA
04,025,2.94781511,NA
04,027,2.741420871,NA
05,000,2.8941681076007266,NA
05,001,2.523606905,NA
05,003,2.643582718,NA
05,005,3.018972829,NA
05,007,3.2544125378763145,NA
05,009,3.2496578136830223,NA
05,011,2.567809647,NA
05,013,2.659046617,NA
05,015,2.98209246,NA
05,017,2.533674017,NA
05,019,2.819780212,NA
05,021,2.721828979,NA
05,023,3.034945639,NA
05,025,2.85016055,NA
05,027,2.865277512,NA
05,029,3.001031556,NA
05,031,2.86957068,NA
05,033,2.828366554,NA
05,035,2.397304417,NA
05,037,2.860735508,NA
05,039,2.762221392,NA
05,041,2.622896831,NA
05,043,2.548685696,NA
05,045,3.2348307849999998,NA
05,047,3.1967751123090684,NA
05,049,3.3736154807959755,NA
05,051,3.025944274,NA
05,053,3.038879454,NA
05,055,2.833917284,NA
05,057,2.588894325,NA
05,059,2.830059018,NA
05,061,2.909757602,NA
05,063,2.857818869,NA
05,065,3.1713956808044306,NA
05,067,3.038681626,NA
05,069,2.383066854,NA
05,071,2.779004485,NA
05,073,2.083747576,NA
05,075,2.760680464,NA
05,077,2.0819673610000002,NA
05,079,2.476088866,NA
05,081,2.984802758,NA
05,083,2.81106246,NA
05,085,2.985506818,NA
05,087,2.561974898,NA
05,089,2.567723902,NA
05,091,2.815261607,NA
05,093,2.647926674,NA
05,095,2.22580074,NA
05,097,3.1923147197301835,NA
05,099,2.467099204,NA
05,101,3.025156385,NA
05,103,2.627933415,NA
05,105,2.80199502,NA
05,107,2.531038789,NA
05,109,3.057850505,NA
05,111,2.654376184,NA
05,113,2.887037267,NA
05,115,3.241432373,NA
05,117,3.1131420967678367,NA
05,119,2.690036006,NA
05,121,2.457106733,NA
05,123,2.511121498,NA
05,125,3.1072191438589134,NA
05,127,2.776919101,NA
05,129,3.347841531,NA
05,131,2.838436264,NA
05,133,3.2953332738464973,NA
05,135,3.044617148,NA
05,137,3.238638433666969,NA
05,139,2.82680523,NA
05,141,3.2566177847305373,NA
05,143,3.002764645,NA
05,145,2.829927011,NA
05,147,2.997593673,NA
05,149,2.936089185,NA
06,000,2.9131374648683477,NA
06,001,3.112536488,NA
06,003,NA,NA
06,005,2.82246399,NA
06,007,2.767125586,NA
06,009,2.649232412,NA
06,011,2.821642208,NA
06,013,2.989775885,NA
06,015,2.412507825,NA
06,017,3.172208101278415,NA
06,019,2.837753251,NA
06,021,2.485299011,NA
06,023,2.75043803,NA
06,025,2.700929799,NA
06,027,2.806007818,NA
06,029,2.737941666,NA
06,031,2.754775522,NA
06,033,2.4359577850000003,NA
06,035,2.477130218,NA
06,037,2.925836821,NA
06,039,2.574367427,NA
06,041,3.3183853659229046,NA
06,043,2.822763521,NA
06,045,2.550648199,NA
06,047,2.70278006,NA
06,049,2.695885701,NA
06,051,3.021036239,NA
06,053,2.583580122,NA
06,055,2.85817196,NA
06,057,3.070723478,NA
06,059,3.121009402574169,NA
