statecode,countycode,v159_race_white,v159_race_black,v159_race_asian,v159_race_aian,v159_race_hispanic,v159_flag_CT
00,000,3.256184423900223,2.546147353319988,3.4039408521403005,2.811393805279425,2.6965379891982284,NA
01,000,3.155978934990708,2.416697033630288,3.2952685548426417,2.893331432144328,2.3529634687243717,NA
01,001,3.3918224082104382,2.6177910007426965,NA,NA,NA,NA
01,003,3.2856876370059234,2.4341216910124572,3.2444228669852553,NA,NA,NA
01,005,2.9163602086758553,1.924123237437428,NA,NA,NA,NA
01,007,2.8835878415628438,2.4041630007106347,NA,NA,NA,NA
01,009,2.9298031886685005,NA,NA,NA,2.5131386999059324,NA
01,011,NA,2.1118668997365457,NA,NA,2.088791095019579,NA
01,013,2.8520004411467466,2.2704288066867324,NA,NA,NA,NA
01,015,3.17640723493487,2.660690880015149,NA,NA,2.493106523204644,NA
01,017,3.0518134260541725,2.3979322745306506,NA,NA,1.929471146992256,NA
01,019,2.6936592814765916,NA,NA,NA,NA,NA
01,021,2.981748569143401,2.4194163827205992,NA,NA,2.546482615261879,NA
01,023,2.6154775457440005,2.3923612813052335,NA,NA,NA,NA
01,025,3.012693755320393,2.48877787386881,NA,NA,NA,NA
01,027,2.750928271342948,2.2399464363104644,NA,NA,NA,NA
01,029,3.062928717061485,NA,NA,NA,NA,NA
01,031,3.253118838330941,2.6761996196516367,NA,NA,NA,NA
01,033,3.013622114317702,2.38113887172732,NA,NA,2.3307789222070503,NA
01,035,NA,2.3573814287402155,NA,NA,NA,NA
01,037,2.6200037989231393,2.5784878075126865,NA,NA,NA,NA
01,039,3.0147390080297587,2.311478849047706,NA,NA,NA,NA
01,041,2.9306915725904066,2.554104555425516,NA,NA,NA,NA
01,043,3.085354705190193,NA,NA,NA,2.642788789408368,NA
01,045,3.0681562937279185,2.4221518934081496,NA,NA,2.326270518593025,NA
01,047,2.79506896346613,2.428857789101838,NA,NA,NA,NA
01,049,2.8672723793787354,2.206628800039841,NA,2.9261690764043,2.0343142551181077,NA
01,051,3.0926850419504683,2.506525565712352,NA,NA,2.7657623654726846,NA
01,053,3.1288735391033407,2.5606453733419903,NA,2.728950184296314,NA,NA
