statecode,countycode,v160_race_white,v160_race_black,v160_race_asian,v160_race_aian,v160_race_hispanic,v160_flag_CT
00,000,3.2512912760617008,2.432230766291882,3.5799317431852424,2.6961098960180148,2.611213969001398,NA
01,000,2.9630724288619894,2.1812507781463735,3.546567186240499,2.6961098960180148,2.38008294123758,NA
01,001,3.1947881582723805,2.289679912,NA,NA,NA,NA
01,003,3.1239807936895447,2.308736359,3.6879301458532296,NA,2.2902369719999998,NA
01,005,2.473584776,1.701082805,NA,NA,NA,NA
01,007,2.349257536,2.097302015,NA,NA,NA,NA
01,009,2.661889623,NA,NA,NA,2.550066512,NA
01,011,NA,2.093029878,NA,NA,2.4135478360000002,NA
01,013,2.58460907,1.964210663,NA,NA,NA,NA
01,015,3.0218165,2.375076811,NA,NA,2.5600786810000002,NA
01,017,2.788495436,2.192295349,NA,NA,2.146528893,NA
01,019,2.4747154829999998,NA,NA,NA,NA,NA
01,021,2.831685423,1.944191945,NA,NA,2.609006251,NA
01,023,2.171438457,1.98831234,NA,NA,NA,NA
01,025,2.869584586,2.320821563,NA,NA,NA,NA
01,027,2.482932108,2.0014536830000003,NA,NA,NA,NA
01,029,2.900267905,NA,NA,NA,NA,NA
01,031,3.165085630024694,2.341795261,NA,NA,2.29522521,NA
01,033,2.888130888,2.137698237,NA,NA,2.623968459,NA
01,035,NA,2.138198771,NA,NA,NA,NA
01,037,2.582996079,2.276762002,NA,NA,NA,NA
01,039,2.712369595,2.004097198,NA,NA,NA,NA
01,041,2.831360873,2.376518209,NA,NA,NA,NA
01,043,2.983935792,NA,NA,NA,2.706483909,NA
01,045,2.936502291,2.100265164,NA,NA,1.953156524,NA
01,047,2.658281708,2.271711032,NA,NA,NA,NA
01,049,2.699136715,1.985124822,NA,2.763810171,2.349963693,NA
01,051,3.046832791,2.417670615,NA,NA,2.565810657,NA
01,053,2.889247739,2.3384681069999997,NA,2.63688309,NA,NA
01,055,2.878610883,2.339914239,NA,NA,1.92034227,NA
01,057,2.696840974,1.894625684,NA,NA,NA,NA
01,059,2.690916546,NA,NA,NA,2.36942531,NA
