"","statecode","countycode","v172_numerator","v172_denominator","v172_rawvalue","state","county","fipscode"
"1","00","000",NA,NA,6.86386682819581,"US","United States","00000"
"2","01","000",NA,NA,5.5092316855271,"AL","Alabama","01000"
"3","01","001",19,3318,5.72634116937914,"AL","Autauga County","01001"
"4","01","003",75,12035,6.23182384711259,"AL","Baldwin County","01003"
"5","01","005",7,1320,5.3030303030303,"AL","Barbour County","01005"
"6","01","007",6,1196,5.01672240802676,"AL","Bibb County","01007"
"7","01","009",17,3467,4.90337467551197,"AL","Blount County","01009"
"8","01","011",3,558,5.37634408602151,"AL","Bullock County","01011"
"9","01","013",5,1087,4.59981600735971,"AL","Butler County","01013"
"10","01","015",37,6716,5.5092316855271,"AL","Calhoun County","01015"
"11","01","017",12,2056,5.83657587548638,"AL","Chambers County","01017"
"12","01","019",6,1089,5.50964187327824,"AL","Cherokee County","01019"
"13","01","021",11,2710,4.0590405904059,"AL","Chilton County","01021"
"14","01","023",4,700,5.71428571428571,"AL","Choctaw County","01023"
"15","01","025",10,1435,6.96864111498258,"AL","Clarke County","01025"
"16","01","027",6,744,8.06451612903226,"AL","Clay County","01027"
"17","01","029",7,865,8.09248554913295,"AL","Cleburne County","01029"
"18","01","031",16,3212,4.9813200498132,"AL","Coffee County","01031"
"19","01","033",23,3182,7.22815839094909,"AL","Colbert County","01033"
"20","01","035",2,508,3.93700787401575,"AL","Conecuh County","01035"
"21","01","037",2,465,4.3010752688172,"AL","Coosa County","01037"
"22","01","039",12,2120,5.66037735849057,"AL","Covington County","01039"
"23","01","041",5,726,6.8870523415978,"AL","Crenshaw County","01041"
"24","01","043",25,5290,4.72589792060491,"AL","Cullman County","01043"
"25","01","045",13,3210,4.04984423676012,"AL","Dale County","01045"
"26","01","047",18,2397,7.50938673341677,"AL","Dallas County","01047"
"27","01","049",12,4209,2.85103349964362,"AL","DeKalb County","01049"
"28","01","051",28,4892,5.72363041700736,"AL","Elmore County","01051"
"29","01","053",13,2112,6.15530303030303,"AL","Escambia County","01053"
"30","01","055",33,6028,5.47445255474453,"AL","Etowah County","01055"
"31","01","057",3,904,3.31858407079646,"AL","Fayette County","01057"
"32","01","059",6,2312,2.59515570934256,"AL","Franklin County","01059"
"33","01","061",7,1454,4.81430536451169,"AL","Geneva County","01061"
"34","01","063",1,539,1.85528756957328,"AL","Greene County","01063"
"35","01","065",5,979,5.10725229826353,"AL","Hale County","01065"
"36","01","067",6,850,7.05882352941176,"AL","Henry County","01067"
"37","01","069",61,6512,9.36732186732187,"AL","Houston County","01069"
"38","01","071",11,2708,4.06203840472674,"AL","Jackson County","01071"
"39","01","073",307,42432,7.23510558069382,"AL","Jefferson County","01073"
"40","01","075",5,812,6.1576354679803,"AL","Lamar County","01075"
"41","01","077",28,4742,5.90468156895825,"AL","Lauderdale County","01077"
"42","01","079",8,1703,4.69759248385203,"AL","Lawrence County","01079"
"43","01","081",47,9776,4.80769230769231,"AL","Lee County","01081"
"44","01","083",17,5423,3.13479623824451,"AL","Limestone County","01083"
"45","01","085",1,641,1.5600624024961,"AL","Lowndes County","01085"
"46","01","087",8,900,8.88888888888889,"AL","Macon County","01087"
"47","01","089",148,22119,6.6910800669108,"AL","Madison County","01089"
"48","01","091",7,1276,5.4858934169279,"AL","Marengo County","01091"
"49","01","093",9,1464,6.14754098360656,"AL","Marion County","01093"
"50","01","095",25,6830,3.66032210834553,"AL","Marshall County","01095"
"51","01","097",179,26908,6.65229671473168,"AL","Mobile County","01097"
"52","01","099",9,1023,8.79765395894428,"AL","Monroe County","01099"
"53","01","101",151,15414,9.79628908784222,"AL","Montgomery County","01101"
"54","01","103",47,7390,6.35994587280108,"AL","Morgan County","01103"
"55","01","105",4,561,7.1301247771836,"AL","Perry County","01105"
"56","01","107",5,966,5.175983436853,"AL","Pickens County","01107"
