School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2021-2022,ALABAMA,0100005,Albertville City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90%,384,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100006,Marshall County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,91%,434,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100007,Hoover City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,93%,1064,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100008,Madison City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,95%,1030,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100011,Leeds City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,138,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100012,Boaz City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,181,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100013,Trussville City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,97%,400,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100030,Alexander City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,88%,203,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100060,Andalusia City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,138,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100090,Anniston City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-84%,116,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100100,Arab City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,184,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100120,Athens City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,93%,328,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100180,Attalla City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,114,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100185,Saraland City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,94%,287,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100188,Chickasaw City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,65,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100189,Satsuma City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,103,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100190,Alabaster City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,97%,534,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100194,Pelham City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,92%,299,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100195,Pike Road City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,149,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100197,Acceleration Day and Evening Academy,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,50-54%,114,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100202,Gulf Shores City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,95%,205,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100210,Auburn City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,95%,674,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100211,Magic City Acceptance Academy,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,11,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100240,Autauga County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,83%,671,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100270,Baldwin County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,86%,2309,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100300,Barbour County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,60-69%,36,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100330,Bessemer City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,65%,274,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100360,Bibb County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,91%,218,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100390,Birmingham City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,83%,1475,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100420,Blount County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,93%,536,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100450,Brewton City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,94,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100480,Bullock County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-84%,92,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100510,Butler County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,76%,209,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100540,Calhoun County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,95%,637,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100600,Chambers County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,84%,245,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100630,Cherokee County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,93%,307,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100660,Chilton County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,86%,581,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100690,Choctaw County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-84%,82,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100720,Clarke County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,81%,209,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100750,Clay County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-84%,137,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100780,Cleburne County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,159,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100810,Coffee County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,167,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100840,Colbert County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,161,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100870,Conecuh County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,120,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100900,Coosa County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,70-79%,42,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100930,Covington County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,180,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100960,Crenshaw County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,163,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0100990,Cullman City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,94%,252,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101020,Cullman County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,94%,650,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101050,Dale County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,199,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101080,Daleville City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-84%,87,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101110,Dallas County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,89%,220,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101140,DeKalb County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90%,564,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101170,Decatur City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,91%,583,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101200,Demopolis City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,175,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101230,Dothan City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90%,516,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101260,Elba City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,58,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101290,Elmore County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,87%,842,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101320,Enterprise City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,89%,503,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101350,Escambia County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,89%,265,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101380,Etowah County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,93%,579,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101410,Eufaula City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,76%,437,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101440,Fairfield City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,134,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101470,Fayette County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,183,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101530,Florence City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,95%,349,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101560,Fort Payne City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,96%,258,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101590,Franklin County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,93%,266,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101620,Gadsden City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,81%,345,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101640,Geneva City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,82,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101660,Geneva County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,180,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101680,Greene County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,63,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101690,Guntersville City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,131,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101710,Hale County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,159,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101720,Haleyville City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,105,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101730,Hartselle City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,97%,255,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101740,Henry County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,175,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101760,Homewood City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,92%,308,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101770,Houston County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,89%,490,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101800,Huntsville City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,92%,1431,,All Students,All Students in LEA,,,,,
