School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2021-2022,HAWAII,1500030,Hawaii Department of Education,Kahuku High &amp; Intermediate School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,86%,229,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Kailua High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,200,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Kalaheo High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90%,210,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Hilo High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80%,301,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Honokaa High &amp; Intermediate School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,129,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Kau High &amp; Pahala Elementary School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,70-74%,66,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Kohala High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,63,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Konawaena High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,87%,207,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Laupahoehoe Community - PCS,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,22,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Pahoa High &amp; Intermediate School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,90,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Waiakea High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90%,288,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Henry Perrine Baldwin High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,79%,314,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Hana High &amp; Elementary School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,27,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Lahainaluna High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,84%,263,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Lanai High &amp; Elementary School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,45,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Maui High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,81%,538,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Molokai High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,72,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Kapaa High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,96%,276,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Kauai High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,89%,306,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Waimea High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,148,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Hawaii School for the Deaf and Blind,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,8,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Olomana School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,40-49%,38,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Castle High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,81%,286,,All Students,All Students in School,,,,,
