ELSI Export,,,,
,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,
,,,,
This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC,,,,
,,,,
Agency Name,State Name [District] Latest available year,Agency Name [District] 2021-22,County Number [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year
21ST CENTURY CHARTER SCH OF GARY,Indiana,21st Century Charter Sch of Gary,18097,1800046
21ST CENTURY CYBER CS,Pennsylvania,21st Century Cyber CS,42029,4200091
21ST CENTURY PUBLIC ACADEMY,NEW MEXICO,21ST CENTURY PUBLIC ACADEMY,35001,3500187
A E R O  SPEC EDUC COOP,Illinois,A E R O  Spec Educ Coop,17031,1700024
A W BEATTIE CAREER CENTER,Pennsylvania,A W Beattie Career Center,42003,4280010
A W BROWN LEADERSHIP ACADEMY,Texas,A W BROWN LEADERSHIP ACADEMY,48113,4800095
A+ ACADEMY,Texas,A+ ACADEMY,48113,4800203
A+ ARTS ACADEMY,Ohio,A+ Arts Academy,39049,3900305
A+ CHARTER SCHOOLS (1000166),ARIZONA,A+ Charter Schools (1000166),04021,0400998
A+ CHILDREN'S ACADEMY,Ohio,A+ Children's Academy,39049,3901480
A+ UNLIMITED POTENTIAL,TEXAS,A+ UNLIMITED POTENTIAL,48201,4801453
A-C CENTRAL CUSD 262,Illinois,A-C Central CUSD 262,17017,1700105
A. LINWOOD HOLTON GOVERNOR'S SCHOOL,Virginia,A. LINWOOD HOLTON GOV SCH,51191,5100033
A.C.E. ACADEMY,North Carolina,A.C.E. Academy,37025,3700372
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,A.C.G.C. Public School District,27093,2700106
A.E. PHILLIPS LABORATORY SCHOOL,Louisiana,A.E. Phillips Laboratory School,22061,2200056
ABBEVILLE 60,South Carolina,Abbeville 60,45001,4500690
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,Abbotsford School District,55019,5500030
ABBOTT ISD,Texas,ABBOTT ISD,48217,4807380
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,Abby Kelley Foster Charter Public (District),25027,2500051
ABC UNIFIED,California,ABC Unified,06037,0601620
ABERDEEN DISTRICT,Idaho,ABERDEEN DISTRICT,16011,1600030
ABERDEEN SCHOOL DIST,Mississippi,ABERDEEN SCHOOL DIST,28095,2800360
ABERDEEN SCHOOL DISTRICT,Washington,Aberdeen School District,53027,5300030
ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,Aberdeen School District 06-1,46013,4602070
ABERNATHY ISD,Texas,ABERNATHY ISD,48189,4807410
ABILENE,Kansas,Abilene,20041,2003180
ABILENE ISD,Texas,ABILENE ISD,48441,4807440
ABINGDON-AVON CUSD 276,Illinois,Abingdon-Avon CUSD 276,17095,1701413
ABINGTON,Massachusetts,Abington,25023,2501650
ABINGTON HEIGHTS SD,Pennsylvania,Abington Heights SD,42069,4202010
ABINGTON SD,Pennsylvania,Abington SD,42091,4202040
ABLE CHARTER DISTRICT,CALIFORNIA,Humphreys College Academy of Business Law and ED District,06077,0601628
ABQ SCHOOL OF EXCELLENCE,New Mexico,ABQ SCHOOL OF EXCELLENCE,35001,3500122
ABQ SIGN LANGUAGE ACADEMY,New Mexico,ABQ SIGN LANGUAGE ACADEMY,35001,3500123
ABSAROKEE ELEM,Montana,Absarokee Elem,30095,3001710
ABSAROKEE H S,Montana,Absarokee H S,30095,3001740
ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,Absecon Public Schools District,34001,3400660
ACADEMIA ANTONIA ALONSO,Delaware,Academia Antonia Alonso,10003,1000053
ACADEMIA AVANCE CHARTER DISTRICT,CALIFORNIA,Academia Avance Charter District,06037,0602291
ACADEMIA CESAR CHAVEZ CHARTER SCH.,Minnesota,ACADEMIA CESAR CHAVEZ CHARTER SCH.,27123,2700185
ACADEMIA MODERNA DISTRICT,CALIFORNIA,Academia Moderna District,06037,0602361
ACADEMIC AND CAREER EDUCATION ACADEMY,Michigan,Academic and Career Education Academy,26111,2600330
ACADEMIC ARTS HIGH SCHOOL,Minnesota,ACADEMIC ARTS HIGH SCHOOL,27037,2700361
ACADEMIC LEADERSHIP CHARTER SCHOOL,New York,ACADEMIC LEADERSHIP CHARTER SCHOOL,36005,3601001
ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Arkansas,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,05119,0500059
ACADEMIE LAFAYETTE,Missouri,ACADEMIE LAFAYETTE,29095,2900017
ACADEMY CHARTER HIGH SCHOOL,New Jersey,Academy Charter High School,34025,3400048
ACADEMY CHARTER SCHOOL,New York,ACADEMY CHARTER SCHOOL,36059,3600997
ACADEMY CHARTER SCHOOL-UNIONDALE,NEW YORK,ACADEMY CHARTER SCHOOL-UNIONDALE,36059,3601169
ACADEMY DEL SOL INC. (90199),Arizona,Academy Del Sol Inc. (90199),04019,0400797
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,ACADEMY FOR ACADEMIC EXCELLENCE,48113,4800093
ACADEMY FOR ACADEMIC EXCELLENCE DISTRICT,CALIFORNIA,Academy for Academic Excellence District,06071,0601911
ACADEMY FOR BUSINESS AND TECHNOLOGY,Michigan,Academy for Business and Technology,26163,2600166
ACADEMY FOR INTEGRATED ARTS,Missouri,ACADEMY FOR INTEGRATED ARTS,29095,2900604
ACADEMY FOR MATH ENGINEERING & SCIENCE,Utah,Academy for Math Engineering & Science,49035,4900017
ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL,New Hampshire,Academy for Science and Design Charter School,33011,3300040
ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,New Jersey,Academy for Urban Leadership Charter School,34023,3400741
ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN,Ohio,Academy for Urban Scholars Youngstown,39099,3901472
ACADEMY ISD,Texas,ACADEMY ISD,48027,4807470
ACADEMY OF ACCELERATED LEARNING INC,Texas,ACADEMY OF ACCELERATED LEARNING INC,48201,4800032
ACADEMY OF BUILDING INDUSTRIES INC. (85540),Arizona,Academy of Building Industries Inc. (85540),04015,0400414
ACADEMY OF DALLAS,Texas,ACADEMY OF DALLAS,48113,4800090
ACADEMY OF DOVER CHARTER SCHOOL,Delaware,Academy of Dover Charter School,10001,1000017
ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL,NEW YORK,ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL,36055,3601190
ACADEMY OF HOPE ADULT PCS,DISTRICT OF COLUMBIA,Academy of Hope Adult PCS,11001,1100094
ACADEMY OF MATHEMATICS AND SCIENCE INC. (79961),Arizona,Academy of Mathematics and Science Inc. (79961),04019,0400368
ACADEMY OF MATHEMATICS AND SCIENCE INC. (92768),ARIZONA,Academy of Mathematics and Science Inc. (92768),04013,0400940
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH INC. (90878),Arizona,Academy of Mathematics and Science South Inc. (90878),04019,0400891
ACADEMY OF MEDIA ARTS DISTRICT,CALIFORNIA,Academy of Media Arts District,06037,0602503
ACADEMY OF SEMINOLE (CHARTER),OKLAHOMA,ACADEMY OF SEMINOLE CHARTER,40133,4000803
ACADEMY OF THE CITY CHARTER SCHOOL,New York,ACADEMY OF THE CITY CHARTER SCHOOL,36081,3601053
ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT),Massachusetts,Academy Of the Pacific Rim Charter Public (District),25025,2500021
ACADEMY OF TUCSON INC. (78897),Arizona,Academy of Tucson Inc. (78897),04019,0400202
ACADEMY OF WARREN,Michigan,Academy of Warren,26099,2600308
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,Academy School District No. 20 in the county of El Paso an,08041,0801920
ACADEMY WITH COMMUNITY PARTNERS-ARIZONA INC (79213),Arizona,Academy with Community Partners  Inc (79213),04013,0400276
ACADIA ACADEMY,MAINE,Acadia Academy,23001,2314831
ACADIA PARISH,Louisiana,Acadia Parish,22001,2200030
ACADIANA RENAISSANCE CHARTER ACADEMY,LOUISIANA,Acadiana Renaissance Charter Academy,22055,2200231
ACALANES UNION HIGH,California,Acalanes Union High,06013,0601650
ACCELERATED CHARTER ELEMENTARY DISTRICT,CALIFORNIA,Accelerated Charter Elementary District,06037,0601471
ACCELERATED DISTRICT,CALIFORNIA,Accelerated District,06037,0601732
ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS (6364),Arizona,Accelerated Elementary and Secondary Schools (6364),04019,0400129
ACCELERATED INTERMEDIATE ACADEMY,Texas,ACCELERATED INTERMEDIATE ACADEMY,48201,4800192
ACCELERATED LEARNING CENTER INC. (4297),Arizona,Accelerated Learning Center Inc. (4297),04013,0400121
ACCEPT EDUCATION COLLABORATIVE,MASSACHUSETTS,ACCEPT Education Collaborative,25017,2500578
ACCLAIM CHARTER SCHOOL (4325),Arizona,Acclaim Charter School (4325),04013,0400122
