"Date Printed: Monday, August 12, 2024 2:29:02 PM"
Title: "Chlamydia | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | All age groups""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Chlamydia","2022","Wyoming","56","1,793","308.4"
"Chlamydia","2022","Wisconsin","55","25,676","435.7"
"Chlamydia","2022","West Virginia","54","4,450","250.7"
"Chlamydia","2022","Washington","53","28,431","365.2"
"Chlamydia","2022","Virginia","51","40,789","469.7"
"Chlamydia","2022","Vermont","50","1,281","198.0"
"Chlamydia","2022","Utah","49","11,108","328.6"
"Chlamydia","2022","Texas","48","155,483","517.8"
"Chlamydia","2022","Tennessee","47","37,942","538.1"
"Chlamydia","2022","South Dakota","46","5,160","567.1"
"Chlamydia","2022","South Carolina","45","35,525","672.5"
"Chlamydia","2022","Rhode Island","44","5,199","475.3"
"Chlamydia","2022","Pennsylvania","42","54,645","421.3"
"Chlamydia","2022","Oregon","41","15,504","365.6"
"Chlamydia","2022","Oklahoma","40","20,190","502.3"
"Chlamydia","2022","Ohio","39","54,459","463.2"
"Chlamydia","2022","North Dakota","38","3,704","475.3"
"Chlamydia","2022","North Carolina","37","64,525","603.1"
"Chlamydia","2022","New York","36","103,673","526.9"
"Chlamydia","2022","New Mexico","35","11,172","528.6"
"Chlamydia","2022","New Jersey","34","33,147","357.9"
"Chlamydia","2022","New Hampshire","33","2,830","202.8"
"Chlamydia","2022","Nevada","32","16,189","509.4"
"Chlamydia","2022","Nebraska","31","9,627","489.2"
"Chlamydia","2022","Montana","30","4,089","364.2"
"Chlamydia","2022","Missouri","29","32,346","523.6"
"Chlamydia","2022","Mississippi","28","22,968","781.2"
"Chlamydia","2022","Minnesota","27","22,072","386.1"
"Chlamydia","2022","Michigan","26","42,977","428.3"
"Chlamydia","2022","Massachusetts","25","28,373","406.4"
"Chlamydia","2022","Maryland","24","31,234","506.7"
"Chlamydia","2022","Maine","23","3,128","225.8"
"Chlamydia","2022","Louisiana","22","36,200","788.6"
"Chlamydia","2022","Kentucky","21","18,358","406.8"
"Chlamydia","2022","Kansas","20","13,935","474.4"
"Chlamydia","2022","Iowa","19","14,634","457.2"
"Chlamydia","2022","Indiana","18","33,834","495.2"
"Chlamydia","2022","Illinois","17","71,564","568.8"
"Chlamydia","2022","Idaho","16","5,976","308.2"
"Chlamydia","2022","Hawaii","15","5,530","384.0"
"Chlamydia","2022","Georgia","13","72,662","665.8"
"Chlamydia","2022","Florida","12","106,873","480.4"
"Chlamydia","2022","District of Columbia","11","8,141","1211.8"
"Chlamydia","2022","Delaware","10","5,177","508.3"
"Chlamydia","2022","Connecticut","09","12,738","351.3"
"Chlamydia","2022","Colorado","08","26,646","456.3"
"Chlamydia","2022","California","06","192,647","493.6"
"Chlamydia","2022","Arkansas","05","17,918","588.3"
"Chlamydia","2022","Arizona","04","40,796","554.4"
"Chlamydia","2022","Alaska","02","5,338","727.7"
"Chlamydia","2022","Alabama","01","31,060","612.1"
