GEO_ID,NAME,P2_001N,P2_002N,P2_003N,P2_004N
1400000US09001010101,"Census Tract 101.01, Fairfield County, Connecticut",4401,1778,2623,0
1400000US09001010102,"Census Tract 101.02, Fairfield County, Connecticut",4276,1746,2530,0
1400000US09001010201,"Census Tract 102.01, Fairfield County, Connecticut",3395,3211,184,0
1400000US09001010202,"Census Tract 102.02, Fairfield County, Connecticut",5904,5904,0,0
1400000US09001010300,"Census Tract 103, Fairfield County, Connecticut",4370,4370,0,0
1400000US09001010400,"Census Tract 104, Fairfield County, Connecticut",5716,5716,0,0
1400000US09001010500,"Census Tract 105, Fairfield County, Connecticut",6570,6570,0,0
1400000US09001010600,"Census Tract 106, Fairfield County, Connecticut",1884,1884,0,0
1400000US09001010700,"Census Tract 107, Fairfield County, Connecticut",3573,3573,0,0
1400000US09001010800,"Census Tract 108, Fairfield County, Connecticut",3135,3135,0,0
1400000US09001010900,"Census Tract 109, Fairfield County, Connecticut",5279,5279,0,0
1400000US09001011000,"Census Tract 110, Fairfield County, Connecticut",5477,5423,54,0
1400000US09001011100,"Census Tract 111, Fairfield County, Connecticut",5049,5049,0,0
1400000US09001011200,"Census Tract 112, Fairfield County, Connecticut",1703,1703,0,0
1400000US09001011300,"Census Tract 113, Fairfield County, Connecticut",2786,2763,23,0
1400000US09001020101,"Census Tract 201.01, Fairfield County, Connecticut",2862,2862,0,0
1400000US09001020102,"Census Tract 201.02, Fairfield County, Connecticut",3988,3988,0,0
1400000US09001020200,"Census Tract 202, Fairfield County, Connecticut",3754,2883,871,0
1400000US09001020301,"Census Tract 203.01, Fairfield County, Connecticut",3829,3806,23,0
1400000US09001020302,"Census Tract 203.02, Fairfield County, Connecticut",3379,3357,22,0
1400000US09001020400,"Census Tract 204, Fairfield County, Connecticut",3611,3611,0,0
1400000US09001020500,"Census Tract 205, Fairfield County, Connecticut",4813,4813,0,0
1400000US09001020600,"Census Tract 206, Fairfield County, Connecticut",4842,4842,0,0
1400000US09001020700,"Census Tract 207, Fairfield County, Connecticut",4170,4170,0,0
1400000US09001020800,"Census Tract 208, Fairfield County, Connecticut",2873,2873,0,0
1400000US09001020900,"Census Tract 209, Fairfield County, Connecticut",5257,5257,0,0
1400000US09001021000,"Census Tract 210, Fairfield County, Connecticut",3559,3559,0,0
1400000US09001021100,"Census Tract 211, Fairfield County, Connecticut",6414,6414,0,0
1400000US09001021200,"Census Tract 212, Fairfield County, Connecticut",4319,4319,0,0
1400000US09001021300,"Census Tract 213, Fairfield County, Connecticut",4781,4781,0,0
1400000US09001021401,"Census Tract 214.01, Fairfield County, Connecticut",3079,3079,0,0
1400000US09001021402,"Census Tract 214.02, Fairfield County, Connecticut",3947,3947,0,0
1400000US09001021501,"Census Tract 215.01, Fairfield County, Connecticut",3955,3955,0,0
1400000US09001021502,"Census Tract 215.02, Fairfield County, Connecticut",2821,2821,0,0
1400000US09001021601,"Census Tract 216.01, Fairfield County, Connecticut",3559,3559,0,0
1400000US09001021602,"Census Tract 216.02, Fairfield County, Connecticut",4536,4536,0,0
1400000US09001021701,"Census Tract 217.01, Fairfield County, Connecticut",3268,3268,0,0
1400000US09001021702,"Census Tract 217.02, Fairfield County, Connecticut",4732,4732,0,0
1400000US09001021801,"Census Tract 218.01, Fairfield County, Connecticut",4720,4720,0,0
1400000US09001021802,"Census Tract 218.02, Fairfield County, Connecticut",5156,5156,0,0
1400000US09001021900,"Census Tract 219, Fairfield County, Connecticut",6341,6326,15,0
1400000US09001022000,"Census Tract 220, Fairfield County, Connecticut",3058,3058,0,0
1400000US09001022101,"Census Tract 221.01, Fairfield County, Connecticut",3586,3586,0,0
1400000US09001022102,"Census Tract 221.02, Fairfield County, Connecticut",3943,3943,0,0
1400000US09001022201,"Census Tract 222.01, Fairfield County, Connecticut",3060,3060,0,0
1400000US09001022202,"Census Tract 222.02, Fairfield County, Connecticut",4581,4581,0,0
1400000US09001022300,"Census Tract 223, Fairfield County, Connecticut",6311,6311,0,0
1400000US09001022400,"Census Tract 224, Fairfield County, Connecticut",2366,2366,0,0
1400000US09001030100,"Census Tract 301, Fairfield County, Connecticut",3733,3733,0,0
1400000US09001030200,"Census Tract 302, Fairfield County, Connecticut",3316,3316,0,0
1400000US09001030300,"Census Tract 303, Fairfield County, Connecticut",4425,4425,0,0
1400000US09001030400,"Census Tract 304, Fairfield County, Connecticut",4060,4060,0,0
1400000US09001030500,"Census Tract 305, Fairfield County, Connecticut",5965,5965,0,0
1400000US09001035101,"Census Tract 351.01, Fairfield County, Connecticut",3663,3663,0,0
1400000US09001035102,"Census Tract 351.02, Fairfield County, Connecticut",4259,4259,0,0
1400000US09001035200,"Census Tract 352, Fairfield County, Connecticut",3306,1799,1507,0
1400000US09001035300,"Census Tract 353, Fairfield County, Connecticut",4114,4114,0,0
1400000US09001035400,"Census Tract 354, Fairfield County, Connecticut",5280,4087,1193,0
1400000US09001042500,"Census Tract 425, Fairfield County, Connecticut",3678,3678,0,0
1400000US09001042600,"Census Tract 426, Fairfield County, Connecticut",4053,4053,0,0
1400000US09001042700,"Census Tract 427, Fairfield County, Connecticut",5585,5585,0,0
1400000US09001042800,"Census Tract 428, Fairfield County, Connecticut",4761,4761,0,0
1400000US09001042900,"Census Tract 429, Fairfield County, Connecticut",1593,1593,0,0
1400000US09001043000,"Census Tract 430, Fairfield County, Connecticut",3233,3233,0,0
1400000US09001043100,"Census Tract 431, Fairfield County, Connecticut",4545,4545,0,0
1400000US09001043200,"Census Tract 432, Fairfield County, Connecticut",3081,3081,0,0
1400000US09001043300,"Census Tract 433, Fairfield County, Connecticut",3389,3389,0,0
1400000US09001043400,"Census Tract 434, Fairfield County, Connecticut",4980,4980,0,0
1400000US09001043500,"Census Tract 435, Fairfield County, Connecticut",2713,2713,0,0
1400000US09001043600,"Census Tract 436, Fairfield County, Connecticut",3187,3187,0,0
1400000US09001043700,"Census Tract 437, Fairfield County, Connecticut",3602,3602,0,0
1400000US09001043800,"Census Tract 438, Fairfield County, Connecticut",8083,8083,0,0
1400000US09001043900,"Census Tract 439, Fairfield County, Connecticut",5456,5456,0,0
1400000US09001044000,"Census Tract 440, Fairfield County, Connecticut",6241,6241,0,0
1400000US09001044100,"Census Tract 441, Fairfield County, Connecticut",3479,3479,0,0
1400000US09001044200,"Census Tract 442, Fairfield County, Connecticut",4092,4092,0,0
1400000US09001044300,"Census Tract 443, Fairfield County, Connecticut",4264,4264,0,0
1400000US09001044400,"Census Tract 444, Fairfield County, Connecticut",3536,3527,9,0
1400000US09001044500,"Census Tract 445, Fairfield County, Connecticut",4056,4056,0,0
1400000US09001044600,"Census Tract 446, Fairfield County, Connecticut",3577,3577,0,0
1400000US09001045101,"Census Tract 451.01, Fairfield County, Connecticut",4094,3129,965,0
1400000US09001045102,"Census Tract 451.02, Fairfield County, Connecticut",5885,4355,1530,0
1400000US09001045200,"Census Tract 452, Fairfield County, Connecticut",2720,2720,0,0
1400000US09001045300,"Census Tract 453, Fairfield County, Connecticut",2513,2513,0,0
1400000US09001045400,"Census Tract 454, Fairfield County, Connecticut",3291,3291,0,0
1400000US09001050100,"Census Tract 501, Fairfield County, Connecticut",4070,4070,0,0
1400000US09001050200,"Census Tract 502, Fairfield County, Connecticut",4096,4096,0,0
1400000US09001050301,"Census Tract 503.01, Fairfield County, Connecticut",3977,3977,0,0
1400000US09001050302,"Census Tract 503.02, Fairfield County, Connecticut",4425,4425,0,0
1400000US09001050400,"Census Tract 504, Fairfield County, Connecticut",2444,2444,0,0
1400000US09001050500,"Census Tract 505, Fairfield County, Connecticut",4751,4751,0,0
1400000US09001050600,"Census Tract 506, Fairfield County, Connecticut",3378,3378,0,0
1400000US09001055100,"Census Tract 551, Fairfield County, Connecticut",5837,4211,1626,0
1400000US09001055200,"Census Tract 552, Fairfield County, Connecticut",4517,4406,111,0
1400000US09001060100,"Census Tract 601, Fairfield County, Connecticut",4551,4551,0,0
1400000US09001060200,"Census Tract 602, Fairfield County, Connecticut",4211,4211,0,0
1400000US09001060300,"Census Tract 603, Fairfield County, Connecticut",3986,3669,317,0
1400000US09001060400,"Census Tract 604, Fairfield County, Connecticut",4494,2486,2008,0
1400000US09001060500,"Census Tract 605, Fairfield County, Connecticut",3092,3092,0,0
1400000US09001060600,"Census Tract 606, Fairfield County, Connecticut",2235,2235,0,0
1400000US09001060700,"Census Tract 607, Fairfield County, Connecticut",8087,8087,0,0
1400000US09001060800,"Census Tract 608, Fairfield County, Connecticut",2089,2089,0,0
1400000US09001060900,"Census Tract 609, Fairfield County, Connecticut",2546,2546,0,0
1400000US09001061000,"Census Tract 610, Fairfield County, Connecticut",4060,4060,0,0
