FIPS,County,State,NonConsecutiveWeeks
01001,Autauga County,AL,30
01003,Baldwin County,AL,71
01005,Barbour County,AL,52
01007,Bibb County,AL,54
01009,Blount County,AL,22
01011,Bullock County,AL,27
01013,Butler County,AL,43
01015,Calhoun County,AL,26
01017,Chambers County,AL,23
01019,Cherokee County,AL,31
01021,Chilton County,AL,52
01023,Choctaw County,AL,37
01025,Clarke County,AL,52
01027,Clay County,AL,29
01029,Cleburne County,AL,26
01031,Coffee County,AL,61
01033,Colbert County,AL,39
01035,Conecuh County,AL,60
01037,Coosa County,AL,36
01039,Covington County,AL,72
01041,Crenshaw County,AL,44
01043,Cullman County,AL,26
01045,Dale County,AL,64
01047,Dallas County,AL,39
01049,DeKalb County,AL,29
01051,Elmore County,AL,23
01053,Escambia County,AL,53
01055,Etowah County,AL,24
01057,Fayette County,AL,27
01059,Franklin County,AL,34
01061,Geneva County,AL,72
01063,Greene County,AL,30
01065,Hale County,AL,33
01067,Henry County,AL,64
01069,Houston County,AL,70
01071,Jackson County,AL,46
01073,Jefferson County,AL,47
01075,Lamar County,AL,32
01077,Lauderdale County,AL,47
01079,Lawrence County,AL,41
01081,Lee County,AL,19
01083,Limestone County,AL,43
01085,Lowndes County,AL,39
01087,Macon County,AL,15
01089,Madison County,AL,39
01091,Marengo County,AL,41
01093,Marion County,AL,27
01095,Marshall County,AL,35
01097,Mobile County,AL,66
01099,Monroe County,AL,55
01101,Montgomery County,AL,31
01103,Morgan County,AL,37
01105,Perry County,AL,31
01107,Pickens County,AL,25
01109,Pike County,AL,51
01111,Randolph County,AL,22
01113,Russell County,AL,23
01115,Saint Clair County,AL,38
01117,Shelby County,AL,54
01119,Sumter County,AL,35
01121,Talladega County,AL,43
01123,Tallapoosa County,AL,24
01125,Tuscaloosa County,AL,42
01127,Walker County,AL,17
01129,Washington County,AL,38
01131,Wilcox County,AL,42
01133,Winston County,AL,21
02013,Aleutians East Borough,AK,3
02020,Anchorage Municipality,AK,28
02050,Bethel Census Area,AK,9
02060,Bristol Bay Borough,AK,3
02063,Chugach Census Area,AK,11
02066,Copper River Census Area,AK,12
02068,Denali Borough,AK,15
02070,Dillingham Census Area,AK,8
02090,Fairbanks North Star Borough,AK,11
02100,Haines Borough,AK,28
02105,Hoonah-Angoon Census Area,AK,47
02110,Juneau City and Borough,AK,38
02122,Kenai Peninsula Borough,AK,26
02130,Ketchikan Gateway Borough,AK,46
02150,Kodiak Island Borough,AK,19
02158,Kusilvak Census Area,AK,6
02164,Lake and Peninsula Borough,AK,11
02170,Matanuska-Susitna Borough,AK,28
02185,North Slope Borough,AK,3
02188,Northwest Arctic Borough,AK,14
02195,Petersburg Borough,AK,55
02198,Prince of Wales-Hyder Census Area,AK,46
02220,Sitka City and Borough,AK,36
02230,Skagway Municipality,AK,12
02240,Southeast Fairbanks Census Area,AK,9
02275,Wrangell City and Borough,AK,46
02282,Yakutat City and Borough,AK,7
02290,Yukon-Koyukuk Census Area,AK,24
04001,Apache County,AZ,227
04003,Cochise County,AZ,175
04005,Coconino County,AZ,222
04007,Gila County,AZ,145
04009,Graham County,AZ,156
04011,Greenlee County,AZ,158
04012,La Paz County,AZ,178
04013,Maricopa County,AZ,165
04015,Mohave County,AZ,213
04017,Navajo County,AZ,227
04019,Pima County,AZ,161
04021,Pinal County,AZ,143
04023,Santa Cruz County,AZ,147
04025,Yavapai County,AZ,169
04027,Yuma County,AZ,171
05001,Arkansas County,AR,57
05003,Ashley County,AR,56
05005,Baxter County,AR,35
05007,Benton County,AR,38
05009,Boone County,AR,29
05011,Bradley County,AR,57
05013,Calhoun County,AR,58
05015,Carroll County,AR,34
05017,Chicot County,AR,51
05019,Clark County,AR,63
05021,Clay County,AR,35
05023,Cleburne County,AR,27
05025,Cleveland County,AR,56
05027,Columbia County,AR,74
05029,Conway County,AR,35
05031,Craighead County,AR,20
05033,Crawford County,AR,20
05035,Crittenden County,AR,48
05037,Cross County,AR,41
05039,Dallas County,AR,67
05041,Desha County,AR,62
05043,Drew County,AR,53
05045,Faulkner County,AR,47
05047,Franklin County,AR,16
05049,Fulton County,AR,40
05051,Garland County,AR,58
05053,Grant County,AR,60
05055,Greene County,AR,28
05057,Hempstead County,AR,72
05059,Hot Spring County,AR,62
05061,Howard County,AR,68
05063,Independence County,AR,21
05065,Izard County,AR,37
05067,Jackson County,AR,24
05069,Jefferson County,AR,64
05071,Johnson County,AR,21
05073,Lafayette County,AR,77
05075,Lawrence County,AR,29
05077,Lee County,AR,45
05079,Lincoln County,AR,60
05081,Little River County,AR,69
05083,Logan County,AR,24
05085,Lonoke County,AR,54
05087,Madison County,AR,32
05089,Marion County,AR,30
05091,Miller County,AR,72
05093,Mississippi County,AR,50
05095,Monroe County,AR,52
05097,Montgomery County,AR,48
05099,Nevada County,AR,66
05101,Newton County,AR,22
05103,Ouachita County,AR,60
05105,Perry County,AR,48
05107,Phillips County,AR,62
05109,Pike County,AR,55
05111,Poinsett County,AR,32
05113,Polk County,AR,53
05115,Pope County,AR,36
05117,Prairie County,AR,47
05119,Pulaski County,AR,59
05121,Randolph County,AR,34
