"statecode","countycode","race","county_value","GEOID","NAME","sum_of_tracts","diff"
"36","001","White Alone",217654,"36001","Albany County, New York",217654,0
"36","001","Black Alone",35054,"36001","Albany County, New York",35054,0
"36","001","AIAN Alone",125,"36001","Albany County, New York",125,0
"36","001","Asian Alone",21435,"36001","Albany County, New York",21435,0
"36","001","NHOPI Alone",179,"36001","Albany County, New York",179,0
"36","001","Other",6564,"36001","Albany County, New York",6564,0
"36","001","Two or More",16180,"36001","Albany County, New York",16180,0
"36","001","Non Hispanic White",213360,"36001","Albany County, New York",213360,0
"36","001","Hispanic",15228,"36001","Albany County, New York",15228,0
"36","003","White Alone",40958,"36003","Allegany County, New York",40958,0
"36","003","Black Alone",122,"36003","Allegany County, New York",122,0
"36","003","AIAN Alone",27,"36003","Allegany County, New York",27,0
"36","003","Asian Alone",274,"36003","Allegany County, New York",274,0
"36","003","NHOPI Alone",0,"36003","Allegany County, New York",0,0
"36","003","Other",36,"36003","Allegany County, New York",36,0
"36","003","Two or More",961,"36003","Allegany County, New York",961,0
"36","003","Non Hispanic White",40700,"36003","Allegany County, New York",40700,0
"36","003","Hispanic",546,"36003","Allegany County, New York",546,0
"36","005","White Alone",214991,"36005","Bronx County, New York",214991,0
"36","005","Black Alone",456857,"36005","Bronx County, New York",456857,0
"36","005","AIAN Alone",17359,"36005","Bronx County, New York",17359,0
"36","005","Asian Alone",57985,"36005","Bronx County, New York",57985,0
"36","005","NHOPI Alone",1902,"36005","Bronx County, New York",1902,0
"36","005","Other",441362,"36005","Bronx County, New York",441362,0
"36","005","Two or More",174161,"36005","Bronx County, New York",174161,0
"36","005","Non Hispanic White",118496,"36005","Bronx County, New York",118496,0
"36","005","Hispanic",757754,"36005","Bronx County, New York",757754,0
"36","007","White Alone",157265,"36007","Broome County, New York",157265,0
"36","007","Black Alone",9725,"36007","Broome County, New York",9725,0
"36","007","AIAN Alone",452,"36007","Broome County, New York",452,0
"36","007","Asian Alone",8563,"36007","Broome County, New York",8563,0
"36","007","NHOPI Alone",62,"36007","Broome County, New York",62,0
"36","007","Other",3066,"36007","Broome County, New York",3066,0
"36","007","Two or More",7687,"36007","Broome County, New York",7687,0
"36","007","Non Hispanic White",155663,"36007","Broome County, New York",155663,0
"36","007","Hispanic",7511,"36007","Broome County, New York",7511,0
"36","009","White Alone",66852,"36009","Cattaraugus County, New York",66852,0
"36","009","Black Alone",647,"36009","Cattaraugus County, New York",647,0
"36","009","AIAN Alone",2151,"36009","Cattaraugus County, New York",2151,0
"36","009","Asian Alone",439,"36009","Cattaraugus County, New York",439,0
"36","009","NHOPI Alone",0,"36009","Cattaraugus County, New York",0,0
"36","009","Other",482,"36009","Cattaraugus County, New York",482,0
"36","009","Two or More",3074,"36009","Cattaraugus County, New York",3074,0
"36","009","Non Hispanic White",66460,"36009","Cattaraugus County, New York",66460,0
"36","009","Hispanic",996,"36009","Cattaraugus County, New York",996,0
"36","011","White Alone",66630,"36011","Cayuga County, New York",66630,0
"36","011","Black Alone",792,"36011","Cayuga County, New York",792,0
"36","011","AIAN Alone",78,"36011","Cayuga County, New York",78,0
"36","011","Asian Alone",410,"36011","Cayuga County, New York",410,0
"36","011","NHOPI Alone",0,"36011","Cayuga County, New York",0,0
"36","011","Other",1052,"36011","Cayuga County, New York",1052,0
"36","011","Two or More",2923,"36011","Cayuga County, New York",2923,0
"36","011","Non Hispanic White",66306,"36011","Cayuga County, New York",66306,0
"36","011","Hispanic",1337,"36011","Cayuga County, New York",1337,0
"36","013","White Alone",108315,"36013","Chautauqua County, New York",108315,0
"36","013","Black Alone",2081,"36013","Chautauqua County, New York",2081,0
"36","013","AIAN Alone",414,"36013","Chautauqua County, New York",414,0
"36","013","Asian Alone",596,"36013","Chautauqua County, New York",596,0
"36","013","NHOPI Alone",70,"36013","Chautauqua County, New York",70,0
"36","013","Other",4258,"36013","Chautauqua County, New York",4258,0
"36","013","Two or More",5630,"36013","Chautauqua County, New York",5630,0
"36","013","Non Hispanic White",105832,"36013","Chautauqua County, New York",105832,0
"36","013","Hispanic",9304,"36013","Chautauqua County, New York",9304,0
"36","015","White Alone",70326,"36015","Chemung County, New York",70326,0
"36","015","Black Alone",3427,"36015","Chemung County, New York",3427,0
"36","015","AIAN Alone",44,"36015","Chemung County, New York",44,0
"36","015","Asian Alone",1161,"36015","Chemung County, New York",1161,0
"36","015","NHOPI Alone",0,"36015","Chemung County, New York",0,0
"36","015","Other",530,"36015","Chemung County, New York",530,0
"36","015","Two or More",3642,"36015","Chemung County, New York",3642,0
"36","015","Non Hispanic White",69615,"36015","Chemung County, New York",69615,0
"36","015","Hispanic",2027,"36015","Chemung County, New York",2027,0
"36","017","White Alone",42975,"36017","Chenango County, New York",42975,0
"36","017","Black Alone",83,"36017","Chenango County, New York",83,0
"36","017","AIAN Alone",55,"36017","Chenango County, New York",55,0
"36","017","Asian Alone",159,"36017","Chenango County, New York",159,0
"36","017","NHOPI Alone",0,"36017","Chenango County, New York",0,0
"36","017","Other",718,"36017","Chenango County, New York",718,0
"36","017","Two or More",1989,"36017","Chenango County, New York",1989,0
"36","017","Non Hispanic White",42736,"36017","Chenango County, New York",42736,0
"36","017","Hispanic",854,"36017","Chenango County, New York",854,0
"36","019","White Alone",68599,"36019","Clinton County, New York",68599,0
"36","019","Black Alone",676,"36019","Clinton County, New York",676,0
"36","019","AIAN Alone",146,"36019","Clinton County, New York",146,0
"36","019","Asian Alone",782,"36019","Clinton County, New York",782,0
"36","019","NHOPI Alone",35,"36019","Clinton County, New York",35,0
"36","019","Other",346,"36019","Clinton County, New York",346,0
"36","019","Two or More",2276,"36019","Clinton County, New York",2276,0
"36","019","Non Hispanic White",68274,"36019","Clinton County, New York",68274,0
"36","019","Hispanic",993,"36019","Clinton County, New York",993,0
"36","021","White Alone",51499,"36021","Columbia County, New York",51499,0
"36","021","Black Alone",1449,"36021","Columbia County, New York",1449,0
"36","021","AIAN Alone",87,"36021","Columbia County, New York",87,0
"36","021","Asian Alone",1352,"36021","Columbia County, New York",1352,0
"36","021","NHOPI Alone",0,"36021","Columbia County, New York",0,0
"36","021","Other",1425,"36021","Columbia County, New York",1425,0
"36","021","Two or More",3313,"36021","Columbia County, New York",3313,0
"36","021","Non Hispanic White",51084,"36021","Columbia County, New York",51084,0
"36","021","Hispanic",2664,"36021","Columbia County, New York",2664,0
"36","023","White Alone",39414,"36023","Cortland County, New York",39414,0
"36","023","Black Alone",506,"36023","Cortland County, New York",506,0
"36","023","AIAN Alone",67,"36023","Cortland County, New York",67,0
"36","023","Asian Alone",317,"36023","Cortland County, New York",317,0
"36","023","NHOPI Alone",8,"36023","Cortland County, New York",8,0
"36","023","Other",479,"36023","Cortland County, New York",479,0
"36","023","Two or More",2054,"36023","Cortland County, New York",2054,0
"36","023","Non Hispanic White",39151,"36023","Cortland County, New York",39151,0
"36","023","Hispanic",1234,"36023","Cortland County, New York",1234,0
"36","025","White Alone",39113,"36025","Delaware County, New York",39113,0
"36","025","Black Alone",427,"36025","Delaware County, New York",427,0
"36","025","AIAN Alone",276,"36025","Delaware County, New York",276,0
"36","025","Asian Alone",322,"36025","Delaware County, New York",322,0
"36","025","NHOPI Alone",0,"36025","Delaware County, New York",0,0
"36","025","Other",257,"36025","Delaware County, New York",257,0
"36","025","Two or More",1954,"36025","Delaware County, New York",1954,0
