"","statecode","countycode","b_tractsum","w_tractsum","tot_tractsum","bdiff","wdiff"
"1","01","001",11464,43926,58782,0,0
"2","01","001",11464,43926,58782,0,0
"3","01","001",11464,43926,58782,0,0
"4","01","001",11464,43926,58782,0,0
"5","01","001",11464,43926,58782,0,0
"6","01","001",11464,43926,58782,0,0
"7","01","001",11464,43926,58782,0,0
"8","01","001",11464,43926,58782,0,0
"9","01","001",11464,43926,58782,0,0
"10","01","001",11464,43926,58782,0,0
"11","01","001",11464,43926,58782,0,0
"12","01","001",11464,43926,58782,0,0
"13","01","001",11464,43926,58782,0,0
"14","01","001",11464,43926,58782,0,0
"15","01","001",11464,43926,58782,0,0
"16","01","001",11464,43926,58782,0,0
"17","01","001",11464,43926,58782,0,0
"18","01","003",18239,200422,236665,0,0
"19","01","003",18239,200422,236665,0,0
"20","01","003",18239,200422,236665,0,0
"21","01","003",18239,200422,236665,0,0
"22","01","003",18239,200422,236665,0,0
"23","01","003",18239,200422,236665,0,0
"24","01","003",18239,200422,236665,0,0
"25","01","003",18239,200422,236665,0,0
"26","01","003",18239,200422,236665,0,0
"27","01","003",18239,200422,236665,0,0
"28","01","003",18239,200422,236665,0,0
"29","01","003",18239,200422,236665,0,0
"30","01","003",18239,200422,236665,0,0
"31","01","003",18239,200422,236665,0,0
"32","01","003",18239,200422,236665,0,0
"33","01","003",18239,200422,236665,0,0
"34","01","003",18239,200422,236665,0,0
"35","01","003",18239,200422,236665,0,0
"36","01","003",18239,200422,236665,0,0
"37","01","003",18239,200422,236665,0,0
"38","01","003",18239,200422,236665,0,0
"39","01","003",18239,200422,236665,0,0
"40","01","003",18239,200422,236665,0,0
"41","01","003",18239,200422,236665,0,0
"42","01","003",18239,200422,236665,0,0
"43","01","003",18239,200422,236665,0,0
"44","01","003",18239,200422,236665,0,0
"45","01","003",18239,200422,236665,0,0
"46","01","003",18239,200422,236665,0,0
"47","01","003",18239,200422,236665,0,0
"48","01","003",18239,200422,236665,0,0
"49","01","003",18239,200422,236665,0,0
"50","01","003",18239,200422,236665,0,0
"51","01","003",18239,200422,236665,0,0
"52","01","003",18239,200422,236665,0,0
"53","01","003",18239,200422,236665,0,0
"54","01","003",18239,200422,236665,0,0
"55","01","003",18239,200422,236665,0,0
"56","01","003",18239,200422,236665,0,0
"57","01","003",18239,200422,236665,0,0
"58","01","003",18239,200422,236665,0,0
"59","01","003",18239,200422,236665,0,0
"60","01","003",18239,200422,236665,0,0
"61","01","003",18239,200422,236665,0,0
"62","01","005",10050,9727,21690,0,0
"63","01","005",10050,9727,21690,0,0
"64","01","005",10050,9727,21690,0,0
"65","01","005",10050,9727,21690,0,0
"66","01","005",10050,9727,21690,0,0
"67","01","005",10050,9727,21690,0,0
"68","01","005",10050,9727,21690,0,0
"69","01","005",10050,9727,21690,0,0
"70","01","005",10050,9727,21690,0,0
"71","01","007",3811,16402,20770,0,0
"72","01","007",3811,16402,20770,0,0
"73","01","007",3811,16402,20770,0,0
"74","01","007",3811,16402,20770,0,0
"75","01","007",3811,16402,20770,0,0
"76","01","007",3811,16402,20770,0,0
"77","01","007",3811,16402,20770,0,0
"78","01","007",3811,16402,20770,0,0
"79","01","009",328,53260,58720,0,0
"80","01","009",328,53260,58720,0,0
"81","01","009",328,53260,58720,0,0
"82","01","009",328,53260,58720,0,0
"83","01","009",328,53260,58720,0,0
"84","01","009",328,53260,58720,0,0
"85","01","009",328,53260,58720,0,0
"86","01","009",328,53260,58720,0,0
"87","01","009",328,53260,58720,0,0
"88","01","009",328,53260,58720,0,0
"89","01","009",328,53260,58720,0,0
"90","01","009",328,53260,58720,0,0
"91","01","009",328,53260,58720,0,0
"92","01","009",328,53260,58720,0,0
"93","01","009",328,53260,58720,0,0
"94","01","009",328,53260,58720,0,0
"95","01","011",6665,1995,9122,0,0
"96","01","011",6665,1995,9122,0,0
"97","01","011",6665,1995,9122,0,0
"98","01","011",6665,1995,9122,0,0
"99","01","013",8257,9638,18494,0,0
"100","01","013",8257,9638,18494,0,0
"101","01","013",8257,9638,18494,0,0
"102","01","013",8257,9638,18494,0,0
"103","01","013",8257,9638,18494,0,0
"104","01","013",8257,9638,18494,0,0
"105","01","013",8257,9638,18494,0,0
"106","01","013",8257,9638,18494,0,0
"107","01","013",8257,9638,18494,0,0
"108","01","015",23891,80363,112121,0,0
"109","01","015",23891,80363,112121,0,0
"110","01","015",23891,80363,112121,0,0
"111","01","015",23891,80363,112121,0,0
"112","01","015",23891,80363,112121,0,0
"113","01","015",23891,80363,112121,0,0
"114","01","015",23891,80363,112121,0,0
"115","01","015",23891,80363,112121,0,0
"116","01","015",23891,80363,112121,0,0
"117","01","015",23891,80363,112121,0,0
"118","01","015",23891,80363,112121,0,0
"119","01","015",23891,80363,112121,0,0
"120","01","015",23891,80363,112121,0,0
"121","01","015",23891,80363,112121,0,0
"122","01","015",23891,80363,112121,0,0
"123","01","015",23891,80363,112121,0,0
"124","01","015",23891,80363,112121,0,0
"125","01","015",23891,80363,112121,0,0
"126","01","015",23891,80363,112121,0,0
"127","01","015",23891,80363,112121,0,0
"128","01","015",23891,80363,112121,0,0
"129","01","015",23891,80363,112121,0,0
"130","01","015",23891,80363,112121,0,0
"131","01","015",23891,80363,112121,0,0
"132","01","015",23891,80363,112121,0,0
"133","01","015",23891,80363,112121,0,0
"134","01","015",23891,80363,112121,0,0
"135","01","015",23891,80363,112121,0,0
"136","01","015",23891,80363,112121,0,0
"137","01","015",23891,80363,112121,0,0
"138","01","015",23891,80363,112121,0,0
"139","01","015",23891,80363,112121,0,0
"140","01","015",23891,80363,112121,0,0
"141","01","015",23891,80363,112121,0,0
"142","01","015",23891,80363,112121,0,0
"143","01","015",23891,80363,112121,0,0
"144","01","015",23891,80363,112121,0,0
"145","01","015",23891,80363,112121,0,0
"146","01","017",13192,19133,33781,0,0
"147","01","017",13192,19133,33781,0,0
"148","01","017",13192,19133,33781,0,0
"149","01","017",13192,19133,33781,0,0
"150","01","017",13192,19133,33781,0,0
"151","01","017",13192,19133,33781,0,0
"152","01","017",13192,19133,33781,0,0
"153","01","017",13192,19133,33781,0,0
"154","01","017",13192,19133,33781,0,0
"155","01","019",907,23117,24941,0,0
"156","01","019",907,23117,24941,0,0
"157","01","019",907,23117,24941,0,0
"158","01","019",907,23117,24941,0,0
"159","01","019",907,23117,24941,0,0
"160","01","019",907,23117,24941,0,0
"161","01","019",907,23117,24941,0,0
"162","01","019",907,23117,24941,0,0
"163","01","021",3754,37082,45099,0,0
"164","01","021",3754,37082,45099,0,0
"165","01","021",3754,37082,45099,0,0
"166","01","021",3754,37082,45099,0,0
"167","01","021",3754,37082,45099,0,0
